sequence,payload_hex,elapsed_s,raw_position,delta_from_previous,delta_from_start
1,003978,0.17592129998956807,1092,3,3
1,003978,0.35179539999808185,1094,2,5
1,003978,0.5277010999852791,1094,0,5
1,003978,0.7036538999818731,1095,1,6
1,003978,0.879570999997668,1095,0,6
1,003978,1.0554488000052515,1096,1,7
1,003978,1.231395499984501,1097,1,8
1,003978,1.4072468999947887,1097,0,8
1,003978,1.5831837999867275,1099,2,10
1,003978,1.7590732999960892,1101,2,12
1,003978,1.9350140999886207,1103,2,14
1,003978,2.1109826999891084,1116,13,27
1,003978,2.286850200005574,1117,1,28
1,003978,2.4627205999859143,1121,4,32
1,003978,2.6386729999794625,1143,22,54
1,003978,2.814539599989075,1155,12,66
1,003978,2.9904334000020754,1163,8,74
