timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
194908.6569701,0.0,02AF72,valid-start,175986,175986,0,,,002000,waiting-for-breakaway,True,unspecified,start
194908.8328485,0.17587839998304844,02AF73,valid,175987,175987,1,5.685727119612947,,002000,waiting-for-breakaway,True,unspecified,
194909.0088433,0.351873199979309,02AF74,valid,175988,175988,1,5.681986058799734,5.68386545825238,002000,moving-transient,True,unspecified,
194909.1846951,0.5277249999926426,02AF74,valid,175988,175988,0,0.0,3.979276417528353,002000,moving-transient,True,unspecified,
194909.3606347,0.7036645999760367,02AF76,valid,175990,175990,2,11.367537496895341,5.1160993960473835,002000,moving-transient,True,unspecified,
194909.5365068,0.8795366999984253,02AF7B,valid,175995,175995,5,28.429750934704806,8.770519412972568,002000,moving-transient,True,unspecified,
194909.7124612,1.0554910999780986,02AF8D,valid,176013,176013,18,102.29923208558242,24.850024309333435,002000,moving-transient,True,unspecified,
194909.8883606,1.2313904999755323,02AF95,valid,176021,176021,8,45.480541719395966,39.7945922578226,002000,moving-transient,True,unspecified,
194910.0642361,1.4072659999947064,02AFA2,valid,176034,176034,13,73.91592347190331,55.385584789207854,002000,moving-transient,True,unspecified,
194910.2401272,1.5831570999871474,02AFC1,valid,176065,176065,31,176.24541549477055,81.21407946767376,002000,moving-transient,True,unspecified,
194910.4160612,1.759091099986108,02AFE8,valid,176104,176104,39,221.67403685603918,115.97247303091368,002000,moving-transient,True,unspecified,
194910.5919683,1.9349981999839656,02B013,valid,176147,176147,43,244.4472110592677,154.30949429731464,002000,moving-transient,True,unspecified,
194910.7678909,2.1109207999834325,02B03D,valid,176189,176189,42,238.74135557414039,197.83211162218907,002000,moving-transient,True,unspecified,
194910.9437989,2.286828799988143,02B06F,valid,176239,176239,50,284.2394888160917,233.87980275032018,002000,moving-transient,True,unspecified,
194911.1197009,2.4627307999762706,02B0B3,valid,176307,176307,68,386.57889054467637,269.1237651978598,002000,moving-transient,True,unspecified,
194911.295628,2.638657899980899,02B101,valid,176385,176385,78,443.3654621598831,314.27961203752824,002000,moving-transient,True,unspecified,
194911.4715391,2.8145689999801107,02B166,valid,176486,176486,101,574.1536492037886,381.84401129518307,002000,moving-transient,True,unspecified,
194911.6474328,2.9904626999923494,02B1D5,valid,176597,176597,111,631.0629658269546,464.3599274138872,002000,moving-transient,True,unspecified,
194911.8233587,3.1663885999878403,02B25A,valid,176730,176730,133,756.0001114299195,556.4482010761441,002000,moving-transient,True,unspecified,
194911.9992693,3.3422991999832448,02B2E5,valid,176869,176869,139,790.174099819063,642.5280106703475,002000,moving-transient,True,unspecified,
194912.1751691,3.518198999983724,02B372,valid,177010,177010,141,801.5927249469055,715.7916271742878,002000,moving-transient,True,unspecified,
194912.3510645,3.6940943999798037,02B40D,valid,177165,177165,155,881.2055346726223,775.2467778424278,002000,moving-transient,True,unspecified,
194912.5269766,3.87000649998663,02B49A,valid,177306,177306,141,801.536676524972,810.6563426829954,002000,moving-transient,True,unspecified,
194912.7029012,4.045931100001326,02B4E7,valid,177383,177383,77,437.6875092714026,768.4258821606052,002000,moving-transient,True,unspecified,
194912.8788181,4.221847999986494,02B52B,valid,177451,177451,68,386.5461476738915,677.2909818238279,002000,moving-transient,True,unspecified,
194913.0547106,4.397740499989595,02B56F,valid,177519,177519,68,386.5997697389089,565.2193743366211,002000,moving-transient,True,unspecified,
194913.2306129,4.573642799980007,02B5AD,valid,177581,177581,62,352.4683873001065,452.6670062639285,002000,moving-transient,True,unspecified,
194913.4065288,4.749558699986665,02B5CD,valid,177613,177613,32,181.9051035113311,356.84212779904317,002000,moving-transient,True,unspecified,
194913.5824298,4.925459699996281,02B5F6,valid,177654,177654,41,233.08565612337878,309.0950020968045,002000,moving-transient,True,unspecified,
194913.7583106,5.101340499997605,02B615,valid,177685,177685,31,176.25573683862464,261.0234966283847,002000,moving-transient,True,unspecified,
194913.9342631,5.277292999991914,02B641,valid,177729,177729,44,250.06748981357458,227.87986812559703,002000,moving-transient,True,unspecified,
194914.1101734,5.453203299985034,02B663,valid,177763,177763,34,193.28032526423831,209.35934755027583,002000,moving-transient,True,unspecified,
194914.2860582,5.629088099987712,02B68A,valid,177802,177802,39,221.73604540816677,213.74657446862986,002000,moving-transient,True,unspecified,
194914.4619661,5.804995999991661,02B6C9,valid,177865,177865,63,358.1419595060008,233.88627928102522,002000,moving-transient,True,unspecified,
194914.6378636,5.980893499974627,02B6EF,valid,177903,177903,38,216.03490671373905,249.64401901702607,002000,moving-transient,True,unspecified,
194914.8137602,6.156790099979844,02B72D,valid,177965,177965,62,352.47980915015495,270.1225996867072,002000,moving-transient,True,unspecified,
194914.9896745,6.332704399974318,02B77E,valid,178046,178046,81,460.45148121866345,315.43915986541646,002000,moving-transient,True,unspecified,
194915.1655619,6.508591799996793,02B7DF,valid,178143,178143,97,551.4891913099248,375.2105715149157,002000,moving-transient,True,unspecified,
194915.3414938,6.6845236999797635,02B84C,valid,178252,178252,109,619.557908546153,444.39909189449503,002000,moving-transient,True,unspecified,
194915.5174122,6.860442099976353,02B8C3,valid,178371,178371,119,676.4499904632306,535.66668967363,002000,moving-transient,True,unspecified,
194915.6933094,7.036339299986139,02B943,valid,178499,178499,128,727.697768883638,609.723633582186,002000,moving-transient,True,unspecified,
194915.8692171,7.212246999988565,02B9D6,valid,178646,178646,147,835.6655223050068,680.0526468548522,002000,moving-transient,True,unspecified,
194916.0451421,7.388171999977203,02BA67,valid,178791,178791,145,824.2148643419914,738.9995204631679,002000,moving-transient,True,unspecified,
194916.2210531,7.564082999975653,02BB11,valid,178961,178961,170,966.3977807044338,804.3021206604724,002000,moving-transient,True,unspecified,
194916.3969358,7.739965699991444,02BBB6,valid,179126,179126,165,938.1252390666409,861.814679340861,002000,moving-transient,True,unspecified,
194916.5728446,7.915874500002246,02BC99,valid,179353,179353,227,1290.4414104698592,955.0489649589956,002000,moving-transient,True,unspecified,
194916.7487469,8.091776799992658,02BD8D,valid,179597,179597,244,1387.1336532455803,1072.9866460086182,002000,moving-transient,True,unspecified,
194916.9246671,8.26769699997385,02BE80,valid,179840,179840,243,1381.3081159865635,1198.7126355332246,002000,moving-transient,True,unspecified,
194917.100579,8.443608899979154,02BF56,valid,180054,180054,214,1216.518041096415,1275.1926573667981,002000,moving-transient,True,unspecified,
194917.2764762,8.61950609998894,02C01F,valid,180255,180255,201,1142.7129027000879,1297.9094998117196,002000,moving-transient,True,unspecified,
194917.4523495,8.795379399991361,02C0C7,valid,180423,180423,168,955.2331138250448,1224.375396304605,002000,moving-transient,True,unspecified,
194917.628261,8.971290899993619,02C178,valid,180600,180600,177,1006.1877705421675,1131.3245567914312,002000,moving-transient,True,unspecified,
194917.8041647,9.147194599994691,02C255,valid,180821,180821,221,1256.3692520319528,1090.0846877928057,002000,moving-transient,True,unspecified,
194917.9800881,9.32311800000025,02C312,valid,181010,181010,189,1074.3312145742314,1080.9684439052742,002000,moving-transient,True,unspecified,
194918.1559761,9.49900599999819,02C3E3,valid,181219,181219,209,1188.2561630267437,1104.8280739181223,002000,moving-transient,True,unspecified,
194918.3318954,9.674925300001632,02C4B5,valid,181429,181429,210,1193.7291701131717,1149.298442094966,002000,moving-transient,True,unspecified,
194918.5077834,9.850813299999572,02C5B3,valid,181683,181683,254,1444.1007914296313,1209.739593259791,002000,moving-transient,True,unspecified,
194918.6837106,10.026740499975858,02C69F,valid,181919,181919,236,1341.4639693680772,1253.748728795966,002000,moving-transient,True,unspecified,
194918.859629,10.202658900001552,02C7AA,valid,182186,182186,267,1517.7491380151446,1337.3851171620495,002000,moving-transient,True,unspecified,
194919.0355338,10.378563699981896,02C891,valid,182417,182417,231,1313.2103275511079,1380.0740064822135,002000,moving-transient,True,unspecified,
194919.2113923,10.55442219998804,02C988,valid,182664,182664,247,1404.5383077381641,1404.0096660386241,002000,moving-transient,True,unspecified,
194919.3873112,10.730341099988436,02CA5D,valid,182877,182877,213,1210.7851970397676,1370.2399141964995,002000,moving-transient,True,unspecified,
194919.5632353,10.906265199999325,02CB3C,valid,183100,183100,223,1267.592103561693,1335.9795200047663,002000,moving-transient,True,unspecified,
194919.7391234,11.082153299998026,02CC2D,valid,183341,183341,241,1370.1893419837918,1305.4494164485125,002000,moving-transient,True,unspecified,
194919.9150419,11.258071799995378,02CD2D,valid,183597,183597,256,1455.2193203321676,1324.419353004745,002000,moving-transient,True,unspecified,
194920.0909428,11.43397269997513,02CDF0,valid,183792,183792,195,1108.5787510038151,1306.0283819920119,002000,moving-transient,True,unspecified,
194920.2668527,11.609882599994307,02CEBB,valid,183995,183995,203,1153.9998600298698,1286.7181484942962,002000,moving-transient,True,unspecified,
194920.4427758,11.785805699997582,02CF84,valid,184196,184196,201,1142.544668643624,1240.4179569546968,002000,moving-transient,True,unspecified,
194920.6187008,11.96173069998622,02D056,valid,184406,184406,210,1193.690493184953,1189.7030093602118,002000,steady-state-tail,True,unspecified,
194920.794591,12.137620900000911,02D118,valid,184600,184600,194,1102.9608243312903,1146.348462023347,002000,steady-state-tail,True,unspecified,
194920.97051,12.31353990000207,02D206,valid,184838,184838,238,1352.8953666086811,1178.3382397430425,002000,steady-state-tail,True,unspecified,
194921.1464596,12.489489499974297,02D314,valid,185108,185108,270,1534.5303430221927,1248.1493241559929,002000,steady-state-tail,True,unspecified,
194921.322327,12.665356899990002,02D3F0,valid,185328,185328,220,1250.942471318475,1299.9957646983562,002000,steady-state-tail,True,unspecified,
194921.4982182,12.841248099983204,02D4F9,valid,185593,185593,265,1506.6131791143687,1362.571711756634,002000,steady-state-tail,True,unspecified,
194921.6741197,13.017149599996628,02D617,valid,185879,185879,286,1625.9099551633935,1442.3462949450532,002000,steady-state-tail,True,unspecified,
194921.8500322,13.193062099977396,02D73C,valid,186172,186172,293,1665.6007960323032,1502.1578668557534,002000,steady-state-tail,True,unspecified,
194922.0259546,13.36898449997534,02D833,valid,186419,186419,247,1404.0281396961766,1522.460171890995,002000,steady-state-tail,True,unspecified,
194922.2018606,13.544890499993926,02D927,valid,186663,186663,244,1387.1044761078076,1534.240493615048,002000,steady-state-tail,True,unspecified,
194922.3777671,13.720796999987215,02DA14,valid,186900,186900,237,1347.3066658084945,1483.541216120791,002000,steady-state-tail,True,unspecified,
194922.5536565,13.896686399995815,02DB09,valid,187145,187145,245,1392.9207785575516,1422.4942527706914,002000,steady-state-tail,True,unspecified,
194922.7295795,14.072609399998328,02DBFB,valid,187387,187387,242,1375.6018257791393,1378.974657564016,002000,steady-state-tail,True,unspecified,
194922.9055067,14.248536599974614,02DCE7,valid,187623,187623,236,1341.4639693680772,1370.353111595565,002000,steady-state-tail,True,unspecified,
194923.0814179,14.424447799974587,02DDE1,valid,187873,187873,250,1421.1715911211913,1374.2241784135656,002000,steady-state-tail,True,unspecified,
194923.2573141,14.600343999976758,02DECD,valid,188109,188109,236,1341.7003891902557,1374.8697847917726,002000,steady-state-tail,True,unspecified,
194923.4332329,14.776262799976394,02DFC1,valid,188353,188353,244,1387.003549367693,1373.3967758018664,002000,steady-state-tail,True,unspecified,
194923.6091539,14.952183799992781,02E0B8,valid,188600,188600,247,1404.0393129699764,1379.0926800695788,002000,steady-state-tail,True,unspecified,
