timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
195082.4675255,0.0,0363E9,valid-start,222185,222185,0,,,003978,waiting-for-breakaway,True,horizontal-start-near-max-gravity-load,start
195082.6434257,0.17590020000352524,0363E9,valid,222185,222185,0,0.0,,003978,waiting-for-breakaway,True,horizontal-start-near-max-gravity-load,
195082.8193457,0.3518202000122983,0363EA,valid,222186,222186,1,5.684402000626026,2.8424142743837275,003978,waiting-for-breakaway,True,horizontal-start-near-max-gravity-load,
195082.9952565,0.5277310000092257,0363EB,valid,222187,222187,1,5.68469929087621,3.9793046899626803,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195083.1711304,0.7036049000162166,0363F1,valid,222193,222193,6,34.115351963887214,10.232606641600674,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195083.3470961,0.879570600023726,0363F7,valid,222199,222199,6,34.09755423780854,15.430024191043616,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195083.5229448,1.0554193000134546,0363F9,valid,222201,222201,2,11.373413622715553,20.303063764191258,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195083.6988361,1.2313106000074185,0363F9,valid,222201,222201,0,0.0,19.979182545367397,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195083.8747652,1.407239699998172,0363F9,valid,222201,222201,0,0.0,15.59339442323722,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195084.050676,1.5831505000242032,0363FC,valid,222204,222204,3,17.05409786980709,9.908187597267425,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195084.2265985,1.7590730000229087,03640D,valid,222221,222221,17,96.63346075757846,19.329329224291936,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195084.4025146,1.9349891000019852,036414,valid,222228,222228,7,39.79169615988861,32.15849170795407,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195084.5784082,2.1108827000134625,036417,valid,222231,222231,3,17.055765529867184,40.2791678930056,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195084.7543048,2.2867793000186794,036425,valid,222245,222245,14,79.59221496938983,50.02600786298319,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195084.9302616,2.4627361000166275,036429,valid,222249,222249,4,22.73285260954192,48.72548492341758,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195085.1061122,2.6385867000208236,036435,valid,222261,222261,12,68.23974441778222,44.991372073275016,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195085.2820239,2.814498400024604,036443,valid,222275,222275,14,79.58538289209378,53.438188969843424,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195085.4579384,2.9904129000206012,036452,valid,222290,222290,15,85.26869587408267,64.48276374044028,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195085.6338218,3.1662963000126183,036458,valid,222296,222296,6,34.113509292362586,63.67205312694368,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195085.8097469,3.3422214000020176,036477,valid,222327,222327,31,176.21135359234106,82.84020216866467,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195085.9856189,3.518093400023645,036596,valid,222614,222614,287,1631.8686315314962,312.9911069738598,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195086.1615103,3.69398480001837,0364CD,valid,222413,222413,-201,-1142.7505836330122,274.99597781085055,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195086.3374324,3.86990690001403,03650D,valid,222477,222477,64,363.7973853289553,255.50312245748296,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195086.5133228,4.045797300001141,036560,valid,222560,222560,83,471.8847646379915,254.8515205685905,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195086.689244,4.221718500019051,0365D2,valid,222674,222674,114,648.0174077279697,265.8952857974945,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195086.865185,4.397659500013106,03665C,valid,222812,222812,138,784.3538459180261,301.4591266349821,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195087.041033,4.573507499997504,036700,valid,222976,222976,164,932.6236295809468,638.9664714054959,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195087.2170319,4.749506400024984,0367A6,valid,223142,223142,166,943.1877129577584,765.1393684441597,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195087.3928435,4.925318000023253,036847,valid,223303,223303,161,915.7529992422852,858.071594806424,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195087.5687655,5.1012400000181515,0368E8,valid,223464,223464,161,915.1783176900503,907.8084241056011,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195087.7446818,5.277156299998751,03699F,valid,223647,223647,183,1040.2674454850505,942.0953393182126,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195087.9205786,5.453053100005491,036A4E,valid,223822,223822,175,994.901555874209,959.2961981000403,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195088.0964811,5.6289555999974255,036B0F,valid,224015,224015,193,1097.1987323025494,991.657843458142,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195088.2723952,5.804869700019481,036BE8,valid,224232,224232,217,1233.5566050293505,1051.3570484820937,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195088.4482865,5.980761000013445,036C9C,valid,224412,224412,180,1023.3593134292435,1086.305617711282,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195088.6241822,6.156656700011808,036D7B,valid,224635,224635,223,1267.7967682102194,1125.1451206686195,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195088.8001218,6.332596300024306,036E7D,valid,224893,224893,258,1466.412336856926,1201.130341605972,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195088.975994,6.508468500018353,036F85,valid,225157,225157,264,1501.089996082025,1285.7667748785332,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195089.1519281,6.684402600018075,0370A2,valid,225442,225442,285,1619.9247331839035,1387.5902395688213,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195089.3278445,6.860318999999436,0371C4,valid,225732,225732,290,1648.510315301625,1508.0651268822,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195089.5037237,7.0361982000176795,0372DB,valid,226011,226011,279,1586.3160622237278,1572.567594845576,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195089.679649,7.212123500008602,0373F9,valid,226297,226297,286,1625.6899946440772,1603.4462148552366,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195089.8556249,7.3880994000064675,037509,valid,226569,226569,272,1545.6661963558577,1608.523691914115,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195090.0314556,7.563930100004654,037645,valid,226885,226885,316,1797.183313285214,1626.1398769462057,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195090.2073879,7.739862400019774,037798,valid,227224,227224,339,1926.8775544392129,1681.690966863858,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195090.3832808,7.9157552999968175,0378FD,valid,227581,227581,357,2029.6441757830703,1778.0194030705636,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195090.5591885,8.091662999999244,037A4B,valid,227915,227915,334,1898.7230234685187,1862.2276136733517,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195090.7351076,8.267582100001164,037BB2,valid,228274,228274,359,2040.7107585025265,1944.6118223402243,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195090.9110575,8.44353200000478,037D1E,valid,228638,228638,364,2068.770712529645,1989.4189517876102,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195091.0869253,8.61939980002353,037E89,valid,229001,229001,363,2064.050383079215,2016.4252025511987,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
195091.2628388,8.795313300011912,037FD7,valid,229335,229335,334,1898.6604212982934,2012.685024830922,003978,moving-transient,True,horizontal-start-near-max-gravity-load,
