timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
195291.0154572,0.0,038008,valid-start,229384,229384,0,,,003978,waiting-for-breakaway,True,horizontal-start-gravity-assisted-downward,start
195291.1913163,0.1758591000107117,038002,valid,229378,229378,-6,-34.11804844422112,,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195291.3672213,0.35176409999257885,037FF6,valid,229366,229366,-12,-68.21864075061538,-51.171398299045535,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195291.5431105,0.5276532999996562,037FF0,valid,229360,229360,-6,-34.11238438607133,-47.758313175436946,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195291.7190597,0.7036024999979418,037FED,valid,229357,229357,-3,-17.050375904120227,-40.93196502959159,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195291.8949087,0.8794514999899548,037FEC,valid,229356,229356,-1,-5.686697109710148,-33.948491337709186,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195292.070958,1.0555007999937516,037FE5,valid,229349,229349,-7,-39.76158950844469,-28.909103618379103,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195292.2467877,1.231330499984324,037FDC,valid,229340,229340,-9,-51.18589180600638,-26.635452150970536,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195292.4226788,1.4072216000058688,037FD8,valid,229336,229336,-4,-22.741343931046206,-28.909770800679215,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195292.5985799,1.5831226999871433,037FBD,valid,229309,229309,-27,-153.4953448436325,-50.18834244571861,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195292.7744929,1.7590357000008225,037FA9,valid,229289,229289,-20,-113.69256392901474,-74.5525629506158,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195292.950412,1.9349548000027426,037F93,valid,229267,229267,-22,-125.05748380795427,-95.83856009553458,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195293.1263157,2.1108585000038147,037F89,valid,229257,229257,-10,-56.8492874222603,-104.27597863030906,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195293.3022053,2.286748099984834,037F6E,valid,229230,229230,-27,-153.50538066442613,-114.99552383502015,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195293.478117,2.4626597999886144,037F33,valid,229171,229171,-59,-335.3955421881095,-142.44555039994242,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195293.6540095,2.6385522999917157,037EE8,valid,229096,229096,-75,-426.3968048590907,-207.90666711621674,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195293.8299293,2.814472099998966,037E85,valid,228997,228997,-99,-562.7564378536124,-307.3148364533752,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195294.0058455,2.9903883000079077,037E3A,valid,228922,228922,-75,-426.3393592869091,-397.778658412856,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195294.1817702,3.166312999994261,037DD8,valid,228824,228824,-98,-557.0565134264937,-467.1166098895352,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195294.3576674,3.342210200004047,037D58,valid,228696,228696,-128,-727.697768883638,-530.457326231901,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195294.533624,3.518166800000472,037CBF,valid,228543,228543,-153,-869.5326006703266,-611.6419997885578,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195294.7094788,3.694021600007545,037C21,valid,228385,228385,-158,-898.4685092112637,-702.4527896089161,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195294.885373,3.8699157999944873,037B5C,valid,228188,228188,-197,-1119.991449488526,-834.8562157757237,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195295.0613043,4.045847100001993,037A89,valid,227977,227977,-211,-1199.3317845715833,-961.0752790854674,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195295.2371852,4.221728000004077,03798A,valid,227722,227722,-255,-1449.8447528809413,-1098.8335858530186,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195295.4131085,4.397651300008874,037898,valid,227480,227480,-242,-1375.5994799631496,-1220.6705407241047,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195295.5890086,4.573551400011638,0377A2,valid,227234,227234,-246,-1398.5210923480702,-1321.1541125052736,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195295.7649195,4.749462300009327,037696,valid,226966,226966,-268,-1523.4985438851206,-1393.7499545526634,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195295.9408439,4.925386699993396,03756E,valid,226670,226670,-296,-1682.5409097703575,-1469.757766891483,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195296.1167371,5.101279900001828,037448,valid,226376,226376,-294,-1671.468823046639,-1531.2956333291054,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195296.2926349,5.277177699987078,037314,valid,226068,226068,-308,-1751.016783756401,-1612.865620630184,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195296.4685467,5.45308949999162,0371F6,valid,225782,225782,-286,-1625.814754852237,-1664.5195088161895,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195296.6444459,5.628988699987531,0370C4,valid,225476,225476,-306,-1739.6326987678954,-1692.806825945698,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195296.8203631,5.804905900004087,036F76,valid,225142,225142,-334,-1898.62048718696,-1725.9435372572523,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195296.996283,5.980825799982995,036E1F,valid,224799,224799,-343,-1949.7509948625743,-1781.6045588680342,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195297.1721785,6.15672130000894,036CB2,valid,224434,224434,-365,-2075.0957241439496,-1860.2063314379159,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195297.3481199,6.33266270000604,036B7A,valid,224122,224122,-312,-1773.317706947553,-1911.4877134394799,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195297.5240099,6.508552699990105,036A22,valid,223778,223778,-344,-1955.7678096035308,-1935.1994758317062,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
195297.6999091,6.684451899986016,0368CA,valid,223434,223434,-344,-1955.6655175691374,-1935.2415424637556,003978,moving-transient,True,horizontal-start-gravity-assisted-downward,
