timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
194936.6393537,0.0,02E145,valid-start,188741,188741,0,,,003978,waiting-for-breakaway,True,unspecified,start
194936.8155101,0.17615639997529797,02E148,valid,188744,188744,3,17.03027244664185,,003978,moving-transient,True,unspecified,
194936.9911768,0.35182309997617267,02E149,valid,188745,188745,1,5.6925985402755375,11.371980250670209,003978,moving-transient,True,unspecified,
194937.1671022,0.5277484999969602,02E14A,valid,188746,188746,1,5.68422751849272,9.097759407750646,003978,moving-transient,True,unspecified,
194937.3430296,0.703675899974769,02E14A,valid,188746,188746,0,0.0,6.8228488869635635,003978,moving-transient,True,unspecified,
194937.5189344,0.8795806999842171,02E14C,valid,188748,188748,2,11.369786383842722,6.822510361038318,003978,moving-transient,True,unspecified,
194937.6948097,1.0554560000018682,02E14E,valid,188750,188750,2,11.371693465763961,6.335640826996865,003978,moving-transient,True,unspecified,
194937.8707487,1.2313949999806937,02E150,valid,188752,188752,2,11.367576263595355,7.958505457035954,003978,moving-transient,True,unspecified,
194938.0466221,1.4072683999838773,02E159,valid,188761,188761,9,51.17317342950715,15.43031463373941,003978,moving-transient,True,unspecified,
194938.2225091,1.5831553999742027,02E15D,valid,188765,188765,4,22.74187404538151,22.090689017041665,003978,moving-transient,True,unspecified,
194938.3984279,1.7590742000029422,02E161,valid,188769,188769,4,22.737763100626697,25.8265021534957,003978,moving-transient,True,unspecified,
194938.574323,1.9349692999967374,02E16C,valid,188780,188780,11,62.53727363859502,33.2980406504472,003978,moving-transient,True,unspecified,
194938.7502431,2.110889399977168,02E17A,valid,188794,188794,14,79.58158278421486,44.01876965949641,003978,moving-transient,True,unspecified,
194938.9261574,2.286803700000746,02E188,valid,188808,188808,14,79.5842066172196,54.08702342073594,003978,moving-transient,True,unspecified,
194939.102056,2.4627022999920882,0AE18D,implausible-jump,713101,188808,524293,,,003978,invalid,False,unspecified,rejected-implausible-position-jump
194939.2779792,2.638625499996124,02E19E,valid,188830,188830,22,62.53165665200122,70.59757630889868,003978,moving-transient,True,unspecified,
194939.453869,2.814515299978666,02E1AB,valid,188843,188843,13,73.90991405579122,70.39818757359633,003978,moving-transient,True,unspecified,
194939.6297913,2.9904375999758486,02E1BA,valid,188858,188858,15,85.26491525088194,70.79534018970637,003978,moving-transient,True,unspecified,
194939.8056873,3.1663335999764968,02E1D0,valid,188880,188880,22,125.07390730840342,79.81828797825968,003978,moving-transient,True,unspecified,
194939.9816274,3.342273699992802,02E1F4,valid,188916,188916,36,204.61509341340437,118.8107282938467,003978,moving-transient,True,unspecified,
194940.1575334,3.5181796999822836,02E222,valid,188962,188962,46,261.5033029160494,146.33967049983994,003978,moving-transient,True,unspecified,
194940.3334482,3.694094499980565,02E262,valid,189026,189026,64,363.8124819550442,205.1303268854694,003978,moving-transient,True,unspecified,
194940.5093617,3.8700079999980517,02E2B5,valid,189109,189109,83,471.82279922660547,282.4407525703655,003978,moving-transient,True,unspecified,
194940.6852537,4.045899999997346,02E304,valid,189188,189188,79,449.13924453822267,354.557107720266,003978,moving-transient,True,unspecified,
194940.8611793,4.221825599990552,02E381,valid,189313,189313,125,710.5276321628401,446.0088444231769,003978,moving-transient,True,unspecified,
194941.0370721,4.397718399995938,02E417,valid,189463,189463,150,852.7921551957053,559.5452514879606,003978,moving-transient,True,unspecified,
194941.212989,4.573635299981106,02E4BD,valid,189629,189629,166,943.6273604980292,682.5022096241105,003978,moving-transient,True,unspecified,
194941.3888885,4.749534799979301,02E552,valid,189778,189778,149,847.0746079524324,782.5582951661484,003978,moving-transient,True,unspecified,
194941.5648026,4.925448900001356,02E5F3,valid,189939,189939,161,915.2194166346793,863.4368311015105,003978,moving-transient,True,unspecified,
194941.7406992,5.1013454999774694,02E6A1,valid,190113,190113,174,989.2175290689495,905.8438593338304,003978,moving-transient,True,unspecified,
194941.9165868,5.277233100001467,02E775,valid,190325,190325,212,1205.3152125054576,962.0528790021185,003978,moving-transient,True,unspecified,
194942.0925223,5.453168599982746,02E838,valid,190520,190520,195,1108.360734591655,1018.4098956326848,003978,moving-transient,True,unspecified,
194942.2684351,5.629081399994902,02E925,valid,190757,190757,237,1347.258414303122,1112.5956870404534,003978,moving-transient,True,unspecified,
194942.4443489,5.804995199985569,02E9D1,valid,190929,190929,172,977.7516033939653,1149.4474004074575,003978,moving-transient,True,unspecified,
194942.6202495,5.98089579999214,02EA98,valid,191128,191128,199,1131.3207572490717,1157.0663780841594,003978,moving-transient,True,unspecified,
194942.7961656,6.156811900000321,02EB88,valid,191368,191368,240,1364.2867252561855,1171.189336483471,003978,moving-transient,True,unspecified,
194942.9720625,6.332708799978718,02EC99,valid,191641,191641,273,1552.045545052404,1240.4178013652936,003978,moving-transient,True,unspecified,
194943.1479534,6.50859969999874,02EDB5,valid,191925,191925,284,1614.6372550693175,1334.4900008624522,003978,moving-transient,True,unspecified,
194943.3238778,6.684524099982809,02EED1,valid,192209,192209,284,1614.3297918066944,1472.2283349656227,003978,moving-transient,True,unspecified,
194943.4997963,6.860442599980161,02F001,valid,192513,192513,304,1728.072942894449,1580.7017804004581,003978,moving-transient,True,unspecified,
194943.6757381,7.036384399980307,02F12B,valid,192811,192811,298,1693.741907834026,1642.8500881414498,003978,moving-transient,True,unspecified,
194943.8516026,7.212248900003033,02F278,valid,193144,193144,333,1893.5032366223313,1701.6467128994736,003978,moving-transient,True,unspecified,
194944.0275041,7.388150399987353,02F397,valid,193431,193431,287,1631.594955276578,1727.012413610347,003978,moving-transient,True,unspecified,
194944.203431,7.564077299990458,02F4C5,valid,193733,193733,302,1716.6220742516875,1739.0648702627475,003978,moving-transient,True,unspecified,
194944.3793243,7.739970599999651,02F619,valid,194073,194073,340,1932.9900569392366,1762.8169426556904,003978,moving-transient,True,unspecified,
194944.5552381,7.915884399990318,02F775,valid,194421,194421,348,1978.2416161691856,1809.2802291061091,003978,moving-transient,True,unspecified,
194944.731133,8.09177929998259,02F8C1,valid,194753,194753,332,1887.4907687180587,1844.317251501443,003978,moving-transient,True,unspecified,
194944.9070559,8.267702199984342,02FA03,valid,195075,195075,322,1830.3472714285326,1888.6493399398764,003978,moving-transient,True,unspecified,
194945.0829156,8.443561899999622,02FB41,valid,195393,195393,318,1808.2596522817284,1890.356565288966,003978,moving-transient,True,unspecified,
194945.2588532,8.619499499996891,02FC85,valid,195717,195717,324,1841.5620083770002,1861.0925840326497,003978,moving-transient,True,unspecified,
194945.434761,8.795407300000079,02FDC5,valid,196037,196037,320,1819.1347967185145,1833.7940466909067,003978,moving-transient,True,unspecified,
194945.6106789,8.971325199992862,02FF0D,valid,196365,196365,328,1864.5061134396037,1830.5018517918238,003978,moving-transient,True,unspecified,
