timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
195315.6855236,0.0,031C76,valid-start,203894,203894,0,,,0072F1,waiting-for-breakaway,True,horizontal-start-gravity-assisted-downward,start
195315.8614134,0.175889800011646,031C56,valid,203862,203862,-32,-181.93178579957387,,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195316.0373264,0.35180279999622144,031BF3,valid,203763,203763,-99,-562.7781915417314,-372.37188733171695,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195316.2132168,0.5276932000124361,031B6C,valid,203628,203628,-135,-767.5234122359994,-509.9515382928744,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195316.389138,0.7036144000012428,031ACA,valid,203466,203466,-162,-920.8668427131444,-619.6616726911801,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195316.5650289,0.8795052999921609,031A18,valid,203288,203288,-178,-1011.9909558094864,-707.0483193159004,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195316.7409582,1.055434600013541,031930,valid,203056,203056,-232,-1318.7115504455808,-912.3333389365487,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195316.9168738,1.2313501999888103,03181D,valid,202781,202781,-275,-1563.2496494833902,-1105.1137497504476,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195317.0927633,1.407239699998172,0316F1,valid,202481,202481,-300,-1705.6163101494553,-1302.933856059721,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195317.2687,1.583176399988588,0315D1,valid,202193,202193,-288,-1636.9523812580812,-1471.6763074470612,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195317.4446297,1.759106100013014,03148C,valid,201868,201868,-325,-1847.3287907321912,-1622.3499645505083,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195317.6205602,1.9350366000144277,031333,valid,201523,201523,-345,-1961.0016455204052,-1736.501536119564,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195317.7963938,2.110870200005593,0311D8,valid,201176,201176,-347,-1973.45672281882,-1822.9861642170995,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195317.972289,2.2867654000001494,03105E,valid,200798,200798,-378,-2149.006908725752,-1918.4099351107525,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195318.1482059,2.4626823000144213,030ECB,valid,200395,200395,-403,-2290.8543748059737,-2038.0598623462154,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195318.3241081,2.6385845000040717,030D53,valid,200019,200019,-376,-2137.551434957168,-2112.823128927528,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195318.5000169,2.814493300014874,030BE2,valid,199650,199650,-369,-2097.677887503868,-2150.467281253469,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195318.6759435,2.990419900015695,030A5B,valid,199259,199259,-391,-2222.5178000266883,-2177.255357008086,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195318.8518928,3.166369200014742,0308CA,valid,198858,198858,-401,-2279.065617210025,-2188.8416392501535,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195319.027828,3.3423043999937363,030726,valid,198438,198438,-420,-2387.2425759606144,-2218.3120554877582,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195319.2036547,3.518131099990569,0305B4,valid,198068,198068,-370,-2104.3447895380223,-2240.0118140600534,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195319.3795673,3.6940437000012025,030416,valid,197654,197654,-414,-2353.441424747146,-2269.5174422575305,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195319.5554876,3.86996400001226,03027B,valid,197243,197243,-411,-2336.285238111615,-2284.066098386336,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195319.7314061,4.045882500009611,0300CA,valid,196810,196810,-433,-2461.36705353058,-2312.8594860320723,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195319.9073434,4.221819800004596,02FF30,valid,196400,196400,-410,-2330.3756509375085,-2334.839681507995,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195320.0832215,4.397697900014464,02FD86,valid,195974,195974,-426,-2422.1321470728794,-2381.810320246136,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195320.2591471,4.57362350000767,02FBC4,valid,195524,195524,-450,-2557.8994757862242,-2414.6346680951106,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
195320.435041,4.749517399992328,02F9D8,valid,195032,195032,-492,-2797.1407765869903,-2491.3625049411166,0072F1,moving-transient,True,horizontal-start-gravity-assisted-downward,
