timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
194732.1670836,0.0,01907F,valid-start,102527,102527,0,,,0072F1,waiting-for-breakaway,True,start
194732.342985,0.1759013999835588,0190ED,valid,102637,102637,110,625.3482052928588,,0072F1,moving-transient,True,
194732.5188794,0.35179580000112765,01911F,valid,102687,102687,50,284.26146594209854,454.81042677192664,0072F1,moving-transient,True,
194732.6948055,0.5277218999981415,0191C1,valid,102849,102849,162,920.8411941306595,577.585401076359,0072F1,moving-transient,True,
194732.8707325,0.7036489000020083,2192A5,malformed-outside-modulus,2200229,102849,,,,0072F1,invalid,False,rejected-malformed-raw-outside-modulus
194733.0466142,0.8795305999810807,01938A,valid,103306,103306,457,1299.0014175947379,873.7751423089942,0072F1,moving-transient,True,
194733.2225707,1.0554870999767445,019482,valid,103554,103554,248,1409.439264853027,1090.577710295907,0072F1,moving-transient,True,
194733.3984306,1.2313469999935478,019569,valid,103785,103785,231,1313.5456120350807,1268.2667629381049,0072F1,moving-transient,True,
194733.574346,1.407262399996398,019659,valid,104025,104025,240,1364.2921540474083,1338.9185347205932,0072F1,moving-transient,True,
194733.7502686,1.583184999995865,019749,valid,104265,104265,240,1364.2363175665166,1358.0940188211052,0072F1,moving-transient,True,
194733.9261901,1.759106499986956,0197F7,valid,104439,104439,174,989.0775147370374,1305.5289948249126,0072F1,moving-transient,True,
194734.102066,1.934982399980072,019865,valid,104549,104549,110,625.4410070072449,1165.7271361429662,0072F1,moving-transient,True,
194734.2779723,2.1108887000009418,0198DA,valid,104666,104666,117,665.1268316491162,999.066124878257,0072F1,moving-transient,True,
194734.4539139,2.286830299999565,039957,implausible-jump,235863,104666,131197,,,0072F1,invalid,False,rejected-implausible-position-jump
194734.6298085,2.462724899989553,0199DB,valid,104923,104923,257,730.4535463045562,728.8910419844924,0072F1,moving-transient,True,
194734.8057068,2.6386231999786105,019A4F,valid,105039,105039,116,659.4719790197867,690.6419649331918,0072F1,moving-transient,True,
194734.9816274,2.8145437999919523,019AC2,valid,105154,105154,115,653.704000505219,694.1885521364577,0072F1,moving-transient,True,
194735.1575456,2.9904619999870192,019B44,valid,105284,105284,130,738.9798213240325,696.8245519632271,0072F1,moving-transient,True,
194735.3334574,3.166373799991561,019BE4,valid,105444,105444,160,909.5467160012515,731.6092001243792,0072F1,moving-transient,True,
194735.5093528,3.3422691999876406,019C8D,valid,105613,105613,169,960.7982926430527,778.8013792830219,0072F1,moving-transient,True,
194735.6852494,3.5181657999928575,019D65,valid,105829,105829,216,1227.9941738134432,891.2065488279986,0072F1,moving-transient,True,
194735.8611642,3.694080599991139,019E2A,valid,106026,106026,197,1119.8602960178703,1001.1859568535814,0072F1,moving-transient,True,
194736.0370767,3.869993100001011,019EF8,valid,106232,106232,206,1171.0367369484231,1088.575371995985,0072F1,moving-transient,True,
194736.2129647,4.045881099998951,019FE5,valid,106469,106469,237,1347.448376255207,1166.0612426953728,0072F1,moving-transient,True,
194736.3888778,4.221794199984288,01A0D3,valid,106707,106707,238,1352.9407418767466,1233.780667406438,0072F1,moving-transient,True,
194736.5648069,4.397723299975041,01A1D6,valid,106966,106966,259,1472.1839650951015,1293.6886403310818,0072F1,moving-transient,True,
194736.7407192,4.57363559998339,01A304,valid,107268,107268,302,1716.7645467978448,1404.934422760364,0072F1,moving-transient,True,
194736.9166111,4.749527499981923,01A435,valid,107573,107573,305,1734.0195881819714,1520.4166506232573,0072F1,moving-transient,True,
194737.0925067,4.925423099979525,01A58D,valid,107917,107917,344,1955.7055435422433,1646.9498826723227,0072F1,moving-transient,True,
194737.2684213,5.101337699976284,01A6D2,valid,108242,108242,325,1847.4873603782085,1759.541970502856,0072F1,moving-transient,True,
194737.4443482,5.2772645999793895,81A815,malformed-outside-modulus,8497173,108242,,,,0072F1,invalid,False,rejected-malformed-raw-outside-modulus
194737.6202859,5.45320229997742,01A959,valid,108889,108889,647,1838.7754835181245,1852.1842389479882,0072F1,moving-transient,True,
194737.7961399,5.6290562999784015,01AA9D,valid,109213,109213,324,1842.437476532757,1857.5677365067702,0072F1,moving-transient,True,
194737.9720512,5.804967599979136,01AC00,valid,109568,109568,355,2018.0625121781118,1865.9175542377843,0072F1,moving-transient,True,
194738.1479506,5.98086699997657,01AD70,valid,109936,109936,368,2092.1049190922145,1918.5101763555047,0072F1,moving-transient,True,
194738.3238704,6.15678679998382,01AEEF,valid,110319,110319,383,2177.128441393268,2036.9802181198324,0072F1,moving-transient,True,
194738.4997842,6.332700599974487,01B057,valid,110679,110679,360,2046.4568443129506,2052.440144175089,0072F1,moving-transient,True,
194738.6756872,6.508603599999333,01B1EF,valid,111087,111087,408,2319.460156690739,2125.4356459085643,0072F1,moving-transient,True,
194738.8515817,6.684498099988559,01B396,valid,111510,111510,423,2404.8506350449206,2196.4406661399084,0072F1,moving-transient,True,
194739.027485,6.860401399986586,01B546,valid,111942,111942,432,2455.894801318947,2275.7270389715773,0072F1,moving-transient,True,
194739.2033871,7.0363034999754746,01B6CB,valid,112331,112331,389,2211.457396043433,2318.1692514687857,0072F1,moving-transient,True,
194739.3792901,7.21220650000032,01B873,valid,112755,112755,424,2410.4193785217485,2362.3686714844894,0072F1,moving-transient,True,
194739.5552273,7.388143699994544,01BA1A,valid,113178,113178,423,2404.266977159401,2367.97876330134,0072F1,moving-transient,True,
194739.7311203,7.564036700001452,01BBDA,valid,113626,113626,448,2547.003007410209,2389.544364530107,0072F1,moving-transient,True,
194739.9070457,7.739962099993136,01BD8B,valid,114059,114059,433,2461.2705159145225,2418.8966868602824,0072F1,moving-transient,True,
194740.0829825,7.915898899984313,01BF7D,valid,114557,114557,498,2830.561883727412,2515.7809415209554,0072F1,moving-transient,True,
194740.2588334,8.091749799990794,01C169,valid,115049,115049,492,2797.824748021583,2605.200987300016,0072F1,moving-transient,True,
194740.4347502,8.2676665999752,01C343,valid,115523,115523,474,2694.4555610494026,2678.7101324394007,0072F1,moving-transient,True,
194740.610651,8.443567399983294,01C521,valid,116001,116001,478,2717.440739200761,2722.1099204894563,0072F1,moving-transient,True,
194740.786551,8.619467399985297,01C701,valid,116481,116481,480,2728.823194966094,2747.6878286208585,0072F1,moving-transient,True,
194740.962482,8.795398399990518,01C8E5,valid,116965,116965,484,2751.078547758136,2731.0741150423883,0072F1,moving-transient,True,
194741.1383858,8.971302199992351,01CAD3,valid,117459,117459,494,2808.3532021187184,2737.7604650560897,0072F1,moving-transient,True,
194741.3142809,9.147197299986146,01CCAF,valid,117935,117935,476,2706.158386542839,2747.861127807692,0072F1,moving-transient,True,
194741.4901623,9.323078699992038,01CEA0,valid,118432,118432,497,2825.7678184466963,2763.0283543685878,0072F1,moving-transient,True,
194741.6660869,9.49900329997763,01D093,valid,118931,118931,499,2836.4424306826177,2781.8855729808874,0072F1,moving-transient,True,
194741.8419841,9.674900499987416,01D251,valid,119377,119377,446,2535.5719134539263,2756.925639930867,0072F1,moving-transient,True,
194742.0178881,9.850804499990772,01D448,valid,119880,119880,503,2859.514280462082,2749.918642617593,0072F1,moving-transient,True,
