timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
194835.0338061,0.0,02174F,valid-start,137039,137039,0,,,00E5E3,waiting-for-breakaway,True,horizontal-start-near-max-gravity-load,start
194835.2097116,0.17590550001477823,0217A5,valid,137125,137125,86,488.89775721727284,,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194835.3856189,0.3518128000141587,0218A2,valid,137378,137378,253,1438.2575367872228,963.5814410149969,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194835.5615347,0.5277286000200547,021A17,valid,137751,137751,373,2120.3325681234915,1358.0908382821667,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194835.7375075,0.7037013999943156,021BCF,valid,138191,138191,440,2500.386423722063,1665.5308071818004,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194835.913347,0.8795409000013024,021D88,valid,138632,138632,441,2507.9689147346153,1873.6391807183734,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194836.0893126,1.0555065000080504,021F87,valid,139143,139143,511,2903.9766862409697,2321.2011216370083,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194836.2651639,1.2313578000175767,022194,valid,139668,139668,525,2985.4769340434755,2609.586987740003,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194836.4410766,1.4072704999998678,0223A0,valid,140192,140192,524,2978.7502553979925,2785.1179918827647,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194836.6169915,1.5831853999989107,0225B7,valid,140727,140727,535,3041.243237513767,2905.081603512631,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194836.7929132,1.7591071000206284,0227E4,valid,141284,141284,557,3166.1813177751114,3010.6646425865974,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194836.9688067,1.9350006000022404,8229E6,malformed-outside-modulus,8530406,141284,,,,00E5E3,invalid,False,horizontal-start-near-max-gravity-load,rejected-malformed-raw-outside-modulus
194837.1447291,2.1109230000001844,022BF5,valid,142325,142325,1041,2958.9339198725597,3031.2028562859377,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194837.3206052,2.2867990999948233,022E19,valid,142873,142873,548,3115.829837122293,3039.9232448126327,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194837.4965135,2.4627074000018183,023045,valid,143429,143429,556,3160.7377251550424,3053.0823480392737,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194837.6724342,2.6386281000159215,023298,valid,144024,144024,595,3382.2057321980874,3106.3806190473915,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194837.8483664,2.814560300001176,0234A5,valid,144549,144549,525,2984.104103990071,3182.8712804693796,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194838.0242582,2.9904520999989472,0236ED,valid,145133,145133,584,3320.223000773204,3193.6787658990474,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194838.2001396,3.166333500004839,023950,valid,145744,145744,611,3473.9318653338664,3247.1187585343446,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194838.3760885,3.3422824000008404,023BC0,valid,146368,146368,624,3546.484234991986,3319.698534756728,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194838.5519516,3.5181455000129063,023E21,valid,146977,146977,609,3462.920874010619,3383.8276410168705,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194838.7278741,3.6940680000116117,02406E,valid,147566,147566,589,3348.065199189042,3450.1372962488554,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
194838.9038033,3.8699972000031266,0242EB,valid,148203,148203,637,3620.7747209145646,3479.897248077351,00E5E3,moving-transient,True,horizontal-start-near-max-gravity-load,
