timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
195339.9589886,0.0,027963,valid-start,162147,162147,0,,,00E5E3,waiting-for-breakaway,True,horizontal-start-gravity-assisted-downward,start
195340.1349523,0.17596369999228045,0278C6,valid,161990,161990,-157,-892.2269416363707,,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195340.3108188,0.35183020000113174,027739,valid,161593,161593,-397,-2257.3941027996757,-1574.5603542200176,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195340.4867015,0.5277128999878187,02753E,valid,161086,161086,-507,-2882.603007790853,-2035.1906754022061,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195340.6626477,0.7036590999923646,027320,valid,160544,160544,-542,-3080.4871033645295,-2336.4506804397424,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195340.8385236,0.8795349999854807,0270C5,valid,159941,159941,-603,-3428.553883866988,-2578.502022416296,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195341.0144676,1.0554790000023786,026E56,valid,159318,159318,-623,-3540.8993767344505,-3063.0479901387102,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195341.19033,1.2313414000091143,226BF4,malformed-outside-modulus,2255860,159318,,,,00E5E3,invalid,False,horizontal-start-gravity-assisted-downward,rejected-malformed-raw-outside-modulus
195341.3662214,1.4072328000038397,02699C,valid,158108,158108,-1210,-3439.9059796794636,-3408.427158331027,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195341.54214,1.5831514000019524,02671E,valid,157470,157470,-638,-3626.6773383078557,-3488.8776196206895,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
195341.7180844,1.7590957999927923,026495,valid,156821,156821,-649,-3688.665283088229,-3531.1631839502897,00E5E3,moving-transient,True,horizontal-start-gravity-assisted-downward,
