timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
209907.2989869,0.0,0042D1,valid-start,17105,17105,0,,,002000,waiting-for-breakaway,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,start
209907.4748789,0.17589199999929406,0042D1,valid,17105,17105,0,0.0,,002000,waiting-for-breakaway,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209907.6507726,0.35178570001153275,0042D1,valid,17105,17105,0,0.0,0.0,002000,waiting-for-breakaway,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209907.8267489,0.5277620000124443,0042D2,valid,17106,17106,1,5.682583393302506,1.7055025969006425,002000,waiting-for-breakaway,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209908.0026126,0.703625699999975,0042D4,valid,17108,17108,2,11.372443546575026,3.979264976801261,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209908.1785222,0.8795353000168689,0042D6,valid,17110,17110,2,11.369476138925483,5.68469861761354,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209908.3544473,1.0554604000062682,0042DA,valid,17114,17114,4,22.736948850624653,10.069864354814714,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209908.5303427,1.2313558000023477,0042DE,valid,17118,17118,4,22.740787991551542,14.780200058857153,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209908.7062242,1.407237300009001,0042E6,valid,17126,17126,8,45.48517041131313,21.765618293885833,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209908.8821702,1.5831833000120241,0042EE,valid,17134,17134,8,45.46849601504181,29.56085886674775,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209909.0580587,1.7590718000137713,0042F8,valid,17144,17144,10,56.85420024561393,38.65687623238834,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209909.2340016,1.9350147000222933,004304,valid,17156,17156,12,68.20394570862915,48.076676005670826,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209909.409889,2.1109021000156645,004314,valid,17172,17172,16,90.96728930328723,60.094621597614264,002000,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
