timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
209951.7373125,0.0,0103F9,valid-start,66553,66553,0,,,0072F1,waiting-for-breakaway,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,start
209951.9131524,0.17583990001003258,010454,valid,66644,66644,91,517.5129805081577,,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209952.0891737,0.3518612000043504,010557,valid,66903,66903,259,1471.412834744209,994.7923768160224,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209952.2649673,0.5276548000110779,0106E4,valid,67300,67300,397,2258.330223539464,1421.2546246076647,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209952.4408683,0.7035558000206947,0108A2,valid,67746,67746,446,2535.5171373421203,1729.4440777810341,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209952.6167728,0.8794602999987546,010AA0,valid,68256,68256,510,2899.300473061297,1984.6407012335549,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209952.7926625,1.0553500000096392,010CB8,valid,68792,68792,536,3047.3643423510916,2476.331187319983,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209952.9685845,1.2312720000045374,010EE5,valid,69349,69349,557,3166.175918964957,2796.6172499704253,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209953.1445314,1.4072189000144135,011114,valid,69908,69908,559,3177.094907432996,2986.1048163069913,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209953.3204029,1.5830904000031296,01133F,valid,70463,70463,555,3155.713120292991,3101.9015296789557,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209953.4963132,1.7590007000253536,011568,valid,71016,71016,553,3143.64764274824,3146.4042321347356,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209953.6722533,1.934940800012555,01178D,valid,71565,71565,549,3120.3801750705866,3154.290013608749,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209953.8481254,2.1108129000058398,0119C3,valid,72131,72131,566,3218.247806341149,3156.5195898156007,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209954.0240446,2.2867321000085212,011C09,valid,72713,72713,582,3308.337009212916,3179.9637914601262,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209954.1999784,2.462665900005959,011E28,valid,73256,73256,543,3086.388175597345,3186.970102713952,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209954.3758783,2.6385658000072,012050,valid,73808,73808,552,3138.148458277156,3185.8455552161176,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209954.5518165,2.8145040000090376,012293,valid,74387,74387,579,3290.928291831747,3197.006787275828,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209954.7276739,2.9903614000068046,0124E1,valid,74977,74977,590,3354.99103254962,3216.5217370053947,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209954.9035735,3.166261000005761,012748,valid,75592,75592,615,3496.3126692934393,3270.7583999023736,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209955.079457,3.3421445000276435,01295F,valid,76127,76127,535,3041.7861819524774,3296.9278612256758,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209955.2553715,3.5180590000236407,012BAC,valid,76716,76716,589,3348.2174579889793,3309.6245266431915,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209955.4313008,3.693988300015917,012E04,valid,77316,77316,600,3410.460906888967,3313.138921506844,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209955.6072061,3.8698936000000685,013062,valid,77922,77922,606,3445.03548247039,3327.4024564929396,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209955.7831242,4.045811700023478,01329E,valid,78494,78494,572,3251.5130616115352,3328.7709962639037,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209955.9590402,4.221727700001793,0134F8,valid,79096,79096,602,3422.087815060641,3375.7888625134547,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209956.1349318,4.397619300027145,013761,valid,79713,79713,617,3507.842329656839,3394.0568571613403,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209956.3108515,4.57353900000453,0139C5,valid,80325,80325,612,3478.859957575387,3414.0849086385,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209956.4867515,4.749439000006532,013C25,valid,80933,80933,608,3456.5093802903857,3437.661550949793,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209956.6626617,4.925349199998891,013E8E,valid,81550,81550,617,3507.4714259139137,3476.352057949696,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209956.8385571,5.101244600024074,0140FF,valid,82175,82175,625,3553.2481230920043,3494.4189763486365,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209957.0144532,5.277140700025484,014366,valid,82790,82790,615,3496.3822392598317,3500.613901822631,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209957.1903826,5.453070100018522,0145D4,valid,83412,83412,622,3535.5091305069814,3513.4333405083776,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209957.3662883,5.628975800005719,014857,valid,84055,84055,643,3655.367620530765,3542.620202974677,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209957.5422087,5.804896200017538,014AB4,valid,84660,84660,605,3439.055390729866,3542.7161234871246,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209957.718134,5.98082150000846,014D1A,valid,85274,85274,614,3490.1176808093123,3532.2069807503576,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209957.8940252,6.156712700001663,014F92,valid,85906,85906,632,3593.130298868985,3535.9551303810113,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209958.069943,6.332630500022788,015212,valid,86546,86546,640,3638.062776610132,3546.7300181780483,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209958.245854,6.508541500021238,0154BB,valid,87227,87227,681,3871.2758156454083,3597.5757548712227,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
209958.4218091,6.684496600006241,01570A,valid,87818,87818,591,3358.8114243370637,3620.05916619961,0072F1,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
