timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
210120.7921807,0.0,01D92D,valid-start,121133,121133,0,,,00E5E3,waiting-for-breakaway,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,start
210120.9680562,0.17587550001917407,01DA63,valid,121443,121443,310,1762.6034674208836,,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210121.1439407,0.3517600000195671,01DD4D,valid,122189,122189,746,4241.419795367602,3002.057420250924,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210121.3198729,0.5276922000048216,01E05C,valid,122972,122972,783,4450.578120808049,3560.662837459743,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210121.4957675,0.7035867999948096,01E3A1,valid,123809,123809,837,4758.531529948292,3911.9283179787462,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210121.6717082,0.8795275000156835,01E6FB,valid,124667,124667,858,4876.643095646461,4150.136993818455,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210121.8475974,1.055416699993657,01EA55,valid,125525,125525,858,4878.070968015359,4658.350112889615,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210122.0235315,1.231350799993379,01ED93,valid,126355,126355,830,4717.675538746104,4766.391181319515,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210122.1994355,1.4072547999967355,01F0F8,valid,127224,127224,869,4940.194651533895,4832.877574001214,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210122.3753301,1.5831494000158273,01F476,valid,128118,128118,894,5082.589231863653,4880.028973854966,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210122.5512213,1.7590406000090297,01F7E7,valid,128999,128999,881,5008.778153961354,4922.791091711193,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210122.7271194,1.9349386999965645,01FB44,valid,129860,129860,861,4894.879478863135,4954.214530817739,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210122.903041,2.110860300017521,01FED9,valid,130777,130777,917,5212.549225852678,5018.93150365074,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210123.0789563,2.2867756000196096,020282,valid,131714,131714,937,5326.426979284202,5081.999132156788,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210123.2548735,2.462692800007062,020614,valid,132628,132628,914,5195.626124478972,5134.451406347521,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210123.4307739,2.63859320001211,020993,valid,133523,133523,895,5088.106678406158,5174.811254701158,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210123.6066949,2.814514199999394,020D49,valid,134473,134473,950,5400.151204624063,5232.586803907589,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210123.7825878,2.990407100005541,02110F,valid,135439,135439,966,5491.978357092527,5275.749100162366,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210123.9585154,3.1663347000139765,0214A9,valid,136361,136361,922,5240.792234736284,5297.830690293102,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210124.1343985,3.3422178000037093,021835,valid,137269,137269,908,5162.519878561414,5308.814411076691,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
210124.3103229,3.5181422000168823,021BF7,valid,138231,138231,962,5468.257955849028,5335.578785894665,00E5E3,moving-transient,True,gearbox-swap-gen1-horizontal-start-gravity-opposed,
