point_index,payload_hex,timestamp,monotonic_s,elapsed_s,phase,load_context,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,002000,1790099066.9852543,285083.9684567,0.19199439999647439,warmup,horizontal-ota-current-postswap-baseline,1029F1,valid,1059313,28,True,
1,002000,1790099067.1772265,285084.1604312,0.38396890001604334,warmup,horizontal-ota-current-postswap-baseline,00004C,valid,76,91,True,
1,002000,1790099067.369273,285084.3524739,0.5760116000310518,warmup,horizontal-ota-current-postswap-baseline,0000B7,valid,183,107,True,
1,002000,1790099067.560655,285084.5438598,0.7673974999925122,warmup,horizontal-ota-current-postswap-baseline,0000D4,valid,212,29,True,
1,002000,1790099067.752649,285084.7358533,0.9593910000403412,warmup,horizontal-ota-current-postswap-baseline,0000D8,valid,216,4,True,
1,002000,1790099067.9446325,285084.9278365,1.151374200009741,warmup,horizontal-ota-current-postswap-baseline,0000DF,valid,223,7,True,
1,002000,1790099068.1366296,285085.1198337,1.3433714000275359,warmup,horizontal-ota-current-postswap-baseline,0000E9,valid,233,10,True,
1,002000,1790099068.328621,285085.3118243,1.5353619999950752,warmup,horizontal-ota-current-postswap-baseline,0000FC,valid,252,19,True,
1,002000,1790099068.5202212,285085.5034254,1.7269631000235677,warmup,horizontal-ota-current-postswap-baseline,000108,valid,264,12,True,
1,002000,1790099068.7121887,285085.6953937,1.9189313999959268,warmup,horizontal-ota-current-postswap-baseline,00011A,valid,282,18,True,
1,002000,1790099068.9041815,285085.8873863,2.1109240000369027,warmup,horizontal-ota-current-postswap-baseline,000133,valid,307,25,True,
1,002000,1790099069.0961804,285086.0793852,2.3029229000094347,warmup,horizontal-ota-current-postswap-baseline,000152,valid,338,31,True,
1,002000,1790099069.2881694,285086.2713752,2.494912900030613,warmup,horizontal-ota-current-postswap-baseline,000175,valid,373,35,True,
1,002000,1790099069.4801638,285086.4633679,2.6869056000141427,warmup,horizontal-ota-current-postswap-baseline,00018F,valid,399,26,True,
1,002000,1790099069.672163,285086.6553674,2.8789050999912433,warmup,horizontal-ota-current-postswap-baseline,0001BC,valid,444,45,True,
1,002000,1790099069.8635743,285086.8467798,3.0703175000380725,measurement,horizontal-ota-current-postswap-baseline,0001F8,valid,504,60,True,
