timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
196454.0215883,0.0,000002,valid-start,2,2,0,,,002000,waiting-for-breakaway,True,free-az-no-tripod-no-cable-wrap,start
196454.1974969,0.1759085999801755,000011,valid,17,17,15,85.27126495544793,,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196454.3733923,0.35180400000535883,000030,valid,48,48,31,176.2411069053634,130.75405585772094,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196454.5493663,0.5277779999887571,000063,valid,99,99,51,289.815540959525,183.038606104335,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196454.7252627,0.7036743999924511,0000B4,valid,180,180,81,460.4983387852106,248.97577204094486,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196454.9011591,0.8795707999961451,00010B,valid,267,267,87,494.6093268433744,302.9003557291766,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196455.0770117,1.0554233999864664,100183,implausible-jump,1048963,267,-10632,,,002000,invalid,False,free-az-no-tripod-no-cable-wrap,rejected-implausible-position-jump
196455.2529195,1.2313311999896541,0001FD,valid,509,509,242,687.9682875174851,529.4648772208104,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196455.4288713,1.4072830000077374,000259,valid,601,601,92,522.870467881231,588.5444940559286,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196455.6047323,1.5831440000038128,000297,valid,663,663,62,352.5511625737578,575.4593824014689,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196455.7806711,1.7590827999811154,0002E5,valid,741,741,78,443.33597824961066,534.3867643194158,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196455.9565438,1.9349555000080727,000348,valid,840,840,99,562.90714809533,455.9287693646137,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196456.1324323,2.110843999980716,0003CE,valid,974,974,134,761.8462834172875,506.77838810688155,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196456.3083501,2.286761800001841,00045C,valid,1116,1116,142,807.195178560373,585.8984332141443,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196456.4842453,2.4626569999963976,000513,valid,1299,1299,183,1040.3922335894513,721.0269771746005,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196456.6601669,2.63857859998825,0005E7,valid,1511,1511,212,1205.0822639733751,872.0906005330106,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196456.8360857,2.8144973999878857,0006D8,valid,1752,1752,241,1369.9502270394019,1032.0310530702445,002000,moving-transient,True,free-az-no-tripod-no-cable-wrap,
