timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
196595.7190908,0.0,00D25D,valid-start,53853,53853,0,,,0072F1,waiting-for-breakaway,True,free-az-no-tripod-no-cable-wrap,start
196595.895006,0.17591520000132732,00D2EA,valid,53994,53994,141,801.5193623468027,,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196596.070919,0.35182819998590276,00D47B,valid,54395,54395,401,2279.535907153882,1540.523068018312,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196596.246841,0.527750199980801,00D69D,valid,54941,54941,546,3103.6482078184317,2083.3804741855633,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196596.4227471,0.7036563000001479,00D8F5,valid,55541,55541,600,3410.9107070988975,2457.438797337091,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196596.5986729,0.8795820999948774,00DB41,valid,56129,56129,588,3342.3181819699885,2690.7352891462506,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196596.7745711,1.0554802999831736,01DD9D,implausible-jump,122269,56129,66140,,,0072F1,invalid,False,free-az-no-tripod-no-cable-wrap,rejected-implausible-position-jump
196596.9504386,1.2313477999996394,00DFFE,valid,57342,57342,1213,3448.3180139040815,3362.695204895127,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196597.1263661,1.4072753000073135,00E264,valid,57956,57956,614,3490.0740360274363,3425.989133885198,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196597.3022859,1.5831950999854598,00E4AC,valid,58540,58540,584,3319.6945430392,3423.569635458517,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196597.4781989,1.759108099999139,00E712,valid,59154,59154,614,3490.3617126207523,3435.174704999045,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196597.6541599,1.9350690999999642,00E95E,valid,59742,59742,588,3341.649570059517,3409.3576647555874,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196597.8300163,2.110925499990117,00EBC2,valid,60354,60354,612,3480.1121826346393,3415.8471575127255,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196598.005932,2.2868411999952514,00EE28,valid,60968,60968,614,3490.30814180928,3425.3784419528747,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196598.1818215,2.462730700004613,00F095,valid,61589,61589,621,3530.6257620093725,3459.462812189546,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196598.3577293,2.6386385000078008,00F31D,valid,62237,62237,648,3683.7479633549915,3503.5829354848174,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196598.5336649,2.8145740999898408,00F55F,valid,62815,62815,578,3285.293028011408,3514.140784307061,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196598.7095651,2.990474299993366,00F7CA,valid,63434,63434,619,3519.0409106276998,3506.4995409885964,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196598.8854847,3.1663938999990933,00FA3A,valid,64058,64058,624,3547.0749136519466,3502.2314952690426,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196599.0613793,3.342288499989081,00FCB3,valid,64691,64691,633,3598.7460674519343,3506.927077872985,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196599.2372922,3.518201400001999,00FF1C,valid,65308,65308,617,3507.41759106178,3509.4076665100865,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196599.4132236,3.694132799981162,010191,valid,65937,65937,629,3575.257174526536,3551.317817714337,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196599.5891111,3.8700203000043985,01040E,valid,66574,66574,637,3621.6331457087394,3565.778663906635,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196599.765022,4.045931200002087,010691,valid,67217,67217,643,3655.259566112435,3585.133579443526,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196599.9409237,4.22183289998793,0108FC,valid,67836,67836,619,3519.01090239502,3587.740700523362,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196600.116864,4.3977732000057586,010B7D,valid,68477,68477,641,3643.2812717441493,3603.291794316295,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196600.292737,4.573646200005896,010DFA,valid,69114,69114,637,3621.9317348285454,3607.923201454706,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196600.4686686,4.749577799986582,011081,valid,69761,69761,647,3677.565599761663,3616.6088867495705,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196600.6445584,4.925467599998228,0112EC,valid,70380,70380,619,3519.2489840742032,3610.1609657034014,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196600.8204656,5.101374799996847,011577,valid,71031,71031,651,3700.8149751977785,3627.091459858854,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196600.996393,5.27730220000376,0117E5,valid,71653,71653,622,3535.549323047803,3613.936899015275,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196601.1722834,5.453192599990871,011A6E,valid,72302,72302,649,3689.7977379524878,3616.644247850613,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196601.3482016,5.629110799985938,011D03,valid,72963,72963,661,3757.4281684245034,3637.9482402824333,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196601.5241246,5.8050337999884505,011F9A,valid,73626,73626,663,3768.694258229625,3682.842359814638,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196601.7000331,5.980942299996968,01223D,valid,74301,74301,675,3837.2221920334437,3724.246356447091,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196601.8759361,6.15684529999271,01249D,valid,74909,74909,608,3456.4504301502398,3725.909119114511,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196602.051861,6.332770200009691,012727,valid,75559,75559,650,3694.758388023879,3702.777848559221,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196602.2277558,6.508665000001201,0129B8,valid,76216,76216,657,3735.187168874286,3682.3829582161975,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196602.403645,6.684554200008279,012C53,valid,76883,76883,667,3792.1600642515955,3683.7939654853076,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196602.579561,6.860470199986594,012EDC,valid,77532,77532,649,3689.260784010558,3692.5852764306537,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196602.7554673,7.036376500007464,013178,valid,78200,78200,668,3797.476269586407,3742.460007717636,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196602.9314009,7.2123101000033785,013416,valid,78870,78870,670,3808.254932631159,3761.075553529294,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196603.107269,7.388178199995309,0136B9,valid,79545,79545,675,3838.103669914959,3780.2470220777595,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196603.2832106,7.564119799993932,013945,valid,80197,80197,652,3705.7750981297336,3780.9695178004113,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196603.4590876,7.739996799995424,013BEE,valid,80878,80878,681,3872.024198696947,3800.06800149475,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196603.6350168,7.915925999986939,013E90,valid,81552,81552,674,3831.0865963836995,3806.5538093903565,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196603.810901,8.091810199985048,014135,valid,82229,82229,677,3849.123457407089,3816.541064978647,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196603.9868202,8.26772939998773,0143BC,valid,82876,82876,647,3677.8248195202004,3804.7624150435995,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196604.162738,8.443647200008854,014667,valid,83559,83559,683,3882.4951194136256,3813.8815635659716,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196604.3386339,8.619543100008741,0148F1,valid,84209,84209,650,3695.367544100906,3788.1604577618887,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196604.5145279,8.79543709999416,014B9A,valid,84890,84890,681,3871.649971326206,3786.6234414399114,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196604.6904339,8.971343099983642,014E59,valid,85593,85593,703,3996.4526510865808,3818.9386047749244,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
196604.8663418,9.147250999987591,015118,valid,86296,86296,703,3996.409484646326,3879.2583516969894,0072F1,moving-transient,True,free-az-no-tripod-no-cable-wrap,
