timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
210000.7799651,0.0,002B57,valid-start,11095,11095,0,,,003978,waiting-for-breakaway,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,start
210000.9558505,0.17588540000724606,002B59,valid,11097,11097,2,11.37098874072177,,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210001.1317493,0.351784200000111,002B5E,valid,11102,11102,5,28.425435535676293,19.898671083311417,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210001.3077078,0.5277427000110038,002B60,valid,11104,11104,2,11.366316488695855,18.190752345220837,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210001.4835623,0.7035972000157926,002B61,valid,11105,11105,1,5.686519252977706,15.349255859075864,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210001.6594382,0.8794731000089087,002B61,valid,11105,11105,0,0.0,12.3449456747668,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210001.8353737,1.055408600019291,002B63,valid,11107,11107,2,11.367802404187756,9.745908362431708,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210002.0112967,1.2313315999927,002B67,valid,11111,11111,4,22.737220264573754,8.771246766447982,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210002.1872419,1.4072768000187352,002B70,valid,11120,11120,9,51.152290592003844,16.24291376303819,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210002.3631102,1.5831451000121888,002B7D,valid,11133,11133,13,73.9189495803616,30.696303867747236,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210002.5390382,1.7590730999945663,002B80,valid,11136,11136,3,17.05243054147439,39.30345783495788,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210002.7149488,1.9349837000190746,002B8D,valid,11149,11149,13,73.90117479099501,48.40022235722725,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210002.8908372,2.1108720999909565,002B8F,valid,11151,11151,2,11.370846515857366,47.102754024823135,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210003.0667568,2.2867916999966837,002B96,valid,11158,11158,7,39.79090448006991,41.74323626591101,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210003.242705,2.4627399000164587,002BA9,valid,11177,11177,19,107.9863277820664,46.776332292800056,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210003.4185415,2.638576400000602,002BAE,valid,11182,11182,5,28.4355068512561,52.13872287170021,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210003.5944483,2.8144831999961752,002BC0,valid,11200,11200,18,102.32691402750193,59.61146544490176,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210003.7703438,2.990378699993016,002BD3,valid,11219,11219,19,108.0186815486538,76.5053923147994,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210003.9462633,3.166298199997982,002BF6,valid,11254,11254,35,198.95463549528068,101.35974942791003,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210004.1221809,3.342215800017584,002C13,valid,11283,11283,29,164.84990698354568,124.26217936179157,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210004.2980853,3.5181201999948826,002C36,valid,11318,11318,35,198.97171420679055,156.5742161468998,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210004.4739986,3.694033500010846,002C60,valid,11360,11360,42,238.75397707955352,182.88458275685556,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210004.6499299,3.8699648000183515,002C8E,valid,11406,11406,46,261.46569711039257,209.19156829001855,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210004.8258479,4.045882800011896,002CD0,valid,11472,11472,66,375.1747973625331,243.78477156935529,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210005.0017293,4.2217642000177875,002D11,valid,11537,11537,65,369.56721971636875,288.77829789481007,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210005.1776471,4.397682000009809,002D65,valid,11621,11621,84,477.4957395090767,343.0276740582259,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210005.3536128,4.573647700017318,002DC5,valid,11717,11717,96,545.5608678049366,405.2244036927596,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210005.5294585,4.749493400013307,002E3D,valid,11837,11837,120,682.416459445623,483.03825112637304,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210005.7053791,4.925413999997545,002EB1,valid,11953,11953,116,659.3883832273954,552.395465094659,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210005.8812677,5.101302600000054,002F3E,valid,12094,12094,141,801.6437676915331,633.6121279380342,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210006.057171,5.27720589999808,002FD1,valid,12241,12241,147,835.6864254488083,706.0809521893038,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210006.2330995,5.453134400013369,003053,valid,12371,12371,130,738.9365565482722,750.9195841129155,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210006.4089826,5.629017500003101,0030D6,valid,12502,12502,131,744.8128899686621,767.6206349246925,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210006.5849027,5.804937600012636,00317A,valid,12666,12666,164,932.2413981751462,798.9682262738173,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210006.760799,5.980833900015568,003229,valid,12841,12841,175,994.9043839869423,835.020260931256,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210006.9367156,6.156750499998452,00331A,valid,13082,13082,241,1369.9673596661637,938.6463176299519,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210007.112641,6.33267590001924,0033DA,valid,13274,13274,192,1091.3716835506023,1044.3758959469128,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210007.2885476,6.50858250001329,0034A9,valid,13481,13481,207,1176.7608492631962,1130.4290399173908,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210007.4644261,6.6844609999971,00356D,valid,13677,13677,196,1114.4056835715699,1164.081647708578,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210007.6403184,6.860353299998678,00363C,valid,13884,13884,207,1176.8565195755723,1170.6078543770577,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210007.816246,7.036280900007114,0036EE,valid,14062,14062,178,1011.7798457516903,1124.97786334123,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210007.9921391,7.212174000014784,0037B4,valid,14260,14260,198,1125.683724895212,1117.5214650767775,003978,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
