timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,load_context,note
210042.5465534,0.0,00E330,valid-start,58160,58160,0,,,00E5E3,waiting-for-breakaway,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,start
210042.7223619,0.17580850000376813,00E37A,valid,58234,58234,74,420.9098934010909,,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210042.8982823,0.351728900015587,00E446,valid,58438,58438,204,1159.6153714196573,790.4206245061484,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210043.0742016,0.5276481999899261,00E551,valid,58705,58705,267,1517.741373680697,1045.5976159301822,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210043.2500937,0.7035402999899816,00E6AD,valid,59053,59053,348,1978.4856738869464,1283.1995053737132,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210043.4260077,0.8794543000112753,00E82C,valid,59436,59436,383,2177.2002225726164,1478.8114462324743,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210043.6019647,1.0554113000107463,00E9B5,valid,59829,59829,393,2233.500230176586,1838.0492086255792,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210043.7778563,1.2313029000069946,00EB31,valid,60209,60209,380,2160.4215323989624,2048.053446910341,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210043.9537867,1.407233300007647,00ECD7,valid,60631,60631,422,2398.6758399823757,2191.1054331866253,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210044.1296703,1.5831169000011869,00EE9F,valid,61087,61087,456,2592.623758080619,2295.716611735417,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210044.3055623,1.759008900000481,00F062,valid,61538,61538,451,2564.0734086928915,2388.566374188863,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210044.4814964,1.934943000000203,00F232,valid,62002,62002,464,2637.3511445520394,2486.4133479111347,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210044.6573954,2.110841999994591,00F41D,valid,62493,62493,491,2791.3745957376996,2596.1889914449634,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210044.8332846,2.286731200001668,00F5FF,valid,62975,62975,482,2740.361545681063,2664.1335148712656,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210045.0092093,2.4626559000171255,00F7DE,valid,63454,63454,479,2722.7558151749777,2702.232316718541,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210045.185128,2.6385746000159997,00F9BF,valid,63935,63935,481,2734.2175675643243,2732.4004668722077,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210045.3610191,2.8144657000084408,00FBA5,valid,64421,64421,486,2763.073288079306,2744.96073980497,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210045.5369445,2.9903911000001244,00FD9B,valid,64923,64923,502,2853.482214755405,2756.109345759868,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210045.7128356,3.1662821999925654,00FF72,valid,65394,65394,471,2677.793248323772,2759.202461600243,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210045.8887561,3.3422027000051457,010173,valid,65907,65907,513,2916.0899381443023,2784.571864234407,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210046.0646782,3.5181248000008054,01039D,valid,66461,66461,554,3149.121116753769,2851.9456380518304,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210046.2405672,3.69401380000636,0105CE,valid,67022,67022,561,3189.5115668534368,2945.00644741819,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210046.4165227,3.869969299994409,0107E6,valid,67558,67558,536,3046.224755897966,3023.0609332008626,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210046.5924114,4.045857999997679,010A22,valid,68130,68130,572,3252.0565561594667,3117.392051576091,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210046.7683273,4.221773900004337,010C62,valid,68706,68706,576,3274.29186320396,3173.292052414554,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210046.9442896,4.397736200015061,010E98,valid,69272,69272,566,3216.598100647157,3196.081927812503,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210047.120144,4.573590599989984,0110B6,valid,69814,69814,542,3082.0951882767104,3195.9850036774847,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210047.2960574,4.749504000006709,01130D,valid,70413,70413,599,3405.084546959184,3231.0445200273066,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210047.4719752,4.92542179999873,01157A,valid,71034,71034,621,3530.0577885135312,3278.130492627051,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210047.6478792,5.101325800002087,0117D6,valid,71638,71638,604,3433.691104173156,3336.999883889865,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210047.8238268,5.277273400017293,011A40,valid,72256,72256,618,3512.409376124422,3412.9737684774054,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210047.9996836,5.4531302000104915,011CCD,valid,72909,72909,653,3713.248506883192,3509.550832518024,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210048.1756184,5.629065000015544,011F35,valid,73525,73525,616,3501.2970713145473,3541.2414537856107,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210048.3515046,5.804951199999778,01219B,valid,74139,74139,614,3490.893543979221,3547.1790114646956,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210048.5274181,5.980864700017264,012438,valid,74808,74808,669,3803.005454007218,3592.042679127296,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210048.7033215,6.156768100016052,0126E2,valid,75490,75490,682,3877.1280146074487,3651.5503273967274,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210048.8792331,6.332679699989967,0129A6,valid,76198,76198,708,4024.7487948775693,3737.186307103755,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210049.0551523,6.5085988999926485,012C19,valid,76825,76825,627,3564.1362625025745,3794.042994385033,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210049.2310468,6.684493400010979,012ED2,valid,77522,77522,697,3962.6025823852615,3845.163162175032,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210049.40699,6.860436599992681,0131A1,valid,78241,78241,719,4086.5461130340564,3879.8409033665303,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210049.5828878,7.036334400007036,013477,valid,78967,78967,726,4127.396703885746,3932.274662731504,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210049.7588038,7.2122504000144545,01372F,valid,79663,79663,696,3956.433752305916,3974.3362952320354,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210049.934727,7.38817360001849,0139D8,valid,80344,80344,681,3871.0073485724347,4018.8126884773865,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210050.1106199,7.564066499995533,013CBA,valid,81082,81082,738,4195.735018845675,4028.7523531726542,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210050.2865216,7.73996820001048,013FA2,valid,81826,81826,744,4229.6350742305485,4052.6056478385144,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210050.4624261,7.915872700017644,014271,valid,82545,82545,719,4087.4451760513157,4079.593827906249,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210050.6383272,8.091773799998919,014546,valid,83270,83270,725,4121.634259690132,4122.718512422253,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210050.8142525,8.26769909998984,014846,valid,84038,84038,768,4365.489216386893,4182.954550854264,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210050.9901637,8.443610299989814,014B46,valid,84806,84806,768,4365.8391279243,4219.879302365836,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210051.1660357,8.619482300011441,014E34,valid,85556,85556,750,4264.465064977778,4255.683098681425,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210051.3419695,8.795416100008879,015123,valid,86307,86307,751,4268.651049490987,4293.8214756655,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210051.5178544,8.971301000012318,015435,valid,87093,87093,786,4468.831605127174,4332.219802694795,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210051.6937732,9.147219800011953,015741,valid,87873,87873,780,4433.863805355741,4350.9340669379335,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210051.8697065,9.323153100005584,015A76,valid,88694,88694,821,4666.5412405140105,4414.137813389642,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210052.045581,9.499027600017143,015DBB,valid,89531,89531,837,4759.075363085536,4517.888509190348,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210052.2215157,9.67496229999233,0160F5,valid,90357,90357,826,4694.923742254912,4610.316717789187,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
210052.397398,9.850844600005075,0163C6,valid,91078,91078,721,4099.332337294623,4582.561731046649,00E5E3,moving-transient,True,gearbox-swap-gen1-free-az-no-tripod-no-cable-wrap,
