point_index,payload_hex,timestamp,monotonic_s,elapsed_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,002000,1790098907.0473404,284924.0305423,0.19198200001847,warmup,005AC6,valid,23238,-3,True,
1,002000,1790098907.238744,284924.2219488,0.3833885000203736,warmup,005AC3,valid,23235,-3,True,
1,002000,1790098907.4307597,284924.4139632,0.5754028999945149,warmup,005ABE,valid,23230,-5,True,
1,002000,1790098907.622724,284924.6059293,0.7673690000083297,warmup,005ABC,valid,23228,-2,True,
1,002000,1790098907.8147125,284924.7979184,0.959358100022655,warmup,005AB9,valid,23225,-3,True,
1,002000,1790098908.0067208,284924.9899254,1.1513650999986567,warmup,005AB7,valid,23223,-2,True,
1,002000,1790098908.1982965,284925.1815008,1.3429405000060797,warmup,005AB4,valid,23220,-3,True,
1,002000,1790098908.3902884,284925.3734927,1.5349323999835178,warmup,005AA9,valid,23209,-11,True,
1,002000,1790098908.5822802,284925.5654852,1.7269248999655247,warmup,005AA4,valid,23204,-5,True,
1,002000,1790098908.7742724,284925.7574769,1.9189165999996476,warmup,005A91,valid,23185,-19,True,
1,002000,1790098908.9662657,284925.9494709,2.110910599993076,warmup,005A77,valid,23159,-26,True,
1,002000,1790098909.158265,284926.1414692,2.302908900019247,warmup,005A4E,valid,23118,-41,True,
1,002000,1790098909.350248,284926.3334539,2.4948936000000685,warmup,005A33,valid,23091,-27,True,
1,002000,1790098909.5422513,284926.5254559,2.6868955999962054,warmup,005A07,valid,23047,-44,True,
1,002000,1790098909.733663,284926.7168694,2.878309099993203,warmup,0059D6,valid,22998,-49,True,
1,002000,1790098909.9256518,284926.9088566,3.0702962999930605,measurement,00599E,valid,22942,-56,True,
1,002000,1790098910.11767,284927.1008749,3.2623145999968983,measurement,005953,valid,22867,-75,True,
1,002000,1790098910.3256826,284927.3088888,3.470328499970492,measurement,005904,valid,22788,-79,True,
1,002000,1790098910.5176284,284927.5008331,3.662272799992934,measurement,0058E1,valid,22753,-35,True,
1,002000,1790098910.709213,284927.6924174,3.853857100009918,measurement,0058BF,valid,22719,-34,True,
1,002000,1790098910.9012034,284927.88441,4.0458496999926865,measurement,005897,valid,22679,-40,True,
1,002000,1790098911.1092007,284928.0924055,4.2538452000007965,measurement,005888,valid,22664,-15,True,
1,002000,1790098911.3011827,284928.2843889,4.445828599971719,measurement,005862,valid,22626,-38,True,
1,002000,1790098911.4931939,284928.4763983,4.6378379999659956,measurement,005830,valid,22576,-50,True,
1,002000,1790098911.701187,284928.6843918,4.845831500017084,measurement,00580F,valid,22543,-33,True,
1,002000,1790098911.8931718,284928.8763782,5.03781790001085,measurement,005800,valid,22528,-15,True,
1,002000,1790098912.0851731,284929.0683777,5.229817399987951,measurement,0057D8,valid,22488,-40,True,
1,002000,1790098912.2765834,284929.2597881,5.421227800019551,measurement,0057C4,valid,22468,-20,True,
1,002000,1790098912.4845674,284929.467772,5.629211699997541,measurement,0057A4,valid,22436,-32,True,
1,002000,1790098912.6765618,284929.6597674,5.821207100001629,measurement,005777,valid,22391,-45,True,
1,002000,1790098912.8681362,284929.8513423,6.012782000005245,measurement,005731,valid,22321,-70,True,
1,002000,1790098913.0761292,284930.0593337,6.220773399982136,measurement,0056F2,valid,22258,-63,True,
1,002000,1790098913.2681231,284930.2513283,6.412767999980133,measurement,0056BF,valid,22207,-51,True,
1,002000,1790098913.4601245,284930.4433311,6.6047707999823615,measurement,005648,valid,22088,-119,True,
1,002000,1790098913.6681154,284930.6513216,6.812761300010607,measurement,0055BD,valid,21949,-139,True,
1,002000,1790098913.8601007,284930.8433063,7.004745999991428,measurement,005557,valid,21847,-102,True,
1,002000,1790098914.0521433,284931.0353455,7.196785199979786,measurement,0054E3,valid,21731,-116,True,
1,002000,1790098914.2440925,284931.2272969,7.388736599998083,measurement,005451,valid,21585,-146,True,
1,002000,1790098914.4515052,284931.4347099,7.596149599994533,measurement,0053CD,valid,21453,-132,True,
1,002000,1790098914.6434972,284931.6267022,7.788141899975017,measurement,005344,valid,21316,-137,True,
1,002000,1790098914.8354993,284931.8187032,7.980142900021747,measurement,0052B7,valid,21175,-141,True,
2,003978,1790098917.1704202,284934.153625,0.19191489997319877,warmup,005281,valid,21121,-4,True,
2,003978,1790098917.3624144,284934.3456189,0.38390880002407357,warmup,00527E,valid,21118,-3,True,
2,003978,1790098917.5544086,284934.5376134,0.5759033000213094,warmup,00527C,valid,21116,-2,True,
2,003978,1790098917.762393,284934.745598,0.783887900004629,warmup,005279,valid,21113,-3,True,
2,003978,1790098917.9539785,284934.9371856,0.9754754999885336,warmup,005276,valid,21110,-3,True,
2,003978,1790098918.1459742,284935.129179,1.1674688999773934,warmup,005274,valid,21108,-2,True,
2,003978,1790098918.353963,284935.3371676,1.375457499991171,warmup,005271,valid,21105,-3,True,
2,003978,1790098918.5459657,284935.5291699,1.5674597999895923,warmup,005268,valid,21096,-9,True,
2,003978,1790098918.7379553,284935.7211619,1.7594517999677919,warmup,005264,valid,21092,-4,True,
2,003978,1790098918.929941,284935.9131484,1.951438300020527,warmup,005261,valid,21089,-3,True,
2,003978,1790098919.1379433,284936.1211471,2.1594369999947958,warmup,005259,valid,21081,-8,True,
2,003978,1790098919.3299356,284936.3131418,2.3514316999935545,warmup,00524B,valid,21067,-14,True,
2,003978,1790098919.5219588,284936.5051626,2.5434525000164285,warmup,005247,valid,21063,-4,True,
2,003978,1790098919.7293305,284936.712535,2.750824899994768,warmup,005245,valid,21061,-2,True,
2,003978,1790098919.9213328,284936.9045389,2.9428288000053726,warmup,005244,valid,21060,-1,True,
2,003978,1790098920.1133268,284937.0965314,3.1348212999873795,measurement,00523A,valid,21050,-10,True,
2,003978,1790098920.3053215,284937.2885281,3.326818000001367,measurement,005231,valid,21041,-9,True,
2,003978,1790098920.5128934,284937.4961,3.534389899985399,measurement,005214,valid,21012,-29,True,
2,003978,1790098920.7048883,284937.6880941,3.726383999979589,measurement,005207,valid,20999,-13,True,
2,003978,1790098920.8969042,284937.8801083,3.918398200010415,measurement,0051DD,valid,20957,-42,True,
2,003978,1790098921.1048746,284938.0880793,4.126369200006593,measurement,0051C4,valid,20932,-25,True,
