point_index,payload_hex,timestamp,monotonic_s,elapsed_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,002000,1790098814.330304,284831.3135066,0.20798050001030788,warmup,101ED6,valid,1056470,3,True,
1,002000,1790098814.5222757,284831.5054803,0.39995420002378523,warmup,101ED9,valid,1056473,3,True,
1,002000,1790098814.7136812,284831.6968856,0.5913595000165515,warmup,101EDC,valid,1056476,3,True,
1,002000,1790098814.9056818,284831.8888865,0.7833604000043124,warmup,101EDF,valid,1056479,3,True,
1,002000,1790098815.0976677,284832.0808717,0.9753456000471488,warmup,101EE0,valid,1056480,1,True,
1,002000,1790098815.2896607,284832.2728667,1.1673406000481918,warmup,101EE1,valid,1056481,1,True,
1,002000,1790098815.481661,284832.4648656,1.3593395000207238,warmup,101EE3,valid,1056483,2,True,
1,002000,1790098815.6732364,284832.656441,1.5509149000281468,warmup,101EE8,valid,1056488,5,True,
1,002000,1790098815.8652372,284832.8484421,1.7429160000174306,warmup,101EF2,valid,1056498,10,True,
1,002000,1790098816.0572262,284833.0404308,1.93490470002871,warmup,101EF6,valid,1056502,4,True,
1,002000,1790098816.249208,284833.2324145,2.126888400001917,warmup,101F05,valid,1056517,15,True,
1,002000,1790098816.4412086,284833.4244131,2.3188870000303723,warmup,101F10,valid,1056528,11,True,
1,002000,1790098816.6331968,284833.6164023,2.510876200045459,warmup,101F23,valid,1056547,19,True,
1,002000,1790098816.8252063,284833.8084115,2.7028854000382125,warmup,101F45,valid,1056581,34,True,
1,002000,1790098817.0171804,284834.0003862,2.8948601000010967,warmup,101F76,valid,1056630,49,True,
1,002000,1790098817.208619,284834.1918239,3.086297800007742,measurement,101F98,valid,1056664,34,True,
1,002000,1790098817.4005961,284834.3838011,3.27827500004787,measurement,101FD4,valid,1056724,60,True,
1,002000,1790098817.592591,284834.5757954,3.470269300043583,measurement,102014,valid,1056788,64,True,
1,002000,1790098817.784596,284834.767803,3.6622769000241533,measurement,102062,valid,1056866,78,True,
1,002000,1790098817.9765713,284834.9597786,3.854252500052098,measurement,1020CE,valid,1056974,108,True,
1,002000,1790098818.1841583,284835.167362,4.0618359000072815,measurement,10212B,valid,1057067,93,True,
1,002000,1790098818.3761551,284835.3593608,4.25383470003726,measurement,102177,valid,1057143,76,True,
1,002000,1790098818.5681427,284835.5513483,4.445822200039402,measurement,1021C5,valid,1057221,78,True,
1,002000,1790098818.7761366,284835.7593416,4.65381550003076,measurement,1021F7,valid,1057271,50,True,
1,002000,1790098818.9681356,284835.9513404,4.84581430000253,measurement,10221F,valid,1057311,40,True,
1,002000,1790098819.16012,284836.1433248,5.037798700039275,measurement,10223D,valid,1057341,30,True,
1,002000,1790098819.3521154,284836.3353224,5.229796300001908,measurement,10226A,valid,1057386,45,True,
1,002000,1790098819.559541,284836.5427469,5.437220800027717,measurement,1022A3,valid,1057443,57,True,
