payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001E,1790200195.2060041,38925.0895908,0.20198640000307932,candidate-warmup,1014BE,valid,1053886,-123,True,
1,1,00001E,1790200195.3979864,38925.2815742,0.3939698000031058,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200195.5895562,38925.4731461,0.58554169999843,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200195.7815511,38925.6651411,0.7775366999994731,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200195.973537,38925.8571256,0.9695212000005995,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200196.1649659,38926.0485552,1.160950800003775,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200196.356529,38926.2401175,1.3525130999987596,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200196.5485318,38926.4321207,1.5445163000040338,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200196.7405179,38926.6241066,1.7365022000012686,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200196.9325094,38926.8160998,1.9284954000031576,candidate-warmup,1014BE,valid,1053886,0,True,
1,1,00001E,1790200197.1239293,38927.0075199,2.119915499999479,candidate-warmup,1014BC,valid,1053884,-2,True,
1,1,00001E,1790200197.3159301,38927.1995183,2.3119139000045834,candidate-warmup,1014BB,valid,1053883,-1,True,
1,1,00001E,1790200197.507497,38927.391085,2.503480600003968,candidate-warmup,1014BA,valid,1053882,-1,True,
1,1,00001E,1790200197.715494,38927.5990816,2.711477199998626,candidate-warmup,1014BA,valid,1053882,0,True,
1,1,00001E,1790200197.9074867,38927.7910746,2.903470199998992,candidate-warmup,1014B8,valid,1053880,-2,True,
1,1,00001E,1790200198.098897,38927.9824872,3.0948828000036883,candidate-warmup,1014B8,valid,1053880,0,True,
1,1,00001E,1790200198.290895,38928.1744832,3.286878799997794,candidate-warmup,1014B7,valid,1053879,-1,True,
1,1,00001E,1790200198.4988847,38928.3824731,3.4948686999996426,candidate-warmup,1014B7,valid,1053879,0,True,
1,1,00001E,1790200198.690465,38928.5740535,3.6864491000014823,candidate-warmup,1014B7,valid,1053879,0,True,
1,1,00001E,1790200198.8824477,38928.7660384,3.8784339999983786,candidate-warmup,1014B5,valid,1053877,-2,True,
1,1,00001E,1790200199.0904412,38928.974032,4.086427599999297,candidate-warmup,1014B5,valid,1053877,0,True,
1,1,00001E,1790200199.2818625,38929.1654505,4.277846099997987,candidate-warmup,1014B3,valid,1053875,-2,True,
1,1,00001E,1790200199.4738588,38929.3574472,4.469842799997423,candidate-warmup,1014B2,valid,1053874,-1,True,
1,1,00001E,1790200199.6658483,38929.5494382,4.661833800004388,candidate-warmup,1014B0,valid,1053872,-2,True,
1,1,00001E,1790200199.873421,38929.7570116,4.869407199999841,candidate-warmup,1014AF,valid,1053871,-1,True,
1,1,00001E,1790200200.0654185,38929.9490062,5.061401799997839,candidate-warmup,1014AF,valid,1053871,0,True,
1,1,00001E,1790200200.257438,38930.1410247,5.253420300003199,candidate-warmup,1014AD,valid,1053869,-2,True,
1,1,00001E,1790200200.4648206,38930.3484096,5.460805200003961,candidate-warmup,1014A9,valid,1053865,-4,True,
1,1,00001E,1790200200.6568117,38930.5404007,5.652796300004411,candidate-warmup,1014A7,valid,1053863,-2,True,
1,1,00001E,1790200200.8483894,38930.7319777,5.844373300002189,candidate-warmup,1014A3,valid,1053859,-4,True,
1,1,00001E,1790200201.056375,38930.9399631,6.0523586999988765,candidate-warmup,1014A1,valid,1053857,-2,True,
1,1,00001E,1790200201.2483766,38931.1319651,6.244360700002289,candidate-warmup,10149F,valid,1053855,-2,True,
1,1,00001E,1790200201.4397962,38931.3233839,6.435779500003264,candidate-warmup,10149D,valid,1053853,-2,True,
1,1,00001E,1790200201.6317782,38931.5153681,6.627763700002106,candidate-warmup,10149D,valid,1053853,0,True,
1,1,00001E,1790200201.8397782,38931.7233666,6.8357622000039555,candidate-warmup,10149D,valid,1053853,0,True,
1,1,00001E,1790200202.0317671,38931.9153567,7.027752300004067,candidate-warmup,10149D,valid,1053853,0,True,
1,1,00001E,1790200202.2233508,38932.1069393,7.219334900000831,candidate-warmup,10149B,valid,1053851,-2,True,
1,1,00001E,1790200202.4313364,38932.3149248,7.42732039999828,candidate-warmup,10149B,valid,1053851,0,True,
1,1,00001E,1790200202.6233344,38932.5069228,7.619318400000338,candidate-warmup,10149A,valid,1053850,-1,True,
1,1,00001E,1790200202.8147624,38932.6983533,7.810748900003091,candidate-warmup,101499,valid,1053849,-1,True,
1,1,00001E,1790200203.0227332,38932.906324,8.01871960000426,candidate-warmup,101497,valid,1053847,-2,True,
1,1,00001E,1790200203.2147374,38933.098326,8.210721600000397,candidate-warmup,101497,valid,1053847,0,True,
1,1,00001E,1790200203.4063098,38933.2898987,8.402294300001813,candidate-warmup,101497,valid,1053847,0,True,
1,1,00001E,1790200203.598301,38933.4818892,8.594284799997695,candidate-warmup,101495,valid,1053845,-2,True,
1,1,00001E,1790200203.8057172,38933.6893071,8.801702700002352,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200203.9977067,38933.8812953,8.993690900002548,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200204.1892893,38934.0728778,9.18527339999855,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200204.397277,38934.2808658,9.393261400000483,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200204.5892599,38934.4728485,9.585244100002456,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200204.7812622,38934.664853,9.777248600003077,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200204.9886682,38934.8722593,9.984654899999441,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200205.18067,38935.0642586,10.176654200004123,candidate-warmup,101495,valid,1053845,0,True,
1,1,00001E,1790200205.372246,38935.2558349,10.368230500003847,candidate-warmup,10148E,valid,1053838,-7,True,
1,1,00001E,1790200205.5642405,38935.4478289,10.560224500004551,candidate-warmup,101485,valid,1053829,-9,True,
1,1,00001E,1790200205.7716515,38935.6552399,10.767635500000324,candidate-warmup,101483,valid,1053827,-2,True,
1,1,00001E,1790200205.9636433,38935.8472323,10.959627900003397,candidate-warmup,101483,valid,1053827,0,True,
1,1,00001E,1790200206.1556296,38936.0392206,11.151616200004355,candidate-warmup,101482,valid,1053826,-1,True,
1,1,00001E,1790200206.363211,38936.2467991,11.359194700002263,candidate-warmup,10147F,valid,1053823,-3,True,
1,1,00001E,1790200206.5552049,38936.4387933,11.55118890000449,candidate-warmup,10146E,valid,1053806,-17,True,
1,1,00001E,1790200206.7471972,38936.630787,11.74318260000291,candidate-warmup,101469,valid,1053801,-5,True,
1,1,00001E,1790200206.9546251,38936.8382141,11.950609699997585,candidate-warmup,10145F,valid,1053791,-10,True,
1,1,00001E,1790200207.1466057,38937.0301964,12.142592000003788,candidate-warmup,101459,valid,1053785,-6,True,
1,1,00001E,1790200207.3381813,38937.2217692,12.334164799998689,candidate-warmup,101455,valid,1053781,-4,True,
1,1,00001E,1790200207.5301738,38937.4137637,12.5261593000032,candidate-warmup,101446,valid,1053766,-15,True,
1,1,00001E,1790200207.7381887,38937.6217769,12.734172500000568,candidate-warmup,101441,valid,1053761,-5,True,
1,1,00001E,1790200207.9295783,38937.8131689,12.925564500001201,candidate-warmup,10143E,valid,1053758,-3,True,
1,1,00001E,1790200208.1215687,38938.0051584,13.11755400000402,candidate-warmup,10143D,valid,1053757,-1,True,
1,1,00001E,1790200208.329146,38938.2127347,13.325130299999728,candidate-warmup,10143C,valid,1053756,-1,True,
1,1,00001E,1790200208.521138,38938.4047264,13.517121999997471,candidate-warmup,10143C,valid,1053756,0,True,
1,1,00001E,1790200208.713138,38938.5967275,13.709123100001307,candidate-warmup,10143C,valid,1053756,0,True,
1,1,00001E,1790200208.9205427,38938.8041327,13.916528300003847,candidate-warmup,10143C,valid,1053756,0,True,
1,1,00001E,1790200209.1125388,38938.9961288,14.108524399998714,candidate-warmup,10143A,valid,1053754,-2,True,
1,1,00001E,1790200209.3041182,38939.1877064,14.300102000001061,candidate-warmup,101435,valid,1053749,-5,True,
1,1,00001E,1790200209.4961133,38939.3797026,14.492098200003966,candidate-warmup,10142D,valid,1053741,-8,True,
1,1,00001E,1790200209.7041006,38939.5876896,14.700085199998284,candidate-warmup,10142B,valid,1053739,-2,True,
1,1,00001E,1790200209.8955166,38939.7791056,14.891501199999766,candidate-warmup,101429,valid,1053737,-2,True,
1,1,00001E,1790200210.087509,38939.9711003,15.083495899998525,candidate-warmup,101429,valid,1053737,0,True,
1,1,00001E,1790200210.2955027,38940.1790915,15.291487100002996,candidate-warmup,101429,valid,1053737,0,True,
1,1,00001E,1790200210.4870777,38940.3706666,15.483062200000859,candidate-warmup,101429,valid,1053737,0,True,
1,1,00001E,1790200210.6790702,38940.5626599,15.67505550000351,candidate-warmup,101428,valid,1053736,-1,True,
1,1,00001E,1790200210.8870552,38940.7706455,15.88304110000172,candidate-warmup,101425,valid,1053733,-3,True,
1,1,00001E,1790200211.0944972,38940.9780864,16.09048199999961,candidate-warmup,101415,valid,1053717,-16,True,
1,1,00001E,1790200211.2864735,38941.170062,16.28245759999845,candidate-warmup,101411,valid,1053713,-4,True,
1,1,00001E,1790200211.478489,38941.3620782,16.47447380000085,candidate-warmup,10140C,valid,1053708,-5,True,
