run_label,payload_index,trial_index,payload_hex,window_index,window_nominal_start_s,window_nominal_end_s,sample_start_s,sample_end_s,start_raw,end_raw,signed_delta_counts,elapsed_s,counts_per_s,commanded_cps,degrees_per_s,valid_samples,invalid_samples,reverse_increments
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,1,0.0,30.0,0.0,29.875046199995268,1049864,1049464,-400,29.875046199995268,-13.389100633426413,13.389100633426413,-0.004550126332952125,153,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,2,30.0,60.0,30.08260639999935,59.95806779999839,1049461,1049099,-362,29.87546139999904,-12.116967673008446,12.116967673008446,-0.004117807102505589,153,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,3,60.0,90.0,60.14963319999515,89.83367729999736,1049095,1048806,-289,29.68404410000221,-9.735870187579275,9.735870187579275,-0.003308619490401971,152,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,4,90.0,120.0,90.0416716999971,119.91770439999527,1048806,1048447,-359,29.876032699998177,-12.016321029131218,12.016321029131218,-0.0040836035396848176,153,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,5,120.0,150.0,120.10969759999716,149.80977329999587,1048447,1048067,-380,29.700075699998706,-12.794580183511671,12.794580183511671,-0.004348085641146275,152,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,6,150.0,180.0,150.0017360999991,179.87818849999894,1048067,1047704,-363,29.876452399999835,-12.150036930087524,12.150036930087524,-0.0041290452955378395,153,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,7,180.0,210.0,180.0861794999946,209.9622218000004,1047683,1047283,-400,29.876042300005793,-13.388654226129626,13.388654226129626,-0.004549974626750794,153,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,8,210.0,240.0,210.15378589999455,239.85324629999377,1047283,1046973,-310,29.699460399999225,-10.437900077134334,10.437900077134334,-0.003547195984405548,152,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,9,240.0,270.0,240.0452387999976,269.92085419999785,1046967,1046604,-363,29.875615400000243,-12.150377327457397,12.150377327457397,-0.004129160975528508,153,0,0
az-postrebuild-sidereal-minus-1e-5min-r2,1,1,00001E,10,270.0,279.95995169999514,270.12887639999826,279.95995169999514,1046599,1046473,-126,9.831075299996883,-12.816502381996806,12.816502381996806,-0.004355535639121074,51,0,0
