payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790199707.6233435,38437.5069275,0.20258250000188127,candidate-warmup,102627,valid,1058343,-73,True,
1,1,00001F,1790199707.8147218,38437.69831,0.393965000002936,candidate-warmup,102627,valid,1058343,0,True,
1,1,00001F,1790199708.006701,38437.890289,0.5859440000058385,candidate-warmup,102627,valid,1058343,0,True,
1,1,00001F,1790199708.1982954,38438.0818829,0.7775379000013345,candidate-warmup,102627,valid,1058343,0,True,
1,1,00001F,1790199708.3902767,38438.2738649,0.9695199000052526,candidate-warmup,102627,valid,1058343,0,True,
1,1,00001F,1790199708.582268,38438.465856,1.161511000005703,candidate-warmup,102627,valid,1058343,0,True,
1,1,00001F,1790199708.7896838,38438.6732718,1.3689268000016455,candidate-warmup,102626,valid,1058342,-1,True,
1,1,00001F,1790199708.9816728,38438.865261,1.5609160000021802,candidate-warmup,102626,valid,1058342,0,True,
1,1,00001F,1790199709.173696,38439.057283,1.7529380000050878,candidate-warmup,102626,valid,1058342,0,True,
1,1,00001F,1790199709.365667,38439.2492551,1.944910100006382,candidate-warmup,102626,valid,1058342,0,True,
1,1,00001F,1790199709.5732498,38439.4568383,2.152493300003698,candidate-warmup,102626,valid,1058342,0,True,
1,1,00001F,1790199709.7652445,38439.6488319,2.344486900001357,candidate-warmup,102625,valid,1058341,-1,True,
1,1,00001F,1790199709.9572358,38439.8408228,2.5364778000002843,candidate-warmup,102623,valid,1058339,-2,True,
1,1,00001F,1790199710.1652508,38440.0488374,2.744492400001036,candidate-warmup,102621,valid,1058337,-2,True,
1,1,00001F,1790199710.3566387,38440.2402268,2.935881800003699,candidate-warmup,10261F,valid,1058335,-2,True,
1,1,00001F,1790199710.5486307,38440.432219,3.1278740000052494,candidate-warmup,10261F,valid,1058335,0,True,
1,1,00001F,1790199710.756206,38440.6397943,3.3354493000006187,candidate-warmup,10261F,valid,1058335,0,True,
1,1,00001F,1790199710.9481883,38440.8317771,3.5274321000033524,candidate-warmup,10261F,valid,1058335,0,True,
1,1,00001F,1790199711.140192,38441.0237804,3.719435400002112,candidate-warmup,10261E,valid,1058334,-1,True,
1,1,00001F,1790199711.3316178,38441.2152049,3.9108599000028335,candidate-warmup,10261E,valid,1058334,0,True,
1,1,00001F,1790199711.539594,38441.4231823,4.118837300004088,candidate-warmup,10261C,valid,1058332,-2,True,
1,1,00001F,1790199711.7311625,38441.6147512,4.310406200005673,candidate-warmup,10261A,valid,1058330,-2,True,
1,1,00001F,1790199711.923157,38441.8067455,4.502400500001386,candidate-warmup,102619,valid,1058329,-1,True,
1,1,00001F,1790199712.1311512,38442.0147394,4.7103944000045885,candidate-warmup,102619,valid,1058329,0,True,
1,1,00001F,1790199712.3231518,38442.2067398,4.902394800003094,candidate-warmup,102619,valid,1058329,0,True,
1,1,00001F,1790199712.5145607,38442.3981491,5.0938041000044905,candidate-warmup,102619,valid,1058329,0,True,
1,1,00001F,1790199712.7065506,38442.5901392,5.285794200004602,candidate-warmup,102619,valid,1058329,0,True,
1,1,00001F,1790199712.9145572,38442.7981445,5.493799500000023,candidate-warmup,102617,valid,1058327,-2,True,
1,1,00001F,1790199713.1061203,38442.9897089,5.685363900003722,candidate-warmup,102617,valid,1058327,0,True,
1,1,00001F,1790199713.2981138,38443.1817023,5.877357299999858,candidate-warmup,102617,valid,1058327,0,True,
1,1,00001F,1790199713.5061073,38443.389695,6.085350000001199,candidate-warmup,102617,valid,1058327,0,True,
1,1,00001F,1790199713.698106,38443.5816939,6.277348900002835,candidate-warmup,102617,valid,1058327,0,True,
1,1,00001F,1790199713.8895178,38443.7731061,6.468761100004485,candidate-warmup,102617,valid,1058327,0,True,
1,1,00001F,1790199714.097514,38443.9811017,6.676756700006081,candidate-warmup,102617,valid,1058327,0,True,
1,1,00001F,1790199714.2890885,38444.1726767,6.868331700003182,candidate-warmup,102616,valid,1058326,-1,True,
1,1,00001F,1790199714.481077,38444.3646651,7.060320100004901,candidate-warmup,102603,valid,1058307,-19,True,
1,1,00001F,1790199714.6730728,38444.5566609,7.25231590000476,candidate-warmup,1025FE,valid,1058302,-5,True,
1,1,00001F,1790199714.8805225,38444.7641072,7.459762200000114,candidate-warmup,1025F6,valid,1058294,-8,True,
1,1,00001F,1790199715.0724766,38444.9560649,7.651719900000899,candidate-warmup,1025F0,valid,1058288,-6,True,
1,1,00001F,1790199715.264475,38445.1480639,7.843718900003296,candidate-warmup,1025ED,valid,1058285,-3,True,
1,1,00001F,1790199715.4720502,38445.3556381,8.051293100004841,candidate-warmup,1025E9,valid,1058281,-4,True,
1,1,00001F,1790199715.664036,38445.5476248,8.243279800000892,candidate-warmup,1025E6,valid,1058278,-3,True,
1,1,00001F,1790199715.855448,38445.7390364,8.43469140000525,candidate-warmup,1025E0,valid,1058272,-6,True,
1,1,00001F,1790199716.0634675,38445.9470556,8.642710600004648,candidate-warmup,1025D9,valid,1058265,-7,True,
1,1,00001F,1790199716.2554479,38446.139036,8.834691000003659,candidate-warmup,1025D5,valid,1058261,-4,True,
1,1,00001F,1790199716.447012,38446.3306004,9.026255400000082,candidate-warmup,1025D5,valid,1058261,0,True,
1,1,00001F,1790199716.6390116,38446.5225995,9.21825450000324,candidate-warmup,1025D2,valid,1058258,-3,True,
1,1,00001F,1790199716.847008,38446.730596,9.426251000004413,candidate-warmup,1025D1,valid,1058257,-1,True,
1,1,00001F,1790199717.038414,38446.9220024,9.617657400005555,candidate-warmup,1025D1,valid,1058257,0,True,
1,1,00001F,1790199717.2304637,38447.1140498,9.80970480000542,candidate-warmup,1025D1,valid,1058257,0,True,
1,1,00001F,1790199717.4379818,38447.3215698,10.017224800001713,candidate-warmup,1025D0,valid,1058256,-1,True,
1,1,00001F,1790199717.6299875,38447.5135761,10.209231100001489,candidate-warmup,1025D0,valid,1058256,0,True,
1,1,00001F,1790199717.8219674,38447.7055552,10.401210200005153,candidate-warmup,1025D0,valid,1058256,0,True,
1,1,00001F,1790199718.0299587,38447.9135482,10.609203200001502,candidate-warmup,1025D0,valid,1058256,0,True,
1,1,00001F,1790199718.2373786,38448.1209666,10.81662160000269,candidate-warmup,1025D0,valid,1058256,0,True,
1,1,00001F,1790199718.428942,38448.3125313,11.008186300001398,candidate-warmup,1025CF,valid,1058255,-1,True,
1,1,00001F,1790199718.6209412,38448.5045294,11.200184400004218,candidate-warmup,1025C8,valid,1058248,-7,True,
1,1,00001F,1790199718.8129394,38448.6965273,11.392182300005516,candidate-warmup,1025C2,valid,1058242,-6,True,
1,1,00001F,1790199719.0043635,38448.8879518,11.583606800006237,candidate-warmup,1025BF,valid,1058239,-3,True,
1,1,00001F,1790199719.1963558,38449.0799444,11.775599400003557,candidate-warmup,1025BF,valid,1058239,0,True,
1,1,00001F,1790199719.4039347,38449.2875221,11.98317710000265,candidate-warmup,1025BD,valid,1058237,-2,True,
1,1,00001F,1790199719.595912,38449.4794995,12.175154500000644,candidate-warmup,1025BD,valid,1058237,0,True,
1,1,00001F,1790199719.7879035,38449.6714921,12.36714710000524,candidate-warmup,1025BD,valid,1058237,0,True,
1,1,00001F,1790199719.995902,38449.8794904,12.575145400005567,candidate-warmup,1025BD,valid,1058237,0,True,
