payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001E,1790200051.3116436,38781.1952304,0.20197310000366997,candidate-warmup,101696,valid,1054358,-99,True,
1,1,00001E,1790200051.503205,38781.3867942,0.3935369000028004,candidate-warmup,101696,valid,1054358,0,True,
1,1,00001E,1790200051.695198,38781.5787869,0.5855296000008821,candidate-warmup,101696,valid,1054358,0,True,
1,1,00001E,1790200051.8871858,38781.7707757,0.777518400005647,candidate-warmup,101696,valid,1054358,0,True,
1,1,00001E,1790200052.0951872,38781.9787762,0.9855189000008977,candidate-warmup,101695,valid,1054357,-1,True,
1,1,00001E,1790200052.2866027,38782.1701903,1.1769330000024638,candidate-warmup,101695,valid,1054357,0,True,
1,1,00001E,1790200052.4785855,38782.3621749,1.3689176000043517,candidate-warmup,101695,valid,1054357,0,True,
1,1,00001E,1790200052.6701617,38782.5537523,1.5604950000051758,candidate-warmup,101695,valid,1054357,0,True,
1,1,00001E,1790200052.8621564,38782.7457456,1.7524883000005502,candidate-warmup,101695,valid,1054357,0,True,
1,1,00001E,1790200053.0541518,38782.9377415,1.9444842000011704,candidate-warmup,101693,valid,1054355,-2,True,
1,1,00001E,1790200053.2461448,38783.1297328,2.1364755000031437,candidate-warmup,101693,valid,1054355,0,True,
1,1,00001E,1790200053.4375644,38783.3211525,2.327895200003695,candidate-warmup,101693,valid,1054355,0,True,
1,1,00001E,1790200053.6295488,38783.5131387,2.5198814000032144,candidate-warmup,101693,valid,1054355,0,True,
1,1,00001E,1790200053.8371344,38783.7207218,2.727464499999769,candidate-warmup,101693,valid,1054355,0,True,
1,1,00001E,1790200054.029117,38783.9127072,2.9194499000004726,candidate-warmup,101690,valid,1054352,-3,True,
1,1,00001E,1790200054.2211187,38784.1047069,3.111449600000924,candidate-warmup,10168F,valid,1054351,-1,True,
1,1,00001E,1790200054.4285343,38784.3121224,3.318865100001858,candidate-warmup,10168D,valid,1054349,-2,True,
1,1,00001E,1790200054.6205237,38784.5041117,3.5108544000031543,candidate-warmup,10168D,valid,1054349,0,True,
1,1,00001E,1790200054.8125114,38784.6961017,3.7028444000025047,candidate-warmup,10168D,valid,1054349,0,True,
1,1,00001E,1790200055.004088,38784.8876784,3.8944211000052746,candidate-warmup,10168B,valid,1054347,-2,True,
1,1,00001E,1790200055.2120824,38785.0956712,4.102413900000101,candidate-warmup,10168A,valid,1054346,-1,True,
1,1,00001E,1790200055.4034896,38785.2870794,4.293822100000398,candidate-warmup,101688,valid,1054344,-2,True,
1,1,00001E,1790200055.595491,38785.4790795,4.485822200003895,candidate-warmup,101687,valid,1054343,-1,True,
1,1,00001E,1790200055.80305,38785.6866405,4.693383199999516,candidate-warmup,101686,valid,1054342,-1,True,
1,1,00001E,1790200055.9950604,38785.8786488,4.885391499999969,candidate-warmup,101683,valid,1054339,-3,True,
1,1,00001E,1790200056.187052,38786.0706405,5.077383200004988,candidate-warmup,101682,valid,1054338,-1,True,
1,1,00001E,1790200056.3790884,38786.2626769,5.269419600001129,candidate-warmup,10167F,valid,1054335,-3,True,
1,1,00001E,1790200056.5864558,38786.4700447,5.4767874000026495,candidate-warmup,10167D,valid,1054333,-2,True,
1,1,00001E,1790200056.7784536,38786.6620435,5.668786200003524,candidate-warmup,10167C,valid,1054332,-1,True,
1,1,00001E,1790200056.970459,38786.8540496,5.860792300001776,candidate-warmup,10167B,valid,1054331,-1,True,
1,1,00001E,1790200057.1780176,38787.0616052,6.068347899999935,candidate-warmup,10167B,valid,1054331,0,True,
1,1,00001E,1790200057.370014,38787.2536029,6.2603455999997095,candidate-warmup,10167A,valid,1054330,-1,True,
1,1,00001E,1790200057.562064,38787.4456503,6.452392999999574,candidate-warmup,101679,valid,1054329,-1,True,
1,1,00001E,1790200057.7694263,38787.6530178,6.659760500006087,candidate-warmup,101679,valid,1054329,0,True,
1,1,00001E,1790200057.9614077,38787.8449993,6.8517420000061975,candidate-warmup,101679,valid,1054329,0,True,
1,1,00001E,1790200058.1534128,38788.0370011,7.0437438000008115,candidate-warmup,101677,valid,1054327,-2,True,
