payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790199626.6569464,38356.540531,0.2025694999974803,candidate-warmup,102812,valid,1058834,-135,True,
1,1,00001F,1790199626.8489451,38356.7325319,0.39457039999979315,candidate-warmup,102812,valid,1058834,0,True,
1,1,00001F,1790199627.0403411,38356.9239286,0.5859670999998343,candidate-warmup,102812,valid,1058834,0,True,
1,1,00001F,1790199627.24793,38357.1315182,0.7935567000022274,candidate-warmup,102812,valid,1058834,0,True,
1,1,00001F,1790199627.4398859,38357.3234757,0.9855142000014894,candidate-warmup,102811,valid,1058833,-1,True,
1,1,00001F,1790199627.6312993,38357.5148876,1.1769261000008555,candidate-warmup,102811,valid,1058833,0,True,
1,1,00001F,1790199627.8393142,38357.7229037,1.384942199998477,candidate-warmup,102811,valid,1058833,0,True,
1,1,00001F,1790199628.03087,38357.9144581,1.5764965999987908,candidate-warmup,102811,valid,1058833,0,True,
1,1,00001F,1790199628.2228763,38358.1064651,1.7685035999966203,candidate-warmup,102810,valid,1058832,-1,True,
1,1,00001F,1790199628.4308662,38358.3144569,1.9764953999983845,candidate-warmup,102810,valid,1058832,0,True,
1,1,00001F,1790199628.6228566,38358.5064454,2.168483900000865,candidate-warmup,10280E,valid,1058830,-2,True,
1,1,00001F,1790199628.814277,38358.6978669,2.359905400000571,candidate-warmup,10280E,valid,1058830,0,True,
1,1,00001F,1790199629.0062559,38358.8898441,2.551882599997043,candidate-warmup,10280E,valid,1058830,0,True,
1,1,00001F,1790199629.2138252,38359.0974144,2.7594528999979957,candidate-warmup,10280D,valid,1058829,-1,True,
1,1,00001F,1790199629.4058294,38359.2894182,2.9514567000005627,candidate-warmup,10280D,valid,1058829,0,True,
1,1,00001F,1790199629.5978189,38359.4814069,3.1434453999972902,candidate-warmup,10280D,valid,1058829,0,True,
1,1,00001F,1790199629.8052795,38359.6888675,3.350905999999668,candidate-warmup,10280C,valid,1058828,-1,True,
1,1,00001F,1790199629.9972382,38359.8808268,3.542865299998084,candidate-warmup,10280A,valid,1058826,-2,True,
1,1,00001F,1790199630.1888103,38360.0723982,3.734436699996877,candidate-warmup,102809,valid,1058825,-1,True,
1,1,00001F,1790199630.3972929,38360.2808787,3.9429172000018298,candidate-warmup,102806,valid,1058822,-3,True,
1,1,00001F,1790199630.5888023,38360.4723907,4.134429199999431,candidate-warmup,102805,valid,1058821,-1,True,
1,1,00001F,1790199630.7802057,38360.6637936,4.3258320999957505,candidate-warmup,102804,valid,1058820,-1,True,
1,1,00001F,1790199630.9722,38360.8557882,4.517826700001024,candidate-warmup,102802,valid,1058818,-2,True,
1,1,00001F,1790199631.1798277,38361.0634162,4.725454699997499,candidate-warmup,1027FF,valid,1058815,-3,True,
1,1,00001F,1790199631.3717527,38361.2553427,4.917381200000818,candidate-warmup,1027FD,valid,1058813,-2,True,
1,1,00001F,1790199631.563754,38361.447342,5.109380499998224,candidate-warmup,1027FC,valid,1058812,-1,True,
1,1,00001F,1790199631.77178,38361.6553673,5.317405800000415,candidate-warmup,1027FA,valid,1058810,-2,True,
1,1,00001F,1790199631.9631622,38361.8467504,5.508788899998763,candidate-warmup,1027F8,valid,1058808,-2,True,
1,1,00001F,1790199632.1551552,38362.0387434,5.700781899999129,candidate-warmup,1027F6,valid,1058806,-2,True,
1,1,00001F,1790199632.3471699,38362.2307575,5.892796000000089,candidate-warmup,1027F5,valid,1058805,-1,True,
1,1,00001F,1790199632.554725,38362.4383125,6.1003510000009555,candidate-warmup,1027F3,valid,1058803,-2,True,
1,1,00001F,1790199632.7467146,38362.6303041,6.292342599997937,candidate-warmup,1027F3,valid,1058803,0,True,
1,1,00001F,1790199632.9387324,38362.8223203,6.4843588000003365,candidate-warmup,1027F3,valid,1058803,0,True,
1,1,00001F,1790199633.146522,38363.0301084,6.692146900000807,candidate-warmup,1027F1,valid,1058801,-2,True,
1,1,00001F,1790199633.3381279,38363.2217163,6.883754800001043,candidate-warmup,1027F1,valid,1058801,0,True,
1,1,00001F,1790199633.5296903,38363.4132785,7.075316999995266,candidate-warmup,1027F1,valid,1058801,0,True,
1,1,00001F,1790199633.7377017,38363.62129,7.283328500001517,candidate-warmup,1027F0,valid,1058800,-1,True,
1,1,00001F,1790199633.929679,38363.8132672,7.475305699997989,candidate-warmup,1027F0,valid,1058800,0,True,
1,1,00001F,1790199634.1211147,38364.0047009,7.666739399996004,candidate-warmup,1027ED,valid,1058797,-3,True,
1,1,00001F,1790199634.313088,38364.196677,7.858715499998652,candidate-warmup,1027ED,valid,1058797,0,True,
1,1,00001F,1790199634.5210772,38364.4046659,8.066704400000162,candidate-warmup,1027ED,valid,1058797,0,True,
1,1,00001F,1790199634.7126496,38364.596238,8.25827649999701,candidate-warmup,1027ED,valid,1058797,0,True,
1,1,00001F,1790199634.9046445,38364.7882327,8.450271199995768,candidate-warmup,1027EC,valid,1058796,-1,True,
1,1,00001F,1790199635.1126378,38364.9962262,8.658264699995925,candidate-warmup,1027EC,valid,1058796,0,True,
1,1,00001F,1790199635.3040566,38365.1876445,8.849683000000368,candidate-warmup,1027EC,valid,1058796,0,True,
1,1,00001F,1790199635.4960463,38365.3796371,9.041675599997689,candidate-warmup,1027EC,valid,1058796,0,True,
1,1,00001F,1790199635.703632,38365.5872233,9.24926179999602,candidate-warmup,1027EC,valid,1058796,0,True,
1,1,00001F,1790199635.8956294,38365.7792175,9.441255999998248,candidate-warmup,1027EA,valid,1058794,-2,True,
1,1,00001F,1790199636.0876088,38365.9711969,9.63323539999692,candidate-warmup,1027E9,valid,1058793,-1,True,
1,1,00001F,1790199636.2790232,38366.162612,9.824650499998825,candidate-warmup,1027DE,valid,1058782,-11,True,
1,1,00001F,1790199636.4866354,38366.3702225,10.03226100000029,candidate-warmup,1027DB,valid,1058779,-3,True,
1,1,00001F,1790199636.6785822,38366.5621737,10.224212199995236,candidate-warmup,1027D9,valid,1058777,-2,True,
1,1,00001F,1790199636.8706036,38366.7541908,10.416229299997212,candidate-warmup,1027D9,valid,1058777,0,True,
1,1,00001F,1790199637.0779958,38366.9615836,10.62362209999992,candidate-warmup,1027D9,valid,1058777,0,True,
1,1,00001F,1790199637.2700098,38367.1535982,10.815636699997413,candidate-warmup,1027D9,valid,1058777,0,True,
1,1,00001F,1790199637.4615674,38367.3451551,11.00719360000221,candidate-warmup,1027D4,valid,1058772,-5,True,
1,1,00001F,1790199637.669579,38367.5531671,11.215205599997716,candidate-warmup,1027BF,valid,1058751,-21,True,
1,1,00001F,1790199637.8615642,38367.7451532,11.407191699996474,candidate-warmup,1027B5,valid,1058741,-10,True,
1,1,00001F,1790199638.052962,38367.93655,11.598588499997277,candidate-warmup,1027B0,valid,1058736,-5,True,
1,1,00001F,1790199638.2449605,38368.128549,11.790587499999674,candidate-warmup,1027AB,valid,1058731,-5,True,
