payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001E,1790201282.789521,40012.6731067,0.20197979999647941,candidate-warmup,0FFA18,valid,1047064,232,True,
1,1,00001E,1790201282.9815023,40012.8650907,0.3939637999937986,candidate-warmup,0FFA18,valid,1047064,0,True,
1,1,00001E,1790201283.1729376,40013.0565263,0.5853993999990053,candidate-warmup,0FFA18,valid,1047064,0,True,
1,1,00001E,1790201283.380925,40013.2645116,0.793384699994931,candidate-warmup,0FFA18,valid,1047064,0,True,
1,1,00001E,1790201283.5729103,40013.4564994,0.9853724999993574,candidate-warmup,0FFA18,valid,1047064,0,True,
1,1,00001E,1790201283.764492,40013.6480801,1.1769531999962055,candidate-warmup,0FFA18,valid,1047064,0,True,
1,1,00001E,1790201283.9724805,40013.8560679,1.3849409999966156,candidate-warmup,0FFA19,valid,1047065,1,True,
1,1,00001E,1790201284.164467,40014.0480554,1.5769284999987576,candidate-warmup,0FFA1A,valid,1047066,1,True,
1,1,00001E,1790201284.3564734,40014.2400617,1.768934799998533,candidate-warmup,0FFA1A,valid,1047066,0,True,
1,1,00001E,1790201284.547869,40014.4314582,1.9603312999970512,candidate-warmup,0FFA1A,valid,1047066,0,True,
1,1,00001E,1790201284.7558813,40014.6394694,2.1683424999937415,candidate-warmup,0FFA1A,valid,1047066,0,True,
1,1,00001E,1790201284.9478607,40014.8314489,2.3603219999931753,candidate-warmup,0FFA1B,valid,1047067,1,True,
1,1,00001E,1790201285.1394458,40015.0230345,2.5519075999982306,candidate-warmup,0FFA1D,valid,1047069,2,True,
1,1,00001E,1790201285.347421,40015.2310098,2.759882899998047,candidate-warmup,0FFA1D,valid,1047069,0,True,
1,1,00001E,1790201285.5394208,40015.4230096,2.95188269999926,candidate-warmup,0FFA1F,valid,1047071,2,True,
1,1,00001E,1790201285.7308319,40015.6144213,3.143294399997103,candidate-warmup,0FFA1F,valid,1047071,0,True,
