commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_progress_counts,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
11,1.4131308270611609,0.00048023567558114005,+,1056815,1.0929410869778218,0.716293642230576,0,,,0,1056804,11,7.784134199999244,20,start,8.0,00001C,1,1,1056457,11,insufficient-commanded-progress,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,1.5258282672652879,1.0,commanded-progress-with-comparable-half-rates,True,1056804,102024,,,1,False,3,
17,1.5706137127271944,0.0005337543580286653,+,1056833,2.157229685636744,0.49580086828746067,0,,,0,1056821,12,7.640325500000472,20,start,8.0,00001C,1,1,1056457,17,insufficient-commanded-progress,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,1.0695563512341835,1.0,half-rate-ratio-below-0.5,False,1056816,102030,,,2,False,3,
18,2.307768700754333,0.0007842676982686759,+,1056851,4.352681692633119,0.11686207522822277,0,,,0,1056833,18,7.799741799997719,20,start,8.0,00001C,1,1,1056457,18,insufficient-commanded-progress,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,0.5086634154089996,1.0,half-rate-ratio-below-0.5,False,1056833,102041,,,3,False,3,
25,3.265339474226031,0.0011096867171653832,+,1056876,4.56513479271703,0.40995641247750025,0,,,0,1056851,25,7.656171800001175,20,start,8.0,00001D,2,1,1056457,25,motion-not-stable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,1.8715062820984905,1.0,half-rate-ratio-below-0.5,False,1056851,102053,,,1,False,3,
20,2.553520382787504,0.0008677834795299487,+,1056896,1.3541126798869163,0.35494694870865867,0,,,0,1056876,20,7.83232439999847,20,start,8.0,00001D,2,1,1056457,20,motion-not-stable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,3.814972025575505,1.0,half-rate-ratio-below-0.5,False,1056876,10206C,,,2,False,3,
25,3.134724216563662,0.0010652986779948405,+,1056921,1.0741478342145383,0.21145468480233778,0,,,0,1056897,24,7.656175899999653,20,start,8.0,00001D,2,1,1056457,25,motion-not-stable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,5.07980154338327,1.0,half-rate-ratio-below-0.5,False,1056896,102080,,,3,False,3,
54,7.067367468569239,0.0024017606338026807,+,1056975,5.393300215952114,0.6479715998830213,0,,,0,1056921,54,7.640751700000692,20,start,8.0,00001E,3,1,1056457,54,reliable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,8.323358951111082,1.0,commanded-progress-with-comparable-half-rates,True,1056921,102099,,,1,True,3,
94,11.665550512776766,0.0039643983587704995,+,1057075,12.238627452619781,0.9557886858656186,0,,,0,1056984,91,7.800746299999446,20,start,8.0,00001E,3,1,1056457,94,reliable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,11.697541649738344,1.0,commanded-progress-with-comparable-half-rates,True,1056981,1020D5,,,2,True,3,
72,9.27336001509754,0.003151440918615494,+,1057148,8.056096425459684,0.7726538872286354,0,,,0,1057077,71,7.656340300000011,20,start,8.0,00001E,3,1,1056457,72,reliable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,10.42652675230224,1.0,commanded-progress-with-comparable-half-rates,True,1057076,102134,,,3,True,3,
90,11.258718742196246,0.003826141428519447,+,1057240,10.880510478725459,0.9103253403598135,0,,,0,1057152,88,7.816164700001536,20,start,8.0,00001F,4,1,1056457,90,reliable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,11.95233176132925,1.0,commanded-progress-with-comparable-half-rates,True,1057150,10217E,,,1,True,3,
86,10.971310923146408,0.0037284693053829475,+,1057326,10.739772440868366,0.91285273406546,0,,,0,1057242,84,7.6563321000030555,20,start,8.0,00001F,4,1,1056457,86,reliable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,11.765065754952568,1.0,commanded-progress-with-comparable-half-rates,True,1057240,1021D8,,,2,True,3,
63,8.24588442018622,0.002802265578996344,+,1057389,10.518155063818275,0.5616138852075439,0,,,0,1057326,63,7.640175000000454,20,start,8.0,00001F,4,1,1056457,63,reliable,az-postservice-reliable-start-plus-threshold-r1,completed,0.18,5.907141930606383,1.0,commanded-progress-with-comparable-half-rates,True,1057326,10222E,,,3,True,3,
