payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790195573.6280255,34303.5116123,0.20296629999938887,candidate-warmup,0FDA58,valid,1038936,-144,True,
1,1,00001F,1790195573.8200073,34303.7035955,0.3949495000051684,candidate-warmup,0FDA58,valid,1038936,0,True,
1,1,00001F,1790195574.0114272,34303.8950158,0.5863698000030126,candidate-warmup,0FDA58,valid,1038936,0,True,
1,1,00001F,1790195574.2034748,34304.0870636,0.7784176000059233,candidate-warmup,0FDA58,valid,1038936,0,True,
1,1,00001F,1790195574.3949893,34304.2785781,0.969932100000733,candidate-warmup,0FDA58,valid,1038936,0,True,
1,1,00001F,1790195574.5869844,34304.4705732,1.1619272000025376,candidate-warmup,0FDA58,valid,1038936,0,True,
1,1,00001F,1790195574.7789805,34304.6625689,1.3539229000016348,candidate-warmup,0FDA58,valid,1038936,0,True,
1,1,00001F,1790195574.9869697,34304.8705588,1.5619128000034834,candidate-warmup,0FDA57,valid,1038935,-1,True,
1,1,00001F,1790195575.1783943,34305.0619824,1.7533364000046276,candidate-warmup,0FDA57,valid,1038935,0,True,
1,1,00001F,1790195575.37041,34305.2539979,1.9453519000016968,candidate-warmup,0FDA56,valid,1038934,-1,True,
1,1,00001F,1790195575.5779521,34305.4615406,2.152894600003492,candidate-warmup,0FDA56,valid,1038934,0,True,
1,1,00001F,1790195575.76996,34305.6535485,2.3449025000008987,candidate-warmup,0FDA56,valid,1038934,0,True,
1,1,00001F,1790195575.9619355,34305.8455256,2.5368796000038856,candidate-warmup,0FDA56,valid,1038934,0,True,
1,1,00001F,1790195576.1533742,34306.0369624,2.7283164000036777,candidate-warmup,0FDA55,valid,1038933,-1,True,
1,1,00001F,1790195576.3609366,34306.2445248,2.9358788000026834,candidate-warmup,0FDA53,valid,1038931,-2,True,
1,1,00001F,1790195576.5529206,34306.4365098,3.127863800000341,candidate-warmup,0FDA52,valid,1038930,-1,True,
1,1,00001F,1790195576.7449214,34306.6285096,3.319863600001554,candidate-warmup,0FDA51,valid,1038929,-1,True,
1,1,00001F,1790195576.952911,34306.8365002,3.5278542000014568,candidate-warmup,0FDA4F,valid,1038927,-2,True,
1,1,00001F,1790195577.1443386,34307.0279263,3.7192802999998094,candidate-warmup,0FDA4E,valid,1038926,-1,True,
1,1,00001F,1790195577.3363261,34307.2199138,3.9112678000019514,candidate-warmup,0FDA4E,valid,1038926,0,True,
1,1,00001F,1790195577.5439112,34307.4274981,4.1188521000003675,candidate-warmup,0FDA4C,valid,1038924,-2,True,
1,1,00001F,1790195577.7358775,34307.6194664,4.31082040000183,candidate-warmup,0FDA4C,valid,1038924,0,True,
1,1,00001F,1790195577.9273028,34307.8108912,4.502245200004836,candidate-warmup,0FDA4A,valid,1038922,-2,True,
1,1,00001F,1790195578.1192932,34308.0028814,4.694235400005709,candidate-warmup,0FDA47,valid,1038919,-3,True,
1,1,00001F,1790195578.3272777,34308.2108659,4.9022199000028195,candidate-warmup,0FDA44,valid,1038916,-3,True,
1,1,00001F,1790195578.5188603,34308.4024486,5.093802600000345,candidate-warmup,0FDA42,valid,1038914,-2,True,
1,1,00001F,1790195578.710856,34308.5944447,5.285798700002488,candidate-warmup,0FDA40,valid,1038912,-2,True,
1,1,00001F,1790195578.918849,34308.8024369,5.493790900000022,candidate-warmup,0FDA3E,valid,1038910,-2,True,
1,1,00001F,1790195579.1102662,34308.9938546,5.685208599999896,candidate-warmup,0FDA3C,valid,1038908,-2,True,
1,1,00001F,1790195579.3022535,34309.1858417,5.8771956999989925,candidate-warmup,0FDA3C,valid,1038908,0,True,
1,1,00001F,1790195579.5098221,34309.3934113,6.084765300001891,candidate-warmup,0FDA3C,valid,1038908,0,True,
1,1,00001F,1790195579.7018237,34309.5854121,6.276766100003442,candidate-warmup,0FDA3A,valid,1038906,-2,True,
1,1,00001F,1790195579.8932364,34309.776826,6.4681800000034855,candidate-warmup,0FDA3A,valid,1038906,0,True,
1,1,00001F,1790195580.0852258,34309.9688139,6.660167900001397,candidate-warmup,0FDA3A,valid,1038906,0,True,
1,1,00001F,1790195580.293225,34310.1768132,6.868167200002063,candidate-warmup,0FDA3A,valid,1038906,0,True,
1,1,00001F,1790195580.4847877,34310.3683767,7.059730699998909,candidate-warmup,0FDA38,valid,1038904,-2,True,
1,1,00001F,1790195580.6767955,34310.5603835,7.251737500002491,candidate-warmup,0FDA36,valid,1038902,-2,True,
1,1,00001F,1790195580.8847852,34310.7683733,7.459727300003578,candidate-warmup,0FDA36,valid,1038902,0,True,
1,1,00001F,1790195581.0762005,34310.9597886,7.65114259999973,candidate-warmup,0FDA36,valid,1038902,0,True,
1,1,00001F,1790195581.2681973,34311.1517857,7.843139700002212,candidate-warmup,0FDA35,valid,1038901,-1,True,
1,1,00001F,1790195581.476178,34311.3597667,8.051120700001775,candidate-warmup,0FDA35,valid,1038901,0,True,
1,1,00001F,1790195581.6681814,34311.5517696,8.243123600004765,candidate-warmup,0FDA35,valid,1038901,0,True,
1,1,00001F,1790195581.8597465,34311.7433354,8.434689400004572,candidate-warmup,0FDA35,valid,1038901,0,True,
1,1,00001F,1790195582.051744,34311.9353329,8.626686900002824,candidate-warmup,0FDA35,valid,1038901,0,True,
1,1,00001F,1790195582.259737,34312.1433255,8.834679500003404,candidate-warmup,0FDA34,valid,1038900,-1,True,
1,1,00001F,1790195582.451155,34312.3347445,9.0260985000059,candidate-warmup,0FDA30,valid,1038896,-4,True,
1,1,00001F,1790195582.643143,34312.5267317,9.218085700005759,candidate-warmup,0FDA2A,valid,1038890,-6,True,
1,1,00001F,1790195582.8507214,34312.7343104,9.42566440000519,candidate-warmup,0FDA28,valid,1038888,-2,True,
1,1,00001F,1790195583.0427155,34312.9263043,9.617658300005132,candidate-warmup,0FDA25,valid,1038885,-3,True,
1,1,00001F,1790195583.2347136,34313.1183019,9.809655900004145,candidate-warmup,0FDA24,valid,1038884,-1,True,
1,1,00001F,1790195583.4267218,34313.3103112,10.001665200004936,candidate-warmup,0FDA24,valid,1038884,0,True,
1,1,00001F,1790195583.6341252,34313.5177143,10.209068299998762,candidate-warmup,0FDA23,valid,1038883,-1,True,
1,1,00001F,1790195583.8261056,34313.7096943,10.401048300002003,candidate-warmup,0FDA23,valid,1038883,0,True,
1,1,00001F,1790195584.0176854,34313.9012735,10.592627500001981,candidate-warmup,0FDA23,valid,1038883,0,True,
1,1,00001F,1790195584.225677,34314.1092652,10.800619200002984,candidate-warmup,0FDA23,valid,1038883,0,True,
1,1,00001F,1790195584.4176645,34314.3012534,10.99260740000318,candidate-warmup,0FDA23,valid,1038883,0,True,
