payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,000020,1790190312.3636606,29042.2472448,0.20201119999910588,candidate-warmup,0003F5,valid,1013,-62,True,
1,1,000020,1790190312.5556326,29042.43922,0.3939863999985391,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190312.7470362,29042.6306243,0.5853906999982428,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190312.9550192,29042.8386081,0.7933744999972987,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190313.1470225,29043.0306112,0.9853775999981735,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190313.3385983,29043.2221868,1.1769531999998435,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190313.530602,29043.414192,1.3689583999985189,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190313.7385833,29043.6221722,1.5769385999992664,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190313.929995,29043.8135836,1.7683499999984633,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190314.1219933,29044.0055818,1.960348199998407,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190314.3296244,29044.2132128,2.167979199999536,candidate-warmup,0003F5,valid,1013,0,True,
1,1,000020,1790190314.5215564,29044.4051472,2.359913599997526,candidate-warmup,0003F4,valid,1012,-1,True,
1,1,000020,1790190314.7135546,29044.5971428,2.5519091999995,candidate-warmup,0003F3,valid,1011,-1,True,
1,1,000020,1790190314.9055483,29044.7891368,2.7439031999965664,candidate-warmup,0003F1,valid,1009,-2,True,
1,1,000020,1790190315.1129613,29044.9965509,2.951317299997754,candidate-warmup,0003F1,valid,1009,0,True,
1,1,000020,1790190315.3049486,29045.1885387,3.1433050999985426,candidate-warmup,0003F1,valid,1009,0,True,
1,1,000020,1790190315.496519,29045.3801078,3.334874199998012,candidate-warmup,0003EF,valid,1007,-2,True,
1,1,000020,1790190315.7045188,29045.5881083,3.5428746999969007,candidate-warmup,0003EF,valid,1007,0,True,
1,1,000020,1790190315.8965156,29045.780104,3.734870399999636,candidate-warmup,0003EB,valid,1003,-4,True,
1,1,000020,1790190316.0879352,29045.9715253,3.926291699997819,candidate-warmup,0003E7,valid,999,-4,True,
1,1,000020,1790190316.2959275,29046.1795161,4.1342824999992445,candidate-warmup,0003E5,valid,997,-2,True,
1,1,000020,1790190316.4874966,29046.3710873,4.3258537000001525,candidate-warmup,0003E3,valid,995,-2,True,
1,1,000020,1790190316.6794899,29046.56308,4.517846399998234,candidate-warmup,0003E1,valid,993,-2,True,
1,1,000020,1790190316.8714833,29046.7550719,4.7098382999975,candidate-warmup,0003DF,valid,991,-2,True,
1,1,000020,1790190317.0789042,29046.9624927,4.917259099998773,candidate-warmup,0003DF,valid,991,0,True,
1,1,000020,1790190317.2708828,29047.1544727,5.109239099998376,candidate-warmup,0003DF,valid,991,0,True,
1,1,000020,1790190317.4628847,29047.3464728,5.301239199998236,candidate-warmup,0003DF,valid,991,0,True,
1,1,000020,1790190317.6704545,29047.5540454,5.508811799998512,candidate-warmup,0003DF,valid,991,0,True,
