payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001E,1790189407.3281736,28137.2117595,0.20239110000329674,candidate-warmup,00042A,valid,1066,128,True,
1,1,00001E,1790189407.5201986,28137.4037868,0.3944184000029054,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189407.7277393,28137.6113275,0.6019591000003857,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189407.9197288,28137.8033184,0.7939500000029511,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189408.1117332,28137.9953202,0.9859518000012031,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189408.3197134,28138.2033023,1.1939339000018663,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189408.5111313,28138.3947219,1.3853535000016564,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189408.703128,28138.5867159,1.577347500002361,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189408.9106982,28138.794287,1.784918600002129,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189409.1186895,28139.0022787,1.9929103000031319,candidate-warmup,00042A,valid,1066,0,True,
1,1,00001E,1790189409.3106878,28139.1942765,2.1849081000000297,candidate-warmup,00042C,valid,1068,2,True,
1,1,00001E,1790189409.5020943,28139.3856844,2.3763160000016796,candidate-warmup,00042C,valid,1068,0,True,
1,1,00001E,1790189409.694101,28139.5776894,2.56832100000247,candidate-warmup,00042C,valid,1068,0,True,
1,1,00001E,1790189409.8856661,28139.7692563,2.7598878999997396,candidate-warmup,00042D,valid,1069,1,True,
1,1,00001E,1790189410.0776627,28139.9612521,2.9518837000032363,candidate-warmup,00042D,valid,1069,0,True,
1,1,00001E,1790189410.2856572,28140.1692455,3.1598771000026318,candidate-warmup,00042F,valid,1071,2,True,
1,1,00001E,1790189410.4776545,28140.3612434,3.351875000000291,candidate-warmup,00042F,valid,1071,0,True,
1,1,00001E,1790189410.6690578,28140.5526476,3.543279200002871,candidate-warmup,00042F,valid,1071,0,True,
1,1,00001E,1790189410.8766341,28140.7602239,3.750855500002217,candidate-warmup,00042F,valid,1071,0,True,
1,1,00001E,1790189411.08463,28140.9682185,3.958850099999836,candidate-warmup,00042F,valid,1071,0,True,
1,1,00001E,1790189411.2766283,28141.1602165,4.150848100001895,candidate-warmup,00042F,valid,1071,0,True,
1,1,00001E,1790189411.4680407,28141.3516296,4.342261200003122,candidate-warmup,000431,valid,1073,2,True,
1,1,00001E,1790189411.6600266,28141.5436154,4.5342470000032336,candidate-warmup,000434,valid,1076,3,True,
1,1,00001E,1790189411.851608,28141.7351963,4.725827900001605,candidate-warmup,000434,valid,1076,0,True,
1,1,00001E,1790189412.0435922,28141.9271822,4.917813800002477,candidate-warmup,000434,valid,1076,0,True,
1,1,00001E,1790189412.251615,28142.1352018,5.125833400001284,candidate-warmup,000435,valid,1077,1,True,
1,1,00001E,1790189412.4430094,28142.3265982,5.3172298000026785,candidate-warmup,00043C,valid,1084,7,True,
1,1,00001E,1790189412.6349983,28142.5185888,5.50922040000296,candidate-warmup,000449,valid,1097,13,True,
1,1,00001E,1790189412.8425786,28142.7261671,5.7167987000029825,candidate-warmup,00044A,valid,1098,1,True,
1,1,00001E,1790189413.0345697,28142.9181578,5.908789400000387,candidate-warmup,00044C,valid,1100,2,True,
1,1,00001E,1790189413.2265594,28143.1101502,6.100781799999822,candidate-warmup,00044C,valid,1100,0,True,
1,1,00001E,1790189413.4339755,28143.3175641,6.308195700003125,candidate-warmup,00044D,valid,1101,1,True,
1,1,00001E,1790189413.6259701,28143.5095604,6.500192000003153,candidate-warmup,000450,valid,1104,3,True,
1,1,00001E,1790189413.817973,28143.701561,6.692192600003182,candidate-warmup,000456,valid,1110,6,True,
1,1,00001E,1790189414.0095403,28143.8931282,6.883759800002736,candidate-warmup,00045B,valid,1115,5,True,
1,1,00001E,1790189414.2175312,28144.1011196,7.091751200001454,candidate-warmup,00045C,valid,1116,1,True,
1,1,00001E,1790189414.4095268,28144.2931155,7.283747100002074,candidate-warmup,00045C,valid,1116,0,True,
1,1,00001E,1790189414.6009355,28144.484525,7.475156600001355,candidate-warmup,00045D,valid,1117,1,True,
1,1,00001E,1790189414.8089356,28144.6925241,7.683155700000498,candidate-warmup,00045E,valid,1118,1,True,
1,1,00001E,1790189415.0165014,28144.9000926,7.890724200002296,candidate-warmup,000461,valid,1121,3,True,
1,1,00001E,1790189415.2084966,28145.0920868,8.082718400000886,candidate-warmup,000464,valid,1124,3,True,
1,1,00001E,1790189415.3999038,28145.2834939,8.274125500000082,candidate-warmup,00046D,valid,1133,9,True,
1,1,00001E,1790189415.5919087,28145.4754975,8.466129100001126,candidate-warmup,000473,valid,1139,6,True,
1,1,00001E,1790189415.7834954,28145.6670846,8.657716200003051,candidate-warmup,000474,valid,1140,1,True,
1,1,00001E,1790189415.97549,28145.8590789,8.849710500002402,candidate-warmup,000475,valid,1141,1,True,
1,1,00001E,1790189416.183471,28146.06706,9.057691600002727,candidate-warmup,000477,valid,1143,2,True,
1,1,00001E,1790189416.3754623,28146.2590504,9.249682000001485,candidate-warmup,000477,valid,1143,0,True,
1,1,00001E,1790189416.5668724,28146.4504613,9.441092900000513,candidate-warmup,000477,valid,1143,0,True,
1,1,00001E,1790189416.7744455,28146.6580348,9.648666400000366,candidate-warmup,000477,valid,1143,0,True,
1,1,00001E,1790189416.9664354,28146.8500262,9.8406578000031,candidate-warmup,000478,valid,1144,1,True,
1,1,00001E,1790189417.1584244,28147.042015,10.03264660000059,candidate-warmup,00047A,valid,1146,2,True,
1,1,00001E,1790189417.3498504,28147.2334391,10.224070700001903,candidate-warmup,00047B,valid,1147,1,True,
