payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790188400.1021612,27129.985748,0.20255739999993239,candidate-warmup,1024F7,valid,1058039,-119,True,
1,1,00001F,1790188400.2935755,27130.1771625,0.3939719000009063,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188400.4855642,27130.3691531,0.5859625000011874,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188400.677144,27130.5607322,0.7775416000004043,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188400.8691363,27130.7527256,0.9695350000001781,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188401.0611298,27130.9447176,1.1615270000002056,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188401.2525454,27131.1361344,1.352943800000503,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188401.4445345,27131.3281229,1.5449322999993456,candidate-warmup,1024F7,valid,1058039,0,True,
1,1,00001F,1790188401.652534,27131.5361226,1.7529319999994186,candidate-warmup,1024F6,valid,1058038,-1,True,
1,1,00001F,1790188401.860093,27131.7436817,1.9604911000024003,candidate-warmup,1024F5,valid,1058037,-1,True,
1,1,00001F,1790188402.0521057,27131.9356952,2.1525046000024304,candidate-warmup,1024F5,valid,1058037,0,True,
1,1,00001F,1790188402.2440982,27132.1276861,2.344495500001358,candidate-warmup,1024F5,valid,1058037,0,True,
1,1,00001F,1790188402.4355066,27132.3190954,2.535904799999116,candidate-warmup,1024F3,valid,1058035,-2,True,
1,1,00001F,1790188402.627569,27132.511157,2.7279664000016055,candidate-warmup,1024F1,valid,1058033,-2,True,
1,1,00001F,1790188402.8190696,27132.7026588,2.9194682000015746,candidate-warmup,1024EF,valid,1058031,-2,True,
1,1,00001F,1790188403.0270698,27132.9106577,3.127467099999194,candidate-warmup,1024EF,valid,1058031,0,True,
1,1,00001F,1790188403.219057,27133.1026455,3.3194548999999824,candidate-warmup,1024EF,valid,1058031,0,True,
1,1,00001F,1790188403.4110518,27133.2946402,3.511449600002379,candidate-warmup,1024EF,valid,1058031,0,True,
1,1,00001F,1790188403.618477,27133.5020654,3.7188748000007763,candidate-warmup,1024EE,valid,1058030,-1,True,
1,1,00001F,1790188403.8104656,27133.694055,3.910864400000719,candidate-warmup,1024EC,valid,1058028,-2,True,
1,1,00001F,1790188404.002033,27133.8856221,4.102431499999511,candidate-warmup,1024EC,valid,1058028,0,True,
1,1,00001F,1790188404.1940305,27134.0776198,4.294429199999286,candidate-warmup,1024EA,valid,1058026,-2,True,
1,1,00001F,1790188404.4020123,27134.285601,4.502410400000372,candidate-warmup,1024E9,valid,1058025,-1,True,
1,1,00001F,1790188404.5934324,27134.4770217,4.693831100001262,candidate-warmup,1024E8,valid,1058024,-1,True,
1,1,00001F,1790188404.7854245,27134.6690123,4.885821700001543,candidate-warmup,1024E7,valid,1058023,-1,True,
1,1,00001F,1790188404.993074,27134.8766638,5.093473200002336,candidate-warmup,1024E5,valid,1058021,-2,True,
1,1,00001F,1790188405.1849954,27135.0685845,5.285393900001509,candidate-warmup,1024E4,valid,1058020,-1,True,
1,1,00001F,1790188405.3769908,27135.2605802,5.477389600000606,candidate-warmup,1024E1,valid,1058017,-3,True,
1,1,00001F,1790188405.584983,27135.4685725,5.68538190000254,candidate-warmup,1024DF,valid,1058015,-2,True,
1,1,00001F,1790188405.7924097,27135.6759984,5.892807799998991,candidate-warmup,1024DE,valid,1058014,-1,True,
1,1,00001F,1790188405.9843886,27135.8679785,6.084787899999355,candidate-warmup,1024DD,valid,1058013,-1,True,
1,1,00001F,1790188406.1759696,27136.0595574,6.276366800000687,candidate-warmup,1024DC,valid,1058012,-1,True,
1,1,00001F,1790188406.3679602,27136.2515484,6.468357800000376,candidate-warmup,1024DB,valid,1058011,-1,True,
1,1,00001F,1790188406.5599515,27136.4435401,6.660349500001757,candidate-warmup,1024DB,valid,1058011,0,True,
1,1,00001F,1790188406.7513676,27136.6349557,6.851765100000193,candidate-warmup,1024DB,valid,1058011,0,True,
1,1,00001F,1790188406.9593546,27136.8429443,7.059753699999419,candidate-warmup,1024D9,valid,1058009,-2,True,
1,1,00001F,1790188407.1509323,27137.0345202,7.251329599999735,candidate-warmup,1024D9,valid,1058009,0,True,
1,1,00001F,1790188407.3429277,27137.2265154,7.443324800002301,candidate-warmup,1024D7,valid,1058007,-2,True,
1,1,00001F,1790188407.5509279,27137.4345163,7.651325700000598,candidate-warmup,1024D6,valid,1058006,-1,True,
1,1,00001F,1790188407.7583373,27137.6419255,7.858734900000854,candidate-warmup,1024D3,valid,1058003,-3,True,
1,1,00001F,1790188407.9503307,27137.8339182,8.050727600002574,candidate-warmup,1024D2,valid,1058002,-1,True,
1,1,00001F,1790188408.142322,27138.0259106,8.24272000000201,candidate-warmup,1024CF,valid,1057999,-3,True,
1,1,00001F,1790188408.3338969,27138.217485,8.434294400001818,candidate-warmup,1024CB,valid,1057995,-4,True,
1,1,00001F,1790188408.5258863,27138.4094759,8.626285300000745,candidate-warmup,1024C8,valid,1057992,-3,True,
1,1,00001F,1790188408.7178857,27138.6014745,8.818283900000097,candidate-warmup,1024C7,valid,1057991,-1,True,
1,1,00001F,1790188408.9252968,27138.8088871,9.025696500000777,candidate-warmup,1024C5,valid,1057989,-2,True,
1,1,00001F,1790188409.1172993,27139.0008879,9.217697300002328,candidate-warmup,1024C3,valid,1057987,-2,True,
1,1,00001F,1790188409.3092847,27139.1928736,9.409683000001678,candidate-warmup,1024C1,valid,1057985,-2,True,
1,1,00001F,1790188409.51685,27139.40044,9.617249400002038,candidate-warmup,1024C1,valid,1057985,0,True,
1,1,00001F,1790188409.7088552,27139.5924435,9.80925290000232,candidate-warmup,1024C1,valid,1057985,0,True,
1,1,00001F,1790188409.9008443,27139.784433,10.001242400001502,candidate-measurement,1024C1,valid,1057985,0,True,
1,1,00001F,1790188410.0922549,27139.975845,10.19265440000163,candidate-measurement,1024C1,valid,1057985,0,True,
1,1,00001F,1790188410.3002486,27140.1838372,10.400646599999163,candidate-measurement,1024BF,valid,1057983,-2,True,
1,1,00001F,1790188410.4922414,27140.3758293,10.592638699999952,candidate-measurement,1024BF,valid,1057983,0,True,
1,1,00001F,1790188410.683822,27140.5674101,10.7842195000012,candidate-measurement,1024BF,valid,1057983,0,True,
1,1,00001F,1790188410.8918128,27140.7754021,10.992211500000849,candidate-measurement,1024BD,valid,1057981,-2,True,
1,1,00001F,1790188411.0832245,27140.9668128,11.183622200001992,candidate-measurement,1024BB,valid,1057979,-2,True,
1,1,00001F,1790188411.275224,27141.1588117,11.37562109999999,candidate-measurement,1024BB,valid,1057979,0,True,
1,1,00001F,1790188411.48321,27141.3668003,11.583609699999215,candidate-measurement,1024BB,valid,1057979,0,True,
1,1,00001F,1790188411.6747983,27141.5583867,11.775196099999448,candidate-measurement,1024BA,valid,1057978,-1,True,
1,1,00001F,1790188411.8667746,27141.7503655,11.967174900000828,candidate-measurement,1024BA,valid,1057978,0,True,
1,1,00001F,1790188412.058774,27141.9423614,12.159170800001448,candidate-measurement,1024BA,valid,1057978,0,True,
1,1,00001F,1790188412.2667744,27142.1503629,12.367172300000675,candidate-measurement,1024BA,valid,1057978,0,True,
1,1,00001F,1790188412.4581835,27142.3417714,12.558580799999618,candidate-measurement,1024BA,valid,1057978,0,True,
1,1,00001F,1790188412.6501756,27142.5337638,12.750573199999053,candidate-measurement,1024B6,valid,1057974,-4,True,
1,1,00001F,1790188412.857745,27142.7413349,12.95814430000246,candidate-measurement,1024AD,valid,1057965,-9,True,
1,1,00001F,1790188413.0497427,27142.9333331,13.150142500002403,candidate-measurement,1024AA,valid,1057962,-3,True,
1,1,00001F,1790188413.2417378,27143.1253262,13.342135599999892,candidate-measurement,1024A9,valid,1057961,-1,True,
1,1,00001F,1790188413.4337308,27143.3173196,13.534128999999666,candidate-measurement,1024A8,valid,1057960,-1,True,
1,1,00001F,1790188413.6411448,27143.5247339,13.741543300002377,candidate-measurement,1024A8,valid,1057960,0,True,
1,1,00001F,1790188413.832713,27143.7163033,13.933112700000493,candidate-measurement,1024A8,valid,1057960,0,True,
1,1,00001F,1790188414.0247056,27143.908295,14.125104400001874,candidate-measurement,1024A7,valid,1057959,-1,True,
1,1,00001F,1790188414.232732,27144.1163192,14.333128599999327,candidate-measurement,1024A7,valid,1057959,0,True,
1,1,00001F,1790188414.4241502,27144.3077367,14.524546100001317,candidate-measurement,1024A3,valid,1057955,-4,True,
1,1,00001F,1790188414.616115,27144.4997036,14.716512999999395,candidate-measurement,102497,valid,1057943,-12,True,
1,1,00001F,1790188414.8236976,27144.7072874,14.92409680000128,candidate-measurement,102491,valid,1057937,-6,True,
1,2,00001F,1790188417.7170193,27147.6006071,0.20240280000143684,candidate-warmup,102433,valid,1057843,-92,True,
1,2,00001F,1790188417.9090068,27147.7925958,0.39439150000180234,candidate-warmup,102433,valid,1057843,0,True,
1,2,00001F,1790188418.116581,27148.0001701,0.6019658000004711,candidate-warmup,102433,valid,1057843,0,True,
1,2,00001F,1790188418.3085718,27148.1921597,0.7939554000004136,candidate-warmup,102433,valid,1057843,0,True,
1,2,00001F,1790188418.5005667,27148.3841561,0.9859518000012031,candidate-warmup,102432,valid,1057842,-1,True,
1,2,00001F,1790188418.7079735,27148.5915619,1.1933576000010362,candidate-warmup,102432,valid,1057842,0,True,
1,2,00001F,1790188418.899969,27148.7835593,1.3853550000021642,candidate-warmup,102431,valid,1057841,-1,True,
1,2,00001F,1790188419.0919752,27148.9755629,1.5773585999995703,candidate-warmup,102431,valid,1057841,0,True,
1,2,00001F,1790188419.2839587,27149.1675484,1.7693441000010353,candidate-warmup,102431,valid,1057841,0,True,
1,2,00001F,1790188419.4915352,27149.3751239,1.9769196000015654,candidate-warmup,102431,valid,1057841,0,True,
1,2,00001F,1790188419.6835277,27149.5671163,2.1689120000010007,candidate-warmup,102431,valid,1057841,0,True,
1,2,00001F,1790188419.8755608,27149.7591492,2.360944899999595,candidate-warmup,102431,valid,1057841,0,True,
1,2,00001F,1790188420.0829337,27149.9665217,2.5683174000005238,candidate-warmup,10242F,valid,1057839,-2,True,
1,2,00001F,1790188420.2749314,27150.1585198,2.760315499999706,candidate-warmup,10242F,valid,1057839,0,True,
1,2,00001F,1790188420.4664955,27150.3500851,2.951880799999344,candidate-warmup,10242B,valid,1057835,-4,True,
1,2,00001F,1790188420.658494,27150.5420834,3.143879100000049,candidate-warmup,10242A,valid,1057834,-1,True,
1,2,00001F,1790188420.86649,27150.7500781,3.3518738000020676,candidate-warmup,102429,valid,1057833,-1,True,
1,2,00001F,1790188421.0579016,27150.9414918,3.543287500000588,candidate-warmup,102427,valid,1057831,-2,True,
1,2,00001F,1790188421.2498949,27151.1334829,3.7352786000010383,candidate-warmup,102427,valid,1057831,0,True,
1,2,00001F,1790188421.4574752,27151.3410638,3.942859499999031,candidate-warmup,102427,valid,1057831,0,True,
1,2,00001F,1790188421.6494648,27151.533053,4.134848699999566,candidate-warmup,102425,valid,1057829,-2,True,
1,2,00001F,1790188421.8414571,27151.7250477,4.326843400001962,candidate-warmup,102425,valid,1057829,0,True,
1,2,00001F,1790188422.048859,27151.9324476,4.534243300000526,candidate-warmup,102425,valid,1057829,0,True,
1,2,00001F,1790188422.2408664,27152.1244542,4.7262498999989475,candidate-warmup,102423,valid,1057827,-2,True,
1,2,00001F,1790188422.4328532,27152.3164423,4.91823800000202,candidate-warmup,102421,valid,1057825,-2,True,
1,2,00001F,1790188422.6244345,27152.5080231,5.10981879999963,candidate-warmup,10241F,valid,1057823,-2,True,
1,2,00001F,1790188422.8324215,27152.7160129,5.317808600000717,candidate-warmup,10241E,valid,1057822,-1,True,
1,2,00001F,1790188423.0244248,27152.9080129,5.509808599999815,candidate-warmup,10241C,valid,1057820,-2,True,
1,2,00001F,1790188423.2158308,27153.0994204,5.701216100002057,candidate-warmup,102419,valid,1057817,-3,True,
1,2,00001F,1790188423.4238317,27153.3074205,5.909216200001538,candidate-warmup,102417,valid,1057815,-2,True,
1,2,00001F,1790188423.6158352,27153.4994229,6.1012186000007205,candidate-warmup,102413,valid,1057811,-4,True,
1,2,00001F,1790188423.8073907,27153.6909816,6.292777300001035,candidate-warmup,102413,valid,1057811,0,True,
1,2,00001F,1790188424.015384,27153.8989753,6.500770999999077,candidate-warmup,102411,valid,1057809,-2,True,
1,2,00001F,1790188424.2068467,27154.0904348,6.692230500000733,candidate-warmup,10240F,valid,1057807,-2,True,
1,2,00001F,1790188424.3987973,27154.2823858,6.884181500001432,candidate-warmup,10240D,valid,1057805,-2,True,
1,2,00001F,1790188424.5903733,27154.473962,7.075757700000395,candidate-warmup,10240D,valid,1057805,0,True,
1,2,00001F,1790188424.798362,27154.6819517,7.2837474000007205,candidate-warmup,10240D,valid,1057805,0,True,
1,2,00001F,1790188424.9903605,27154.8739495,7.475745200001256,candidate-warmup,10240D,valid,1057805,0,True,
1,2,00001F,1790188425.1817727,27155.0653612,7.6671568999990996,candidate-warmup,10240B,valid,1057803,-2,True,
1,2,00001F,1790188425.389767,27155.273357,7.87515269999858,candidate-warmup,10240B,valid,1057803,0,True,
1,2,00001F,1790188425.581338,27155.4649264,8.066722100000334,candidate-warmup,10240B,valid,1057803,0,True,
1,2,00001F,1790188425.773335,27155.6569236,8.258719299999939,candidate-warmup,102408,valid,1057800,-3,True,
1,2,00001F,1790188425.9813254,27155.8649146,8.46671029999925,candidate-warmup,102407,valid,1057799,-1,True,
1,2,00001F,1790188426.1733208,27156.05691,8.6587056999997,candidate-warmup,102407,valid,1057799,0,True,
1,2,00001F,1790188426.364737,27156.248325,8.850120700000843,candidate-warmup,102407,valid,1057799,0,True,
1,2,00001F,1790188426.5567327,27156.4403209,9.042116600001464,candidate-warmup,102405,valid,1057797,-2,True,
1,2,00001F,1790188426.764301,27156.6478884,9.249684099999286,candidate-warmup,102405,valid,1057797,0,True,
1,2,00001F,1790188426.9562893,27156.8398804,9.441676099999313,candidate-warmup,102405,valid,1057797,0,True,
1,2,00001F,1790188427.1482873,27157.0318757,9.633671399999002,candidate-warmup,102405,valid,1057797,0,True,
1,2,00001F,1790188427.3556993,27157.2392892,9.84108489999926,candidate-warmup,102405,valid,1057797,0,True,
1,2,00001F,1790188427.5477123,27157.4313005,10.033096200000728,candidate-measurement,102405,valid,1057797,0,True,
1,2,00001F,1790188427.7397273,27157.6233154,10.225111100000504,candidate-measurement,102401,valid,1057793,-4,True,
1,2,00001F,1790188427.9472759,27157.8308669,10.432662600000185,candidate-measurement,1023F8,valid,1057784,-9,True,
1,2,00001F,1790188428.155258,27158.0388459,10.640641599999071,candidate-measurement,1023F5,valid,1057781,-3,True,
1,2,00001F,1790188428.347256,27158.2308444,10.8326401000013,candidate-measurement,1023F4,valid,1057780,-1,True,
1,2,00001F,1790188428.5392497,27158.4228386,11.024634299999889,candidate-measurement,1023F4,valid,1057780,0,True,
1,2,00001F,1790188428.7306607,27158.6142492,11.21604490000027,candidate-measurement,1023F3,valid,1057779,-1,True,
1,2,00001F,1790188428.9226582,27158.8062488,11.40804449999996,candidate-measurement,1023F3,valid,1057779,0,True,
1,2,00001F,1790188429.1146429,27158.9982343,11.600030000001425,candidate-measurement,1023E5,valid,1057765,-14,True,
1,2,00001F,1790188429.3222175,27159.2058053,11.807601000000432,candidate-measurement,1023DD,valid,1057757,-8,True,
1,2,00001F,1790188429.5142157,27159.3978051,11.999600800001645,candidate-measurement,1023DA,valid,1057754,-3,True,
1,2,00001F,1790188429.705628,27159.5892157,12.191011400002026,candidate-measurement,1023D7,valid,1057751,-3,True,
1,2,00001F,1790188429.9136202,27159.7972098,12.399005499999475,candidate-measurement,1023D0,valid,1057744,-7,True,
1,2,00001F,1790188430.1211982,27160.0047866,12.60658229999899,candidate-measurement,1023CD,valid,1057741,-3,True,
1,2,00001F,1790188430.3131921,27160.19678,12.798575699998764,candidate-measurement,1023CB,valid,1057739,-2,True,
1,2,00001F,1790188430.5051801,27160.3887693,12.99056500000006,candidate-measurement,1023CB,valid,1057739,0,True,
1,2,00001F,1790188430.6971803,27160.5807688,13.182564499998989,candidate-measurement,1023C9,valid,1057737,-2,True,
1,2,00001F,1790188430.8885906,27160.7721785,13.373974199999793,candidate-measurement,1023C7,valid,1057735,-2,True,
1,2,00001F,1790188431.0805852,27160.9641735,13.565969200000836,candidate-measurement,1023C4,valid,1057732,-3,True,
1,2,00001F,1790188431.288575,27161.172163,13.773958699999639,candidate-measurement,1023C2,valid,1057730,-2,True,
1,2,00001F,1790188431.4801555,27161.3637435,13.965539199998602,candidate-measurement,1023BF,valid,1057727,-3,True,
1,2,00001F,1790188431.6721385,27161.5557267,14.157522400000744,candidate-measurement,1023BD,valid,1057725,-2,True,
1,2,00001F,1790188431.8801398,27161.7637288,14.365524500000902,candidate-measurement,1023BB,valid,1057723,-2,True,
1,2,00001F,1790188432.087558,27161.9711466,14.57294230000116,candidate-measurement,1023BA,valid,1057722,-1,True,
1,2,00001F,1790188432.2795475,27162.1631346,14.764930299999833,candidate-measurement,1023B9,valid,1057721,-1,True,
1,2,00001F,1790188432.4711187,27162.3547073,14.956503000001248,candidate-measurement,1023B7,valid,1057719,-2,True,
