payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790188586.4421763,27316.3257634,0.20196930000020075,candidate-warmup,1021D2,valid,1057234,-96,True,
1,1,00001F,1790188586.63416,27316.517748,0.39395389999845065,candidate-warmup,1021D2,valid,1057234,0,True,
1,1,00001F,1790188586.8255806,27316.7091684,0.5853743000006943,candidate-warmup,1021D2,valid,1057234,0,True,
1,1,00001F,1790188587.0175672,27316.9011571,0.7773630000010598,candidate-warmup,1021D2,valid,1057234,0,True,
1,1,00001F,1790188587.2095594,27317.0931481,0.9693540000007488,candidate-warmup,1021D2,valid,1057234,0,True,
1,1,00001F,1790188587.4015553,27317.2851434,1.1613493000004382,candidate-warmup,1021D2,valid,1057234,0,True,
1,1,00001F,1790188587.593131,27317.4767202,1.3529261000003316,candidate-warmup,1021D1,valid,1057233,-1,True,
1,1,00001F,1790188587.7851293,27317.6687175,1.5449234000006982,candidate-warmup,1021D1,valid,1057233,0,True,
1,1,00001F,1790188587.977113,27317.8607027,1.7369085999998788,candidate-warmup,1021D1,valid,1057233,0,True,
1,1,00001F,1790188588.1691077,27318.0526961,1.9289019999996526,candidate-warmup,1021CF,valid,1057231,-2,True,
1,1,00001F,1790188588.3605268,27318.2441151,2.120320999998512,candidate-warmup,1021CD,valid,1057229,-2,True,
1,1,00001F,1790188588.552515,27318.4361048,2.312310699999216,candidate-warmup,1021CD,valid,1057229,0,True,
1,1,00001F,1790188588.7445138,27318.628102,2.504307899998821,candidate-warmup,1021CB,valid,1057227,-2,True,
1,1,00001F,1790188588.9365058,27318.8200971,2.6963030000006256,candidate-warmup,1021CB,valid,1057227,0,True,
1,1,00001F,1790188589.128086,27319.0116745,2.8878804000014497,candidate-warmup,1021CB,valid,1057227,0,True,
1,1,00001F,1790188589.3200665,27319.203656,3.0798619000015606,candidate-warmup,1021CB,valid,1057227,0,True,
1,1,00001F,1790188589.5114868,27319.3950766,3.271282500001689,candidate-warmup,1021C7,valid,1057223,-4,True,
1,1,00001F,1790188589.7034848,27319.5870733,3.463279200001125,candidate-warmup,1021C6,valid,1057222,-1,True,
