payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00002F,1790187857.6800406,26587.5636272,0.20196190000206116,candidate-warmup,10285E,valid,1058910,-135,True,
1,1,00002F,1790187857.8720393,26587.7556284,0.3939630999993824,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187858.063613,26587.9472015,0.585536200000206,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187858.2716045,26588.1551926,0.793527300000278,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187858.4635937,26588.3471822,0.9855169000002206,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187858.6550226,26588.5386109,1.176945600000181,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187858.8469958,26588.7305848,1.3689195000006293,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187859.0545735,26588.9381624,1.576497100002598,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187859.2465682,26589.1301568,1.7684915000027104,candidate-warmup,10285E,valid,1058910,0,True,
1,1,00002F,1790187859.4385645,26589.3221539,1.960488600001554,candidate-warmup,10285C,valid,1058908,-2,True,
1,1,00002F,1790187859.6459947,26589.5295827,2.1679174000018975,candidate-warmup,10285C,valid,1058908,0,True,
1,1,00002F,1790187859.8379638,26589.721552,2.359886700000061,candidate-warmup,10285C,valid,1058908,0,True,
1,1,00002F,1790187860.0295546,26589.9131426,2.551477299999533,candidate-warmup,10285A,valid,1058906,-2,True,
1,1,00002F,1790187860.2375512,26590.1211393,2.7594740000022284,candidate-warmup,102858,valid,1058904,-2,True,
1,1,00002F,1790187860.4295657,26590.3131526,2.9514873000007356,candidate-warmup,102858,valid,1058904,0,True,
1,1,00002F,1790187860.6209934,26590.5045808,3.1429155000005267,candidate-warmup,102856,valid,1058902,-2,True,
1,1,00002F,1790187860.8129573,26590.6965446,3.334879300000466,candidate-warmup,102856,valid,1058902,0,True,
1,1,00002F,1790187861.0205178,26590.904106,3.5424407000027713,candidate-warmup,102856,valid,1058902,0,True,
1,1,00002F,1790187861.212511,26591.096099,3.7344336999994994,candidate-warmup,102855,valid,1058901,-1,True,
1,1,00002F,1790187861.403938,26591.2875258,3.925860499999544,candidate-warmup,102854,valid,1058900,-1,True,
1,1,00002F,1790187861.6119332,26591.4955192,4.133853900002578,candidate-warmup,102853,valid,1058899,-1,True,
1,1,00002F,1790187861.803925,26591.687513,4.325847700001759,candidate-warmup,102852,valid,1058898,-1,True,
1,1,00002F,1790187861.9955127,26591.8791001,4.517434800000046,candidate-warmup,102850,valid,1058896,-2,True,
1,1,00002F,1790187862.203517,26592.0871034,4.725438100002066,candidate-warmup,102850,valid,1058896,0,True,
1,1,00002F,1790187862.3954668,26592.2790548,4.917389500002173,candidate-warmup,10284E,valid,1058894,-2,True,
1,1,00002F,1790187862.5869095,26592.4704962,5.108830900000612,candidate-warmup,10284C,valid,1058892,-2,True,
1,1,00002F,1790187862.778877,26592.6624657,5.300800400000298,candidate-warmup,10284A,valid,1058890,-2,True,
1,1,00002F,1790187862.9864755,26592.8700627,5.508397400000831,candidate-warmup,102847,valid,1058887,-3,True,
1,1,00002F,1790187863.1784956,26593.0620801,5.700414800001454,candidate-warmup,102845,valid,1058885,-2,True,
1,1,00002F,1790187863.3704486,26593.254037,5.892371699999785,candidate-warmup,102844,valid,1058884,-1,True,
1,1,00002F,1790187863.577865,26593.4614521,6.099786800001311,candidate-warmup,102843,valid,1058883,-1,True,
1,1,00002F,1790187863.7698512,26593.6534393,6.291774000001169,candidate-warmup,102842,valid,1058882,-1,True,
1,1,00002F,1790187863.9614215,26593.8450095,6.4833442000017385,candidate-warmup,102842,valid,1058882,0,True,
