payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790188338.2025688,27068.0861553,0.20196439999926952,candidate-warmup,102754,valid,1058644,-326,True,
1,1,00001F,1790188338.4102094,27068.2937974,0.4096065000012459,candidate-warmup,102754,valid,1058644,0,True,
1,1,00001F,1790188338.6021338,27068.4857218,0.6015308999994886,candidate-warmup,102754,valid,1058644,0,True,
1,1,00001F,1790188338.7942004,27068.6777883,0.7935973999992711,candidate-warmup,102754,valid,1058644,0,True,
1,1,00001F,1790188339.002122,27068.8857114,1.0015204999981506,candidate-warmup,102754,valid,1058644,0,True,
1,1,00001F,1790188339.1935415,27069.0771301,1.1929391999983636,candidate-warmup,102754,valid,1058644,0,True,
1,1,00001F,1790188339.385533,27069.2691224,1.3849315000006754,candidate-warmup,102753,valid,1058643,-1,True,
1,1,00001F,1790188339.593107,27069.476695,1.5925041000009514,candidate-warmup,102753,valid,1058643,0,True,
1,1,00001F,1790188339.7851048,27069.6686942,1.7845033000012336,candidate-warmup,102751,valid,1058641,-2,True,
1,1,00001F,1790188339.9770885,27069.8606765,1.97648560000016,candidate-warmup,102751,valid,1058641,0,True,
1,1,00001F,1790188340.1685033,27070.0520921,2.167901199998596,candidate-warmup,102751,valid,1058641,0,True,
1,1,00001F,1790188340.376498,27070.2600857,2.3758947999995144,candidate-warmup,10274F,valid,1058639,-2,True,
1,1,00001F,1790188340.5680733,27070.4516612,2.567470300000423,candidate-warmup,10274D,valid,1058637,-2,True,
1,1,00001F,1790188340.7600713,27070.6436589,2.759468000000197,candidate-warmup,10274D,valid,1058637,0,True,
1,1,00001F,1790188340.968057,27070.8516468,2.9674559000013687,candidate-warmup,10274B,valid,1058635,-2,True,
1,1,00001F,1790188341.1600473,27071.0436358,3.1594449000003806,candidate-warmup,102749,valid,1058633,-2,True,
1,1,00001F,1790188341.3514614,27071.2350502,3.350859300000593,candidate-warmup,102749,valid,1058633,0,True,
1,1,00001F,1790188341.559104,27071.4426929,3.558501999999862,candidate-warmup,102747,valid,1058631,-2,True,
1,1,00001F,1790188341.7510376,27071.6346255,3.750434599998698,candidate-warmup,102745,valid,1058629,-2,True,
1,1,00001F,1790188341.9430285,27071.8266174,3.942426499997964,candidate-warmup,102743,valid,1058627,-2,True,
1,1,00001F,1790188342.1350362,27072.0186244,4.134433499999432,candidate-warmup,102741,valid,1058625,-2,True,
1,1,00001F,1790188342.3424566,27072.2260451,4.341854199999943,candidate-warmup,10273F,valid,1058623,-2,True,
