payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001C,1790188962.2911012,27692.1746863,0.202593900001375,candidate-warmup,102374,valid,1057652,263,True,
1,1,00001C,1790188962.4824817,27692.3660691,0.3939767000010761,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188962.6744761,27692.5580644,0.5859720000007655,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188962.866049,27692.7496383,0.7775459000004048,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188963.0580459,27692.9416343,0.9695419000017864,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188963.250036,27693.1336253,1.1615329000014754,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188963.441451,27693.3250393,1.35294690000228,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188963.633447,27693.5170353,1.5449429000000237,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188963.8250217,27693.7086101,1.73651769999924,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188964.0170114,27693.9006006,1.9285082000023976,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188964.209006,27694.0925942,2.1205018000000564,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188964.4004242,27694.2840122,2.311919800002215,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188964.5924065,27694.4759973,2.5039049000006344,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188964.7844012,27694.6679899,2.6958975000015926,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188964.9759767,27694.8595656,2.887473200000386,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188965.1679797,27695.0515679,3.079475499998807,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188965.3599722,27695.2435608,3.2714684000020497,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188965.5513828,27695.4349718,3.462879400001839,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188965.7593815,27695.6429695,3.670877100001235,candidate-warmup,102374,valid,1057652,0,True,
1,1,00001C,1790188965.9509666,27695.8345531,3.862460700001975,candidate-warmup,102375,valid,1057653,1,True,
1,1,00001C,1790188966.1429825,27696.026534,4.054441600001155,candidate-warmup,102375,valid,1057653,0,True,
1,1,00001C,1790188966.3349366,27696.2185251,4.2464327000016056,candidate-warmup,102375,valid,1057653,0,True,
1,1,00001C,1790188966.5423532,27696.4259414,4.453849000001355,candidate-warmup,102375,valid,1057653,0,True,
1,1,00001C,1790188966.734345,27696.6179333,4.645840900000621,candidate-warmup,102375,valid,1057653,0,True,
1,1,00001C,1790188966.926334,27696.8099244,4.837832000001072,candidate-warmup,102376,valid,1057654,1,True,
1,1,00001C,1790188967.133903,27697.0174934,5.045400999999401,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188967.3258982,27697.2094895,5.2373971000015445,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188967.517317,27697.4009077,5.428815300001588,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188967.7253115,27697.6088998,5.636807400001999,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188967.916883,27697.8004739,5.828381499999523,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188968.1088707,27697.9924613,6.0203689000009035,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188968.3162968,27698.1998849,6.227792500001669,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188968.5082874,27698.3918768,6.419784400000935,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188968.6998625,27698.5834513,6.611358900001505,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188968.8918614,27698.7754498,6.803357400000095,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188969.0998478,27698.983436,7.011343599999236,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188969.2912686,27699.1748565,7.202764100002241,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188969.4832537,27699.3668448,7.394752399999561,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188969.691312,27699.5748968,7.602804400001332,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188969.8828514,27699.7664391,7.79434670000046,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188970.0748198,27699.9584083,7.9863159000015,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188970.2828147,27700.1664028,8.194310400001996,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188970.4742193,27700.3578094,8.385717000001023,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188970.6662571,27700.5498442,8.577751799999533,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188970.8577976,27700.7413859,8.769293500001368,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188971.0657935,27700.949381,8.977288599999156,candidate-warmup,102376,valid,1057654,0,True,
1,1,00001C,1790188971.2578237,27701.1414101,9.169317700001557,candidate-warmup,102378,valid,1057656,2,True,
1,1,00001C,1790188971.4491928,27701.3327806,9.360688200002187,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188971.6572042,27701.5407916,9.568699200000992,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188971.848762,27701.7323503,9.760257900001307,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188972.0407584,27701.9243465,9.952254100000573,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188972.2487457,27702.132334,10.160241600002337,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188972.4561644,27702.3397526,10.36766020000141,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188972.6481607,27702.5317488,10.559656400000677,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188972.8397236,27702.723312,10.751219599998876,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188973.03173,27702.9153189,10.943226499999582,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188973.2237186,27703.1073065,11.135214099998848,candidate-warmup,102378,valid,1057656,0,True,
1,1,00001C,1790188973.4151342,27703.2987223,11.326629899998807,candidate-warmup,10237A,valid,1057658,2,True,
1,1,00001C,1790188973.6231341,27703.5067228,11.534630400001333,candidate-warmup,10237C,valid,1057660,2,True,
1,1,00001C,1790188973.8151226,27703.6987117,11.726619299999584,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188974.006688,27703.8902786,11.918186200000491,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188974.2146828,27704.0982717,12.12617930000124,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188974.4066777,27704.2902661,12.318173700001353,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188974.5981166,27704.481705,12.509612599998945,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188974.7900875,27704.6736759,12.701583500002016,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188974.9976547,27704.8812459,12.909153500000684,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188975.189654,27705.0732425,13.101150099999359,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188975.381648,27705.2652365,13.293144100000063,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188975.589637,27705.4732281,13.501135700000304,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188975.7810495,27705.664638,13.692545599998994,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188975.973045,27705.8566355,13.884543100000883,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188976.1806192,27706.0642075,14.092115100000228,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188976.3726153,27706.2562035,14.28411110000161,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188976.564647,27706.4482353,14.476142899999104,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188976.7560248,27706.6396127,14.667520300001343,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188976.9640162,27706.847605,14.875512599999638,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188977.1555903,27707.0391802,15.0670878000019,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188977.3476164,27707.2312059,15.25911350000024,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188977.5555727,27707.4391626,15.467070200000308,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188977.7475708,27707.6311591,15.659066700001858,candidate-warmup,10237C,valid,1057660,0,True,
1,1,00001C,1790188977.9389877,27707.8225768,15.850484400001733,candidate-warmup,10237D,valid,1057661,1,True,
1,1,00001C,1790188978.130972,27708.014562,16.042469600000913,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188978.3385541,27708.2221427,16.25005030000102,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188978.530547,27708.4141353,16.44204290000198,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188978.7225516,27708.6061397,16.63404730000184,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188978.9299507,27708.8135394,16.84144699999888,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188979.1219428,27709.0055326,17.03344020000077,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188979.3139365,27709.1975243,17.22543190000215,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188979.5215125,27709.4051016,17.433009200001834,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188979.7135088,27709.5970979,17.625005500001862,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188979.9054973,27709.7890867,17.81699429999935,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188980.096908,27709.9804964,18.008404000000155,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188980.3049107,27710.1884987,18.216406300001836,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188980.4964843,27710.3800726,18.407980200001475,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188980.688475,27710.5720635,18.599971100000403,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188980.896467,27710.780055,18.807962599999883,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188981.0878782,27710.9714663,18.999373900001956,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188981.2798808,27711.1634687,19.19137630000114,candidate-warmup,10237D,valid,1057661,0,True,
1,1,00001C,1790188981.4874432,27711.3710332,19.398940800001583,candidate-warmup,10237E,valid,1057662,1,True,
1,1,00001C,1790188981.6794477,27711.5630358,19.59094340000229,candidate-warmup,102381,valid,1057665,3,True,
1,1,00001C,1790188981.8714337,27711.7550231,19.78293069999927,candidate-warmup,102382,valid,1057666,1,True,
1,1,00001C,1790188982.0634234,27711.9470114,19.974919000000227,candidate-warmup,102386,valid,1057670,4,True,
1,1,00001C,1790188982.2708368,27712.1544253,20.182332899999892,candidate-measurement,10238A,valid,1057674,4,True,
1,1,00001C,1790188982.4628375,27712.3464271,20.374334700001782,candidate-measurement,10238E,valid,1057678,4,True,
1,1,00001C,1790188982.6544204,27712.5380082,20.565915800001676,candidate-measurement,10238F,valid,1057679,1,True,
1,1,00001C,1790188982.8624058,27712.7459948,20.773902400000225,candidate-measurement,102391,valid,1057681,2,True,
1,1,00001C,1790188983.0543964,27712.9379859,20.965893500000675,candidate-measurement,102393,valid,1057683,2,True,
1,1,00001C,1790188983.245812,27713.1294012,21.157308800000465,candidate-measurement,102393,valid,1057683,0,True,
1,1,00001C,1790188983.4538121,27713.3374003,21.365307899999607,candidate-measurement,102395,valid,1057685,2,True,
1,1,00001C,1790188983.645386,27713.5289736,21.556881200001953,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188983.8373735,27713.7209621,21.748869700000796,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188984.0293736,27713.9129614,21.94086900000184,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188984.2373633,27714.1209513,22.14885890000005,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188984.4287758,27714.3123633,22.340270900000178,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188984.620777,27714.5043656,22.532273200002237,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188984.8287628,27714.712352,22.740259599999263,candidate-measurement,102395,valid,1057685,0,True,
1,1,00001C,1790188985.0203269,27714.9039161,22.931823700000677,candidate-measurement,102396,valid,1057686,1,True,
1,1,00001C,1790188985.2123275,27715.0959166,23.123824199999945,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188985.4203212,27715.3039097,23.331817300000694,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188985.6117404,27715.4953301,23.5232376999993,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188985.8037345,27715.6873226,23.715230199999496,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188985.9957163,27715.879305,23.907212599999184,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188986.2033582,27716.0869463,24.114853900002345,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188986.3952935,27716.2788818,24.306789400001435,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188986.5873473,27716.4709325,24.49884010000096,candidate-measurement,102396,valid,1057686,0,True,
1,1,00001C,1790188986.7952816,27716.67887,24.70677760000035,candidate-measurement,102397,valid,1057687,1,True,
1,1,00001C,1790188986.9867184,27716.870306,24.898213600001327,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188987.1786842,27717.0622736,25.090181200001098,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188987.3862588,27717.269849,25.297756600000866,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188987.5782468,27717.4618381,25.48974570000064,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188987.7702458,27717.6538356,25.68174319999889,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188987.9776623,27717.8612502,25.88915780000025,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188988.1696482,27718.053238,26.081145600001037,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188988.3612318,27718.2448197,26.27272730000186,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188988.5532253,27718.4368148,26.464722400000028,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188988.7606363,27718.6442247,26.672132300001977,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188988.9526284,27718.8362169,26.86412449999989,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188989.144198,27719.0277873,27.05569490000198,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188989.352194,27719.2357842,27.263691799998924,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188989.5601833,27719.4437714,27.47167900000204,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188989.7516022,27719.635191,27.66309860000183,candidate-measurement,102397,valid,1057687,0,True,
1,1,00001C,1790188989.9435918,27719.8271808,27.85508839999966,candidate-measurement,102399,valid,1057689,2,True,
1,1,00001C,1790188990.1512012,27720.0347881,28.062695700002223,candidate-measurement,102399,valid,1057689,0,True,
1,1,00001C,1790188990.343164,27720.226752,28.254659599999286,candidate-measurement,10239B,valid,1057691,2,True,
1,1,00001C,1790188990.5351615,27720.4187497,28.44665729999906,candidate-measurement,10239B,valid,1057691,0,True,
1,1,00001C,1790188990.7265732,27720.6101616,28.638069200002064,candidate-measurement,10239B,valid,1057691,0,True,
1,1,00001C,1790188990.9185617,27720.8021524,28.83006000000023,candidate-measurement,10239B,valid,1057691,0,True,
1,1,00001C,1790188991.11056,27720.994149,29.022056599998905,candidate-measurement,10239B,valid,1057691,0,True,
1,1,00001C,1790188991.3181348,27721.2017235,29.229631099999096,candidate-measurement,10239B,valid,1057691,0,True,
1,1,00001C,1790188991.5101295,27721.3937185,29.42162610000014,candidate-measurement,10239D,valid,1057693,2,True,
1,1,00001C,1790188991.702123,27721.5857116,29.613619200001267,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188991.8935313,27721.7771217,29.80502930000148,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188992.1015275,27721.9851164,30.01302399999986,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188992.293112,27722.1766919,30.204599500000768,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188992.4850924,27722.3686826,30.39659020000181,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188992.6930873,27722.5766759,30.604583500000444,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188992.885083,27722.768671,30.79657860000225,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188993.0764987,27722.960088,30.98799560000043,candidate-measurement,10239D,valid,1057693,0,True,
1,1,00001C,1790188993.2841318,27723.1677211,31.19562869999936,candidate-measurement,10239E,valid,1057694,1,True,
1,1,00001C,1790188993.4760616,27723.3596497,31.38755730000048,candidate-measurement,1023A1,valid,1057697,3,True,
1,1,00001C,1790188993.668056,27723.5516445,31.5795521,candidate-measurement,1023A6,valid,1057702,5,True,
1,1,00001C,1790188993.860057,27723.7436452,31.77155280000079,candidate-measurement,1023A9,valid,1057705,3,True,
1,1,00001C,1790188994.067462,27723.9510526,31.978960200001893,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188994.2594802,27724.1430519,32.1709594999993,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188994.4510343,27724.3346234,32.36253099999885,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188994.6590266,27724.5426147,32.57052230000045,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188994.8504372,27724.7340261,32.761933699999645,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188995.0424318,27724.9260218,32.95392940000238,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188995.2500288,27725.1336154,33.16152299999885,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188995.4420025,27725.3255915,33.3534991000015,candidate-measurement,1023A9,valid,1057705,0,True,
1,1,00001C,1790188995.6340103,27725.5176002,33.54550780000136,candidate-measurement,1023AA,valid,1057706,1,True,
1,1,00001C,1790188995.8259895,27725.7095787,33.737486300000455,candidate-measurement,1023AB,valid,1057707,1,True,
