payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001B,1790182570.4999683,21300.3835553,0.19150779999836232,candidate-measurement,002EC2,valid,11970,-2,True,
1,1,00001B,1790182570.691967,21300.5755548,0.3835073000009288,candidate-measurement,002EC1,valid,11969,-1,True,
1,1,00001B,1790182570.8839626,21300.7675507,0.575503199997911,candidate-measurement,002EC0,valid,11968,-1,True,
1,1,00001B,1790182571.0759552,21300.9595438,0.7674962999990385,candidate-measurement,002EBF,valid,11967,-1,True,
1,1,00001B,1790182571.2673635,21301.1509526,0.9589051000002655,candidate-measurement,002EBE,valid,11966,-1,True,
1,1,00001B,1790182571.4593613,21301.3429499,1.150902400000632,candidate-measurement,002EBC,valid,11964,-2,True,
1,1,00001B,1790182571.6509287,21301.5345179,1.3424703999990015,candidate-measurement,002EBB,valid,11963,-1,True,
1,1,00001B,1790182571.8429277,21301.7265167,1.5344691999998759,candidate-measurement,002EBB,valid,11963,0,True,
1,1,00001B,1790182572.0349286,21301.918517,1.72646949999762,candidate-measurement,002EBA,valid,11962,-1,True,
1,1,00001B,1790182572.2423358,21302.1259237,1.9338762000006682,candidate-measurement,002EB8,valid,11960,-2,True,
1,1,00001B,1790182572.4343255,21302.3179145,2.125866999998834,candidate-measurement,002EB7,valid,11959,-1,True,
1,1,00001B,1790182572.6263163,21302.5099059,2.317858399997931,candidate-measurement,002EB5,valid,11957,-2,True,
1,1,00001B,1790182572.8338997,21302.7174881,2.5254405999985465,candidate-measurement,002EB4,valid,11956,-1,True,
1,1,00001B,1790182573.025894,21302.9094825,2.717434999998659,candidate-measurement,002EB4,valid,11956,0,True,
1,1,00001B,1790182573.2178855,21303.1014741,2.9094265999992786,candidate-measurement,002EB4,valid,11956,0,True,
1,1,00001B,1790182573.4253027,21303.3088913,3.1168437999986054,candidate-measurement,002EB2,valid,11954,-2,True,
1,1,00001B,1790182573.6172934,21303.5008824,3.308834899999056,candidate-measurement,002EB2,valid,11954,0,True,
1,1,00001B,1790182573.8088598,21303.6924491,3.5004015999984404,candidate-measurement,002EB2,valid,11954,0,True,
1,1,00001B,1790182574.0008712,21303.8844596,3.6924121000010928,candidate-measurement,002EB2,valid,11954,0,True,
1,1,00001B,1790182574.2088523,21304.0924403,3.9003927999983716,candidate-measurement,002EB1,valid,11953,-1,True,
1,1,00001B,1790182574.4002664,21304.2838565,4.091808999997738,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182574.592256,21304.4758451,4.28379760000098,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182574.7998285,21304.6834197,4.491372199998295,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182574.9918244,21304.8754147,4.6833671999993385,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182575.1838217,21305.0674112,4.875363700000889,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182575.3912318,21305.2748202,5.082772699999623,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182575.5832295,21305.4668188,5.274771299998974,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182575.7747962,21305.6583858,5.466338300000643,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182575.96679,21305.8503805,5.658332999999402,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182576.1742177,21306.0578056,5.865758100000676,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182576.3662047,21306.2497937,6.0577462000001105,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182576.55819,21306.4417809,6.249733399999968,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182576.7657702,21306.6493595,6.4573119999986375,candidate-measurement,002EB1,valid,11953,0,True,
1,1,00001B,1790182576.9577582,21306.8413493,6.649301800000103,candidate-measurement,002EB0,valid,11952,-1,True,
1,1,00001B,1790182577.149188,21307.0327762,6.840728700000909,candidate-measurement,002EB0,valid,11952,0,True,
1,1,00001B,1790182577.3571718,21307.2407615,7.048714000000473,candidate-measurement,002EB0,valid,11952,0,True,
1,1,00001B,1790182577.5491614,21307.4327526,7.240705100000923,candidate-measurement,002EAF,valid,11951,-1,True,
1,1,00001B,1790182577.7407374,21307.6243282,7.432280699998955,candidate-measurement,002EAD,valid,11949,-2,True,
1,1,00001B,1790182577.9327314,21307.8163218,7.624274300000252,candidate-measurement,002EAD,valid,11949,0,True,
1,1,00001B,1790182578.1407263,21308.0243147,7.832267199999478,candidate-measurement,002EAC,valid,11948,-1,True,
1,2,00001B,1790182580.6176476,21310.501236,0.1915697000004002,candidate-measurement,002EAA,valid,11946,-1,True,
1,2,00001B,1790182580.8096342,21310.6932243,0.38355800000135787,candidate-measurement,002EA9,valid,11945,-1,True,
1,2,00001B,1790182581.0016348,21310.8852235,0.57555720000164,candidate-measurement,002EA9,valid,11945,0,True,
1,2,00001B,1790182581.1930494,21311.0766379,0.7669716000018525,candidate-measurement,002EA9,valid,11945,0,True,
1,2,00001B,1790182581.3850427,21311.2686317,0.9589654000010341,candidate-measurement,002EA9,valid,11945,0,True,
