payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,000020,1790182782.7311532,21512.6147397,0.19190829999934067,candidate-measurement,002DDB,valid,11739,0,True,
1,1,000020,1790182782.9231696,21512.8067567,0.3839253000005556,candidate-measurement,002DDB,valid,11739,0,True,
1,1,000020,1790182783.1311548,21513.014743,0.5919116000004578,candidate-measurement,002DCE,valid,11726,-13,True,
1,1,000020,1790182783.3225636,21513.2061515,0.7833200999994006,candidate-measurement,002DC9,valid,11721,-5,True,
1,1,000020,1790182783.5146198,21513.3982058,0.9753744000008737,candidate-measurement,002DC9,valid,11721,0,True,
1,1,000020,1790182783.7065578,21513.5901447,1.1673133000003872,candidate-measurement,002DC9,valid,11721,0,True,
1,1,000020,1790182783.9141338,21513.7977201,1.374888700000156,candidate-measurement,002DC5,valid,11717,-4,True,
1,1,000020,1790182784.106119,21513.9897049,1.5668734999999288,candidate-measurement,002DB5,valid,11701,-16,True,
1,1,000020,1790182784.2980983,21514.1816867,1.758855300002324,candidate-measurement,002DB1,valid,11697,-4,True,
1,1,000020,1790182784.5055172,21514.3891056,1.9662742000000435,candidate-measurement,002DAC,valid,11692,-5,True,
1,1,000020,1790182784.6970925,21514.5806808,2.1578494000023056,candidate-measurement,002DA3,valid,11683,-9,True,
1,1,000020,1790182784.889087,21514.772675,2.349843600000895,candidate-measurement,002DA0,valid,11680,-3,True,
1,1,000020,1790182785.0970745,21514.9806629,2.5578315000020666,candidate-measurement,002D9E,valid,11678,-2,True,
1,1,000020,1790182785.2885034,21515.1720913,2.7492598999997426,candidate-measurement,002D9C,valid,11676,-2,True,
1,1,000020,1790182785.480484,21515.3640728,2.9412413999998535,candidate-measurement,002D98,valid,11672,-4,True,
1,1,000020,1790182785.6724787,21515.5560671,3.1332356999992044,candidate-measurement,002D91,valid,11665,-7,True,
1,1,000020,1790182785.8800511,21515.7636391,3.3408077000021876,candidate-measurement,002D8C,valid,11660,-5,True,
1,1,000020,1790182786.0720437,21515.9556305,3.5327991000012844,candidate-measurement,002D89,valid,11657,-3,True,
1,1,000020,1790182786.2640402,21516.1476282,3.7247968000010587,candidate-measurement,002D89,valid,11657,0,True,
1,1,000020,1790182786.471453,21516.3550418,3.932210400002077,candidate-measurement,002D89,valid,11657,0,True,
1,1,000020,1790182786.663439,21516.5470294,4.124198000001343,candidate-measurement,002D87,valid,11655,-2,True,
1,1,000020,1790182786.8550172,21516.738606,4.315774599999713,candidate-measurement,002D86,valid,11654,-1,True,
1,1,000020,1790182787.063013,21516.9466011,4.523769700001139,candidate-measurement,002D85,valid,11653,-1,True,
1,1,000020,1790182787.255002,21517.1385906,4.715759200000321,candidate-measurement,002D83,valid,11651,-2,True,
1,1,000020,1790182787.44703,21517.3306185,4.90778710000086,candidate-measurement,002D83,valid,11651,0,True,
1,1,000020,1790182787.638432,21517.5220213,5.099189900000056,candidate-measurement,002D83,valid,11651,0,True,
1,1,000020,1790182787.8464117,21517.7299999,5.307168499999534,candidate-measurement,002D83,valid,11651,0,True,
1,1,000020,1790182788.0379837,21517.9215717,5.498740300001373,candidate-measurement,002D83,valid,11651,0,True,
1,1,000020,1790182788.2299747,21518.1135636,5.690732200000639,candidate-measurement,002D81,valid,11649,-2,True,
1,1,000020,1790182788.437971,21518.3215596,5.898728200001642,candidate-measurement,002D81,valid,11649,0,True,
1,1,000020,1790182788.6299589,21518.5135495,6.090718100000231,candidate-measurement,002D81,valid,11649,0,True,
1,1,000020,1790182788.8213801,21518.7049689,6.282137500002136,candidate-measurement,002D81,valid,11649,0,True,
1,1,000020,1790182789.0293853,21518.9129721,6.490140699999756,candidate-measurement,002D81,valid,11649,0,True,
1,1,000020,1790182789.2209413,21519.1045304,6.681699000000663,candidate-measurement,002D81,valid,11649,0,True,
1,1,000020,1790182789.4129457,21519.2965247,6.8736933000000136,candidate-measurement,002D81,valid,11649,0,True,
1,1,000020,1790182789.6049275,21519.4885155,7.065684100001818,candidate-measurement,002D74,valid,11636,-13,True,
1,1,000020,1790182789.8123415,21519.6959314,7.2731000000021595,candidate-measurement,002D71,valid,11633,-3,True,
1,1,000020,1790182790.003959,21519.8875457,7.464714300000196,candidate-measurement,002D6F,valid,11631,-2,True,
1,1,000020,1790182790.1959138,21520.0795019,7.656670500000473,candidate-measurement,002D6F,valid,11631,0,True,
1,1,000020,1790182790.4039378,21520.2875247,7.864693300001818,candidate-measurement,002D6F,valid,11631,0,True,
