commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_progress_counts,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
5,-0.6490346200648975,-0.0002205666830512958,-,12551,1.09293311361365,0.2375383186271603,0,,,0,12556,-5,7.70374929999889,20,start,8.0,000001,1,3,12952,5,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,0.25961349417973356,1.0,half-rate-ratio-below-0.5,False,12556,00310C,,,1,False,1,
1,-0.1306135107294878,-4.4387445496216096e-05,-,12550,,,0,,,0,12551,-1,7.656175799998891,20,start,8.0,000002,2,3,12952,1,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,12551,003107,,,1,False,1,
17,-2.1750980547001153,-0.0007391811598409949,-,12533,0.2708650606608952,0.06656303854747006,0,,,0,12550,-17,7.815739599998778,20,start,8.0,000003,3,3,12952,17,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,4.069301320547818,1.0,half-rate-ratio-below-0.5,False,12550,003106,,,1,False,1,
2,-0.2574433833086105,-8.748906664517484e-05,-,12531,,,0,,,0,12533,-2,7.768698399999266,20,start,8.0,000004,4,3,12952,2,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,12533,0030F5,,,1,False,1,
35,-4.580697300178923,-0.0015566954031842944,-,12496,7.550624374612744,0.24782271295596683,0,,,0,12531,-35,7.640758100002131,20,start,8.0,000005,5,3,12952,35,motion-not-stable,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,1.8712162170279807,1.0,half-rate-ratio-below-0.5,False,12531,0030F3,,,1,False,1,
11,-1.4159327393846037,-0.000481187872102368,-,12485,0.8230748936700998,0.46231808712277084,0,,,0,12496,-11,7.768730600000708,20,start,8.0,000006,6,3,12952,11,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,1.7803216369761632,1.0,half-rate-ratio-below-0.5,False,12496,0030D0,,,1,False,1,
10,-1.306108255581056,-0.000443865329727129,-,12475,1.879760173752302,0.42667125917124965,0,,,0,12485,-10,7.6563332000005175,20,start,8.0,000007,7,3,12952,10,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,0.8020396402748617,1.0,half-rate-ratio-below-0.5,False,12485,0030C5,,,1,False,1,
8,-1.025595110536992,-0.0003485362794085657,-,12467,1.9040022726177932,0.13357688136682544,0,,,0,12475,-8,7.800349199998891,20,start,8.0,000008,8,3,12952,8,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,0.254330685691633,1.0,half-rate-ratio-below-0.5,False,12475,0030BB,,,1,False,1,
6,-0.7853194476639914,-0.00026688145801775925,-,12461,,,0,,,0,12467,-6,7.640202999999019,20,start,8.0,000009,9,3,12952,6,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,12467,0030B3,,,1,False,1,
1,-0.12793042713527536,-4.347563150289535e-05,-,12460,,,0,,,0,12461,-1,7.8167486999991524,20,start,8.0,00000A,10,3,12952,1,insufficient-commanded-progress,az-postswap-reliable-start-minus-full-screen-r1,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,12461,0030AD,,,1,False,1,
