payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,000001,1790172087.9743752,10817.8579622,0.19197729999905278,candidate-measurement,000A2A,valid,2602,8,True,
1,1,000001,1790172088.166374,10818.0499625,0.3839775999986159,candidate-measurement,000A2B,valid,2603,1,True,
1,1,000001,1790172088.3577826,10818.2413706,0.5753856999999698,candidate-measurement,000A2D,valid,2605,2,True,
1,1,000001,1790172088.5493555,10818.4329438,0.7669588999997359,candidate-measurement,000A32,valid,2610,5,True,
1,1,000001,1790172088.741353,10818.6249414,0.9589564999987488,candidate-measurement,000A41,valid,2625,15,True,
1,1,000001,1790172088.9333456,10818.8169331,1.1509482000001299,candidate-measurement,000A43,valid,2627,2,True,
1,1,000001,1790172089.1407518,10819.0243419,1.3583569999991596,candidate-measurement,000A45,valid,2629,2,True,
1,1,000001,1790172089.3327627,10819.2163532,1.5503682999988087,candidate-measurement,000A45,valid,2629,0,True,
1,1,000001,1790172089.5243368,10819.4079239,1.7419389999995474,candidate-measurement,000A45,valid,2629,0,True,
1,1,000001,1790172089.716337,10819.5999254,1.933940499999153,candidate-measurement,000A46,valid,2630,1,True,
1,1,000001,1790172089.9083118,10819.7919,2.1259150999994745,candidate-measurement,000A46,valid,2630,0,True,
1,1,000001,1790172090.099713,10819.9833043,2.317319399999178,candidate-measurement,000A48,valid,2632,2,True,
1,1,000001,1790172090.291715,10820.1753055,2.5093206000001373,candidate-measurement,000A49,valid,2633,1,True,
1,1,000001,1790172090.483311,10820.3668988,2.7009139000001596,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172090.675285,10820.5588736,2.892888700000185,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172090.8672786,10820.7508665,3.0848815999997896,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172091.0586908,10820.9422815,3.276296599999114,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172091.250679,10821.1342704,3.4682854999991832,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172091.4422684,10821.3258564,3.6598715000000084,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172091.6342556,10821.517844,3.851859099999274,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172091.8262627,10821.7098526,4.043867700000192,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172092.017663,10821.9012511,4.235266199999387,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172092.2096808,10822.0932685,4.42728360000001,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172092.4176297,10822.3012159,4.6352310000002035,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172092.6092362,10822.4928248,4.826839899998959,candidate-measurement,000A49,valid,2633,0,True,
1,1,000001,1790172092.8012147,10822.6848044,5.018819499999154,candidate-measurement,000A49,valid,2633,0,True,
