commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
41,4.239372439273895,0.0014407002157392254,+,2635,0,,,0,2602,33,7.784171000001152,20,start,8.0,000001,1,3,2594,motion-not-stable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2594,000A22,,,1,False,3,
40,4.862340860382752,0.001652408611627174,+,2675,0,,,0,2637,38,7.815165799998795,20,start,8.0,000001,1,3,2594,motion-not-stable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2635,000A4B,,,2,False,3,
17,2.183871834162832,0.0007421628242608706,+,2692,0,,,0,2675,17,7.784339600000749,20,start,8.0,000001,1,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2675,000A73,,,3,False,3,
1,0.13087746824762742,4.447714831397439e-05,+,2693,0,,,0,2692,1,7.640734599999632,20,start,8.0,000004,2,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,no-commanded-progress-in-both-halves,False,2692,000A84,,,1,False,3,
24,2.979368006095808,0.001012502720776276,+,2717,0,,,0,2694,23,7.719757999999274,20,start,8.0,000004,2,3,2594,motion-not-stable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,no-commanded-progress-in-both-halves,False,2693,000A85,,,2,False,3,
2,0.26069656924095,8.859462312592702e-05,+,2719,0,,,0,2717,2,7.671754200000578,20,start,8.0,000004,2,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2717,000A9D,,,3,False,3,
6,0.785303567274322,0.00026687606125652864,+,2725,0,,,0,2719,6,7.640357499998572,20,start,8.0,000008,3,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2719,000A9F,,,1,False,3,
18,2.3077710381890544,0.0007842684926180178,+,2743,0,,,0,2725,18,7.79973389999941,20,start,8.0,000008,3,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2725,000AA5,,,2,False,3,
23,3.0044517614886965,0.0010210271361994875,+,2766,0,,,0,2743,23,7.655306800001199,20,start,8.0,000008,3,3,2594,motion-not-stable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2743,000AB7,,,3,False,3,
16,2.0940413007764906,0.0007116349877276317,+,2782,0,,,0,2766,16,7.640728000000308,20,start,8.0,000010,4,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,no-commanded-progress-in-both-halves,False,2766,000ACE,,,1,False,3,
6,0.7708387190335696,0.00026196035491564943,+,2788,0,,,0,2782,6,7.783729400000084,20,start,8.0,000010,4,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2782,000ADE,,,2,False,3,
19,2.4817875328109373,0.0008434059250882989,+,2808,0,,,0,2789,19,7.655772199999774,20,start,8.0,000010,4,3,2594,insufficient-commanded-progress,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,nonpositive-median-commanded-rate,False,2789,000AE5,,,3,False,3,
92,11.795251360012028,0.004008475646451647,+,2900,0,,,0,2808,92,7.799748999999792,20,start,8.0,000020,5,3,2594,reliable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,commanded-progress-in-both-halves,True,2808,000AF8,,,1,True,3,
106,13.555169062349513,0.004606562709987676,+,3006,0,,,0,2902,104,7.672349899999972,20,start,8.0,000020,5,3,2594,reliable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,commanded-progress-in-both-halves,True,2900,000B54,,,2,True,3,
116,14.584067387399449,0.004956221547494074,+,3122,0,,,0,3008,114,7.816749399999026,20,start,8.0,000020,5,3,2594,reliable,az-postswap-reliable-start-plus-floor-r3,completed,0.18,1.0,commanded-progress-in-both-halves,True,3006,000BBE,,,3,True,3,
