commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
20,2.4460091121304726,0.0008312470550830056,+,3143,0,,,0,3124,19,7.767755200000465,20,start,8.0,000002,1,3,3123,motion-not-stable,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3123,000C33,,,1,False,1,
22,2.809076386282385,0.0009546311426316104,+,3165,0,,,0,3143,22,7.831755699999121,20,start,8.0,000003,2,3,3123,motion-not-stable,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3143,000C47,,,1,False,1,
3,0.39183233849491655,0.0001331595519595158,+,3168,0,,,0,3165,3,7.656335900001068,20,start,8.0,000005,3,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3165,000C5D,,,1,False,1,
5,0.6557945805844551,0.00022286397509591348,+,3173,0,,,0,3168,5,7.624338699999498,20,start,8.0,000006,4,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3168,000C60,,,1,False,1,
19,2.45593119080552,0.0008346189553093916,+,3192,0,,,0,3173,19,7.736373100000492,20,start,8.0,000007,5,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3173,000C65,,,1,False,1,
24,3.1346614920196294,0.001065277361805849,+,3216,0,,,0,3192,24,7.656329100000221,20,start,8.0,000009,6,3,3123,motion-not-stable,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3192,000C78,,,1,False,1,
16,2.089927817550421,0.0007102370694611599,+,3233,0,,,0,3217,16,7.655766800000492,20,start,8.0,00000A,7,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3217,000C91,,,1,False,1,
19,2.4407989983782055,0.0008294764599974266,+,3252,0,,,0,3233,19,7.784336200000325,20,start,8.0,00000B,8,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3233,000CA1,,,1,False,1,
4,0.5224431589353106,0.00017754608319303538,+,3257,0,,,0,3253,4,7.656335300000137,20,start,8.0,00000C,9,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,nonpositive-median-commanded-rate,False,3253,000CB5,,,1,False,1,
1,0.12820889393044468,4.357026512558914e-05,+,3259,0,,,0,3258,1,7.799770900001022,20,start,8.0,00000D,10,3,3123,insufficient-commanded-progress,az-postswap-reliable-start-plus-gap-screen-r4,completed,0.18,1.0,no-commanded-progress-in-both-halves,False,3258,000CBA,,,1,False,1,
