commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
46,5.897187081503692,0.002004088770750258,+,64,0,,,0,18,46,7.800329100000454,20,start,8.0,000020,1,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,18,000012,,,1,True,3,
85,11.102726013131749,0.0037731291580392753,+,149,0,,,0,64,85,7.655777500000113,20,start,8.0,000020,1,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,64,000040,,,2,True,3,
88,10.98036027226134,0.0037315446188660004,+,238,0,,,0,152,86,7.832165599998916,20,start,8.0,000020,1,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,150,000096,,,3,True,3,
106,13.684790912360036,0.004650613151403166,+,344,0,,,0,239,105,7.672751500000231,20,start,8.0,000040,2,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,238,0000EE,,,1,True,3,
121,15.575443462650336,0.0052931288954451506,+,470,0,,,0,351,119,7.640231900000799,20,start,8.0,000040,2,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,349,00015D,,,2,True,3,
151,18.718624988272214,0.0063613016891633165,+,624,0,,,0,478,146,7.799718199999916,20,start,8.0,000040,2,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,473,0001D9,,,3,True,3,
159,19.9836116099131,0.006791192321517713,+,784,0,,,0,631,153,7.6562737000003835,20,start,8.0,000080,3,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,625,000271,,,1,True,3,
138,17.398577709768585,0.0059126993485650245,+,922,0,,,0,786,136,7.816730900000039,20,start,8.0,000080,3,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,784,000310,,,2,True,3,
130,16.683664888154535,0.005669744743588041,+,1052,0,,,0,924,128,7.672175199999401,20,start,8.0,000080,3,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,922,00039A,,,3,True,3,
229,29.773036861035983,0.01011801186221166,+,1283,0,,,0,1056,227,7.624348200000895,20,start,8.0,0000C0,4,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,1054,00041E,,,1,True,3,
281,34.559206633671266,0.011744534637167767,+,1567,0,,,0,1298,269,7.783743500000128,20,start,8.0,0000C0,4,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,1286,000506,,,2,True,3,
234,30.230962986783116,0.010273632600329569,+,1802,0,,,0,1571,231,7.64117239999905,20,start,8.0,0000C0,4,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,1568,000620,,,3,True,3,
251,31.72919114884152,0.010782787591362588,+,2068,0,,,0,1820,248,7.816146299999673,20,start,8.0,0000F5,5,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,1817,000719,,,1,True,3,
249,30.04111492294815,0.010209114997679033,+,2319,0,,,0,2089,230,7.656173900000795,20,start,8.0,0000F5,5,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,2070,000816,,,2,True,3,
255,33.24472218766923,0.011297822758919733,+,2587,0,,,0,2333,254,7.640310499999032,20,start,8.0,0000F5,5,3,18,reliable,az-postswap-reliable-start-plus-low-r2,completed,0.18,1.0,commanded-progress-in-both-halves,True,2332,00091C,,,3,True,3,
