payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001E,1790172688.1311388,11418.0147212,0.19200599999931,candidate-measurement,000ED7,valid,3799,1,True,
1,1,00001E,1790172688.323082,11418.2066697,0.3839544999991631,candidate-measurement,000ED9,valid,3801,2,True,
1,1,00001E,1790172688.5150783,11418.3986671,0.5759519000002911,candidate-measurement,000EDB,valid,3803,2,True,
1,1,00001E,1790172688.7225049,11418.6060933,0.7833781000008457,candidate-measurement,000EDD,valid,3805,2,True,
1,1,00001E,1790172688.9144769,11418.798065,0.9753498000009131,candidate-measurement,000EDD,valid,3805,0,True,
1,1,00001E,1790172689.1060574,11418.989646,1.1669308000000456,candidate-measurement,000EDD,valid,3805,0,True,
1,1,00001E,1790172689.298049,11419.1816368,1.3589216000000306,candidate-measurement,000EE6,valid,3814,9,True,
1,1,00001E,1790172689.506053,11419.3896436,1.5669283999995969,candidate-measurement,000EE8,valid,3816,2,True,
1,1,00001E,1790172689.6974523,11419.5810404,1.7583252000003995,candidate-measurement,000EE9,valid,3817,1,True,
1,1,00001E,1790172689.8894453,11419.7730356,1.9503203999993275,candidate-measurement,000EE9,valid,3817,0,True,
1,1,00001E,1790172690.0970132,11419.9806035,2.157888300000195,candidate-measurement,000EEA,valid,3818,1,True,
1,1,00001E,1790172690.2890272,11420.1726151,2.3498999000003096,candidate-measurement,000EEC,valid,3820,2,True,
1,1,00001E,1790172690.481029,11420.3646173,2.5419020999997883,candidate-measurement,000EED,valid,3821,1,True,
1,1,00001E,1790172690.6884172,11420.5720062,2.7492910000000848,candidate-measurement,000EEF,valid,3823,2,True,
1,1,00001E,1790172690.8804243,11420.7640119,2.9412967000007484,candidate-measurement,000EEF,valid,3823,0,True,
1,1,00001E,1790172691.0719948,11420.9555835,3.132868299999245,candidate-measurement,000EEF,valid,3823,0,True,
1,1,00001E,1790172691.2639978,11421.1475858,3.3248705999994854,candidate-measurement,000EF9,valid,3833,10,True,
1,1,00001E,1790172691.4719915,11421.3555823,3.532867100000658,candidate-measurement,000F02,valid,3842,9,True,
1,1,00001E,1790172691.663408,11421.5469961,3.7242808999999397,candidate-measurement,000F04,valid,3844,2,True,
1,1,00001E,1790172691.8553941,11421.7389839,3.916268700000728,candidate-measurement,000F04,valid,3844,0,True,
1,1,00001E,1790172692.06337,11421.9469607,4.124245499999233,candidate-measurement,000F05,valid,3845,1,True,
1,1,00001E,1790172692.2549455,11422.1385356,4.315820399999211,candidate-measurement,000F06,valid,3846,1,True,
