payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,0000F5,1790099482.893471,285499.8766712,0.1920164999901317,candidate-measurement,000277,valid,631,1,True,
1,1,0000F5,1790099483.0850625,285500.0682648,0.3836101000197232,candidate-measurement,000277,valid,631,0,True,
1,1,0000F5,1790099483.2770152,285500.2602192,0.5755645000026561,candidate-measurement,000278,valid,632,1,True,
1,1,0000F5,1790099483.4690154,285500.4522196,0.7675648999866098,candidate-measurement,00027A,valid,634,2,True,
1,1,0000F5,1790099483.6610048,285500.644209,0.9595543000032194,candidate-measurement,00027A,valid,634,0,True,
1,1,0000F5,1790099483.8529952,285500.8361994,1.1515447000274435,candidate-measurement,00027A,valid,634,0,True,
1,1,0000F5,1790099484.0449822,285501.0281867,1.3435320000280626,candidate-measurement,00027A,valid,634,0,True,
1,1,0000F5,1790099484.2369852,285501.220189,1.5355343000264838,candidate-measurement,00027B,valid,635,1,True,
1,1,0000F5,1790099484.4289753,285501.4121797,1.7275249999947846,candidate-measurement,000280,valid,640,5,True,
1,1,0000F5,1790099484.6209712,285501.6041751,1.9195203999988735,candidate-measurement,000289,valid,649,9,True,
1,1,0000F5,1790099484.8123891,285501.7955937,2.110939000034705,candidate-measurement,00028F,valid,655,6,True,
1,1,0000F5,1790099485.004373,285501.9875781,2.302923400013242,candidate-measurement,000290,valid,656,1,True,
1,1,0000F5,1790099485.196365,285502.1795692,2.4949144999845885,candidate-measurement,000291,valid,657,1,True,
1,1,0000F5,1790099485.3883562,285502.3715609,2.6869062000187114,candidate-measurement,000294,valid,660,3,True,
1,1,0000F5,1790099485.5803556,285502.5635596,2.8789048999897204,candidate-measurement,00029C,valid,668,8,True,
1,1,0000F5,1790099485.7723622,285502.7555671,3.070912400027737,candidate-measurement,0002A3,valid,675,7,True,
1,1,0000F5,1790099485.9639213,285502.9471258,3.2624711000244133,candidate-measurement,0002A3,valid,675,0,True,
