commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
180,22.981834477480934,0.007810102642329039,+,810,0,,,0,631,179,7.7887603000272065,20,start,8.0,0000F5,1,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,630,000276,,,1,True,3,
219,28.123869240412244,0.009557561894473108,+,1029,0,,,0,814,215,7.644751800049562,20,start,8.0,0000F5,1,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,810,00032A,,,2,True,3,
206,26.266085206429846,0.008926216124103908,+,1241,0,,,0,1036,205,7.804741300002206,20,start,8.0,0000F5,1,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,1035,00040B,,,3,True,3,
228,29.70006993569673,0.010093214921960738,+,1469,0,,,0,1241,228,7.676749600039329,20,start,8.0,0001E8,2,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,1241,0004D9,,,1,True,3,
183,23.937984452295343,0.008135038819729417,+,1665,0,,,0,1482,183,7.644753900007345,20,start,8.0,0001E8,2,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,1482,0005CA,,,2,True,3,
233,29.855763475174882,0.010146125516424524,+,1920,0,,,0,1687,233,7.804188299982343,20,start,8.0,0001E8,2,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,1687,000697,,,3,True,3,
362,47.25382132991518,0.016058648198451722,+,2283,0,,,0,1921,362,7.660756099969149,20,start,8.0,0003D3,3,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,1921,000781,,,1,True,3,
371,48.532683642445846,0.01649325431904047,+,2688,0,,,0,2317,371,7.644333100004587,20,start,8.0,0003D3,3,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,2317,00090D,,,2,True,3,
379,48.56013124815946,0.016502582060832344,+,3083,0,,,0,2704,379,7.804756500001531,20,start,8.0,0003D3,3,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,2704,000A90,,,3,True,3,
564,73.62203535732992,0.02501957158560783,+,3650,0,,,0,3086,564,7.660749899980146,20,start,8.0,0007A7,4,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,3086,000C0E,,,1,True,3,
728,93.08567888432776,0.031634058949029945,+,4433,0,,,0,3705,728,7.820751900027972,20,start,8.0,0007A7,4,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,3705,000E79,,,2,True,3,
738,96.13454083657854,0.03267017835945833,+,5176,0,,,0,4438,738,7.676741300034337,20,start,8.0,0007A7,4,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,4438,001156,,,3,True,3,
1337,175.2581823714134,0.059559405258530713,+,6553,0,,,0,5216,1337,7.628745099995285,20,start,8.0,000F52,5,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,5216,001460,,,1,True,3,
1281,166.87612812398805,0.056710863986070136,+,7925,0,,,0,6644,1281,7.676352599984966,20,start,8.0,000F52,5,1052515,258,reliable,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,6644,0019F4,,,2,True,3,
1323,173.05954467482078,0.0588122244318431,+,9320,1,,,0,7997,1323,7.644767599995248,20,start,8.0,000F52,5,1052515,258,invalid-samples-observed,az-postswap-reliable-start-plus-r1,completed,0.18,1.0,commanded-progress-in-both-halves,True,7997,001F3D,,,3,False,3,
