payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,000024,1790184224.1917512,22954.0753374,0.2019700000018929,candidate-warmup,001729,valid,5929,-52,True,
1,1,000024,1790184224.3837416,22954.2673303,0.3939629000014975,candidate-warmup,001729,valid,5929,0,True,
1,1,000024,1790184224.575731,22954.4593197,0.5859522999999172,candidate-warmup,001729,valid,5929,0,True,
1,1,000024,1790184224.7671487,22954.6507373,0.7773698999990302,candidate-warmup,001729,valid,5929,0,True,
1,1,000024,1790184224.9591367,22954.8427269,0.9693594999989728,candidate-warmup,001728,valid,5928,-1,True,
1,1,000024,1790184225.151135,22955.0347236,1.1613562000020465,candidate-warmup,001728,valid,5928,0,True,
1,1,000024,1790184225.3427126,22955.2263001,1.3529326999996556,candidate-warmup,001728,valid,5928,0,True,
1,1,000024,1790184225.5347004,22955.4182905,1.5449231000020518,candidate-warmup,001728,valid,5928,0,True,
1,1,000024,1790184225.7266974,22955.6102863,1.7369189000019105,candidate-warmup,001727,valid,5927,-1,True,
1,1,000024,1790184225.9181159,22955.8017041,1.9283366999989084,candidate-warmup,001727,valid,5927,0,True,
1,1,000024,1790184226.1101036,22955.9936917,2.120324300001812,candidate-warmup,001727,valid,5927,0,True,
1,1,000024,1790184226.3016827,22956.185271,2.3119035999989137,candidate-warmup,001726,valid,5926,-1,True,
1,1,000024,1790184226.4936657,22956.3772539,2.503886499998771,candidate-warmup,001726,valid,5926,0,True,
1,1,000024,1790184226.6856759,22956.5692665,2.695899099999224,candidate-warmup,001724,valid,5924,-2,True,
1,1,000024,1790184226.8770735,22956.7606644,2.8872970000011264,candidate-warmup,001724,valid,5924,0,True,
1,1,000024,1790184227.0847104,22956.9683006,3.094933200001833,candidate-warmup,001724,valid,5924,0,True,
1,1,000024,1790184227.2766526,22957.1602401,3.2868726999986393,candidate-warmup,001723,valid,5923,-1,True,
1,1,000024,1790184227.4686391,22957.3522287,3.4788613000018813,candidate-warmup,001723,valid,5923,0,True,
1,1,000024,1790184227.6606302,22957.5442216,3.670854200001486,candidate-warmup,001721,valid,5921,-2,True,
1,1,000024,1790184227.8680494,22957.7516383,3.8782709000006435,candidate-warmup,001721,valid,5921,0,True,
1,1,000024,1790184228.0600412,22957.9436294,4.070262000001094,candidate-warmup,001721,valid,5921,0,True,
1,1,000024,1790184228.252041,22958.1356292,4.262261799998669,candidate-warmup,00171F,valid,5919,-2,True,
1,1,000024,1790184228.4596143,22958.343203,4.469835600000806,candidate-warmup,00171E,valid,5918,-1,True,
1,1,000024,1790184228.651599,22958.5351904,4.661823000002187,candidate-warmup,00171C,valid,5916,-2,True,
1,1,000024,1790184228.8435912,22958.7271824,4.853815000002214,candidate-warmup,00171A,valid,5914,-2,True,
1,1,000024,1790184229.0510285,22958.9346175,5.061250099999597,candidate-warmup,001715,valid,5909,-5,True,
1,1,000024,1790184229.2430067,22959.1265949,5.2532275000012305,candidate-warmup,001710,valid,5904,-5,True,
1,1,000024,1790184229.434596,22959.3181856,5.444818200001464,candidate-warmup,00170D,valid,5901,-3,True,
1,1,000024,1790184229.6265676,22959.5101586,5.636791199998697,candidate-warmup,00170B,valid,5899,-2,True,
1,1,000024,1790184229.8345578,22959.7181461,5.844778700000461,candidate-warmup,001709,valid,5897,-2,True,
1,1,000024,1790184230.0259805,22959.9095687,6.036201300001267,candidate-warmup,001709,valid,5897,0,True,
1,1,000024,1790184230.2179668,22960.1015559,6.228188500001124,candidate-warmup,001709,valid,5897,0,True,
1,1,000024,1790184230.4255457,22960.3091344,6.435766999999032,candidate-warmup,001709,valid,5897,0,True,
1,1,000024,1790184230.6175835,22960.5011703,6.627802899998642,candidate-warmup,001709,valid,5897,0,True,
1,1,000024,1790184230.8095381,22960.6931263,6.819758900001034,candidate-warmup,001707,valid,5895,-2,True,
1,1,000024,1790184231.01752,22960.9011104,7.027742999998736,candidate-warmup,001707,valid,5895,0,True,
1,1,000024,1790184231.224944,22961.1085317,7.235164300000179,candidate-warmup,001706,valid,5894,-1,True,
1,1,000024,1790184231.4169316,22961.3005194,7.427152000000206,candidate-warmup,001703,valid,5891,-3,True,
1,1,000024,1790184231.6085107,22961.4920987,7.618731300000945,candidate-warmup,001703,valid,5891,0,True,
1,1,000024,1790184231.8005419,22961.6841299,7.810762500001147,candidate-warmup,001703,valid,5891,0,True,
1,1,000024,1790184231.9924934,22961.8760834,8.002715999999054,candidate-warmup,001701,valid,5889,-2,True,
1,1,000024,1790184232.1839132,22962.0675012,8.19413379999969,candidate-warmup,001701,valid,5889,0,True,
1,1,000024,1790184232.3919058,22962.2754937,8.402126299999509,candidate-warmup,001701,valid,5889,0,True,
1,1,000024,1790184232.5834744,22962.4670642,8.593696799998725,candidate-warmup,001701,valid,5889,0,True,
1,1,000024,1790184232.7754724,22962.6590616,8.785694199999853,candidate-warmup,001701,valid,5889,0,True,
1,1,000024,1790184232.9834614,22962.8670514,8.99368400000094,candidate-warmup,001701,valid,5889,0,True,
1,1,000024,1790184233.1908796,22963.074468,9.201100599999336,candidate-warmup,001700,valid,5888,-1,True,
1,1,000024,1790184233.382873,22963.2664609,9.39309349999894,candidate-warmup,0016F8,valid,5880,-8,True,
1,1,000024,1790184233.5748668,22963.4584565,9.585089100000914,candidate-warmup,0016F2,valid,5874,-6,True,
1,1,000024,1790184233.7664385,22963.650029,9.776661600000807,candidate-warmup,0016EF,valid,5871,-3,True,
1,1,000024,1790184233.9584281,22963.842019,9.968651600000157,candidate-warmup,0016EF,valid,5871,0,True,
1,1,000024,1790184234.1498413,22964.0334297,10.1600623000013,candidate-measurement,0016EF,valid,5871,0,True,
1,1,000024,1790184234.357842,22964.2414301,10.368062699999427,candidate-measurement,0016EE,valid,5870,-1,True,
1,1,000024,1790184234.549829,22964.4334185,10.560051100001147,candidate-measurement,0016EE,valid,5870,0,True,
1,1,000024,1790184234.7414155,22964.625003,10.751635600001464,candidate-measurement,0016DF,valid,5855,-15,True,
1,1,000024,1790184234.94941,22964.832998,10.959630600002129,candidate-measurement,0016D7,valid,5847,-8,True,
1,1,000024,1790184235.1568305,22965.0404182,11.167050799998833,candidate-measurement,0016D1,valid,5841,-6,True,
1,1,000024,1790184235.348804,22965.2323921,11.359024699999281,candidate-measurement,0016C9,valid,5833,-8,True,
1,1,000024,1790184235.540379,22965.4239675,11.550600099999428,candidate-measurement,0016C5,valid,5829,-4,True,
1,1,000024,1790184235.7323833,22965.6159712,11.742603800001234,candidate-measurement,0016C1,valid,5825,-4,True,
1,1,000024,1790184235.9244218,22965.8080069,11.93463949999932,candidate-measurement,0016BC,valid,5820,-5,True,
1,1,000024,1790184236.1163664,22965.9999546,12.126587200000358,candidate-measurement,0016B4,valid,5812,-8,True,
1,1,000024,1790184236.324352,22966.2079405,12.334573100000853,candidate-measurement,0016AF,valid,5807,-5,True,
1,1,000024,1790184236.515765,22966.399353,12.52598560000115,candidate-measurement,0016AD,valid,5805,-2,True,
1,1,000024,1790184236.7073433,22966.5909321,12.717564700000366,candidate-measurement,0016AD,valid,5805,0,True,
1,1,000024,1790184236.9153483,22966.7989363,12.925568900001963,candidate-measurement,0016AA,valid,5802,-3,True,
1,1,000024,1790184237.1227376,22967.0063264,13.132958999998664,candidate-measurement,0016A9,valid,5801,-1,True,
1,1,000024,1790184237.314736,22967.1983238,13.324956399999792,candidate-measurement,0016A8,valid,5800,-1,True,
1,1,000024,1790184237.5067334,22967.3903222,13.516954800001258,candidate-measurement,0016A8,valid,5800,0,True,
1,1,000024,1790184237.698325,22967.5819151,13.708547700000054,candidate-measurement,0016A8,valid,5800,0,True,
1,1,000024,1790184237.890305,22967.7738935,13.900526100002025,candidate-measurement,0016A8,valid,5800,0,True,
1,1,000024,1790184238.0823061,22967.965894,14.092526600001293,candidate-measurement,0016A8,valid,5800,0,True,
