payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,000025,1790184355.541531,23085.4251181,0.20197570000163978,candidate-warmup,001586,valid,5510,-60,True,
1,1,000025,1790184355.7335117,23085.617101,0.39395860000149696,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184355.9255033,23085.809092,0.5859496000011859,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184356.1329246,23086.0165129,0.7933705000032205,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184356.3249164,23086.2085046,0.9853622000009636,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184356.516489,23086.4000789,1.1769365000000107,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184356.7244794,23086.6080679,1.3849255000022822,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184356.9164765,23086.8000663,1.5769239000001107,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184357.108476,23086.9920643,1.7689219000021694,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184357.3158894,23087.1994778,1.9763354000024265,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184357.50788,23087.3914683,2.168325900001946,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184357.6994555,23087.5830436,2.3599012000013317,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184357.8914518,23087.7750398,2.5518974000005983,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184358.0994413,23087.9830298,2.7598874000032083,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184358.2908561,23088.1744445,2.951302100002067,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184358.4828503,23088.366438,3.1432956000026024,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184358.6904225,23088.5740124,3.3508700000020326,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184358.8824134,23088.7660018,3.5428594000004523,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184359.0744104,23088.9580005,3.734858100000565,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184359.2818272,23089.165416,3.9422736000014993,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184359.4738145,23089.3574041,4.134261700000934,candidate-warmup,001586,valid,5510,0,True,
1,1,000025,1790184359.665807,23089.5493976,4.326255200001469,candidate-warmup,001583,valid,5507,-3,True,
1,1,000025,1790184359.8573787,23089.74097,4.517827600000601,candidate-warmup,001573,valid,5491,-16,True,
1,1,000025,1790184360.0653882,23089.9489753,4.725832900003297,candidate-warmup,001570,valid,5488,-3,True,
1,1,000025,1790184360.2573645,23090.1409532,4.917810800001462,candidate-warmup,00156E,valid,5486,-2,True,
1,1,000025,1790184360.4487875,23090.3323755,5.109233099999983,candidate-warmup,00156B,valid,5483,-3,True,
1,1,000025,1790184360.6567974,23090.5403705,5.317228100000648,candidate-warmup,001565,valid,5477,-6,True,
1,1,000025,1790184360.848342,23090.7319307,5.50878830000147,candidate-warmup,001561,valid,5473,-4,True,
1,1,000025,1790184361.040369,23090.9239567,5.700814300002094,candidate-warmup,001561,valid,5473,0,True,
1,1,000025,1790184361.2477736,23091.1313615,5.908219100001588,candidate-warmup,00155F,valid,5471,-2,True,
1,1,000025,1790184361.4397538,23091.3233429,6.100200500000938,candidate-warmup,00155D,valid,5469,-2,True,
1,1,000025,1790184361.6313407,23091.5149287,6.29178630000024,candidate-warmup,00155D,valid,5469,0,True,
1,1,000025,1790184361.8233182,23091.7069065,6.483764100001281,candidate-warmup,00155B,valid,5467,-2,True,
1,1,000025,1790184362.0313146,23091.9149028,6.6917604000009305,candidate-warmup,001559,valid,5465,-2,True,
1,1,000025,1790184362.2227352,23092.1063231,6.883180700002413,candidate-warmup,001557,valid,5463,-2,True,
1,1,000025,1790184362.4147232,23092.2983115,7.075169100000494,candidate-warmup,001556,valid,5462,-1,True,
1,1,000025,1790184362.6223423,23092.5059308,7.282788400003483,candidate-warmup,001553,valid,5459,-3,True,
1,1,000025,1790184362.814284,23092.6978751,7.474732700000459,candidate-warmup,001551,valid,5457,-2,True,
1,1,000025,1790184363.0062723,23092.8898631,7.66672070000277,candidate-warmup,00154E,valid,5454,-3,True,
1,1,000025,1790184363.1982715,23093.0818615,7.858719100000599,candidate-warmup,00154B,valid,5451,-3,True,
1,1,000025,1790184363.406295,23093.2898816,8.066739200003212,candidate-warmup,00154A,valid,5450,-1,True,
1,1,000025,1790184363.5976863,23093.4812747,8.258132300001307,candidate-warmup,001549,valid,5449,-1,True,
1,1,000025,1790184363.7897,23093.6732569,8.45011450000311,candidate-warmup,001547,valid,5447,-2,True,
1,1,000025,1790184363.9972427,23093.8808311,8.657688700001017,candidate-warmup,001547,valid,5447,0,True,
1,1,000025,1790184364.1892428,23094.0728312,8.849688800000877,candidate-warmup,001547,valid,5447,0,True,
1,1,000025,1790184364.3812377,23094.2648257,9.04168330000175,candidate-warmup,001547,valid,5447,0,True,
1,1,000025,1790184364.5886488,23094.4722374,9.249095000002853,candidate-warmup,001547,valid,5447,0,True,
1,1,000025,1790184364.7806404,23094.6642312,9.441088800002035,candidate-warmup,001545,valid,5445,-2,True,
1,1,000025,1790184364.9726384,23094.8562269,9.633084500001132,candidate-warmup,001545,valid,5445,0,True,
1,1,000025,1790184365.180206,23095.0637948,9.840652400002,candidate-warmup,001544,valid,5444,-1,True,
1,1,000025,1790184365.372209,23095.2557975,10.032655100003467,candidate-measurement,001542,valid,5442,-2,True,
1,1,000025,1790184365.5636237,23095.4472109,10.22406850000334,candidate-measurement,001541,valid,5441,-1,True,
1,1,000025,1790184365.7556155,23095.6392042,10.416061800002353,candidate-measurement,001541,valid,5441,0,True,
1,1,000025,1790184365.96319,23095.8467782,10.623635800002376,candidate-measurement,001541,valid,5441,0,True,
1,1,000025,1790184366.1551774,23096.0387662,10.815623800001049,candidate-measurement,00153F,valid,5439,-2,True,
1,1,000025,1790184366.3471718,23096.2307606,11.007618200001161,candidate-measurement,00153F,valid,5439,0,True,
1,1,000025,1790184366.5551686,23096.4387573,11.215614900000219,candidate-measurement,00153F,valid,5439,0,True,
1,1,000025,1790184366.7625868,23096.6461749,11.423032500002591,candidate-measurement,00153F,valid,5439,0,True,
1,1,000025,1790184366.9545758,23096.8381641,11.615021700003126,candidate-measurement,00153F,valid,5439,0,True,
1,1,000025,1790184367.1461468,23097.0297357,11.806593300003442,candidate-measurement,00153F,valid,5439,0,True,
1,1,000025,1790184367.3381448,23097.2217331,11.998590700000932,candidate-measurement,00153B,valid,5435,-4,True,
1,1,000025,1790184367.5301354,23097.4137238,12.190581400001975,candidate-measurement,001532,valid,5426,-9,True,
1,1,000025,1790184367.7215557,23097.6051443,12.382001900001342,candidate-measurement,00152F,valid,5423,-3,True,
1,1,000025,1790184367.9295473,23097.8131356,12.589993200002937,candidate-measurement,00152D,valid,5421,-2,True,
1,1,000025,1790184368.1215413,23098.0051299,12.781987500002288,candidate-measurement,00152D,valid,5421,0,True,
1,1,000025,1790184368.3131092,23098.1966974,12.973555000000488,candidate-measurement,00152D,valid,5421,0,True,
1,1,000025,1790184368.5210943,23098.4046833,13.181540900000982,candidate-measurement,00152C,valid,5420,-1,True,
1,1,000025,1790184368.713091,23098.596681,13.373538600000757,candidate-measurement,00152C,valid,5420,0,True,
1,1,000025,1790184368.9050887,23098.7886792,13.5655368000007,candidate-measurement,00151E,valid,5406,-14,True,
1,1,000025,1790184369.0965028,23098.9800911,13.756948700000066,candidate-measurement,001515,valid,5397,-9,True,
1,1,000025,1790184369.3041155,23099.1877037,13.96456130000297,candidate-measurement,001511,valid,5393,-4,True,
1,1,000025,1790184369.4960742,23099.3796628,14.156520399999863,candidate-measurement,001509,valid,5385,-8,True,
1,1,000025,1790184369.6880643,23099.5716527,14.34851030000209,candidate-measurement,001505,valid,5381,-4,True,
1,1,000025,1790184369.8960657,23099.7796543,14.556511900002079,candidate-measurement,001503,valid,5379,-2,True,
1,1,000025,1790184370.0874786,23099.9710669,14.747924500003137,candidate-measurement,001501,valid,5377,-2,True,
1,1,000025,1790184370.279467,23100.1630551,14.939912700003333,candidate-measurement,0014FD,valid,5373,-4,True,
