payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00002B,1790184746.3883765,23476.2719616,0.20199370000045747,candidate-warmup,000DCC,valid,3532,-58,True,
1,1,00002B,1790184746.5803463,23476.4639344,0.3939664999998058,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184746.7723408,23476.655929,0.5859611000014411,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184746.964326,23476.847915,0.7779470999994373,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184747.1559117,23477.0394996,0.9695317000005161,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184747.3479023,23477.2314898,1.1615219000013894,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184747.539315,23477.4229046,1.3529367000010097,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184747.7313118,23477.6148998,1.5449318999999377,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184747.9228873,23477.8064756,1.7365076999994926,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184748.1148806,23477.9984679,1.9285000000018044,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184748.3068724,23478.1904606,2.120492699999886,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184748.4982848,23478.3818739,2.3119060000026366,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184748.690279,23478.5738669,2.5038989999993646,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184748.8822746,23478.7658631,2.695895200002269,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184749.0738478,23478.9574366,2.8874687000025006,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184749.265844,23479.1494318,3.0794639000014286,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184749.4578402,23479.3414283,3.2714603999993415,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184749.6492617,23479.53285,3.46288210000057,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184749.8572452,23479.7408345,3.670866600001318,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184750.048818,23479.9324057,3.862437800002226,candidate-warmup,000DCC,valid,3532,0,True,
1,1,00002B,1790184750.2408068,23480.1243956,4.054427700000815,candidate-warmup,000DCA,valid,3530,-2,True,
