payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00002D,1790184821.538548,23551.4221329,0.2020081000009668,candidate-warmup,000C3B,valid,3131,-58,True,
1,1,00002D,1790184821.7305057,23551.6140922,0.3939674000030209,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184821.9219184,23551.8055071,0.5853823000034026,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184822.1139162,23551.9975042,0.7773794000022463,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184822.321484,23552.2050726,0.9849478000032832,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184822.513478,23552.3970672,1.1769424000012805,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184822.7048829,23552.5884738,1.3683490000003076,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184822.896883,23552.7804709,1.5603461000027892,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184823.1048799,23552.9884683,1.7683434999999008,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184823.2964544,23553.1800429,1.9599181000012322,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184823.4884503,23553.3720386,2.1519138000003295,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184823.6964567,23553.5800456,2.3599208000014187,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184823.8878648,23553.7714559,2.5513311000031536,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184824.0798464,23553.963435,2.7433102000031795,candidate-warmup,000C3B,valid,3131,0,True,
1,1,00002D,1790184824.2878418,23554.1714295,2.951304700000037,candidate-warmup,000C39,valid,3129,-2,True,
1,1,00002D,1790184824.479421,23554.363009,3.1428842000022996,candidate-warmup,000C38,valid,3128,-1,True,
1,1,00002D,1790184824.6714058,23554.5549958,3.3348710000027495,candidate-warmup,000C37,valid,3127,-1,True,
1,1,00002D,1790184824.8633964,23554.7469871,3.526862300001085,candidate-warmup,000C35,valid,3125,-2,True,
1,1,00002D,1790184825.070812,23554.9544023,3.7342775000033726,candidate-warmup,000C33,valid,3123,-2,True,
1,1,00002D,1790184825.2628157,23555.1464036,3.9262788000014552,candidate-warmup,000C2F,valid,3119,-4,True,
