payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00002E,1790184864.9285748,23594.8121591,0.20200260000274284,candidate-warmup,000B65,valid,2917,-93,True,
1,1,00002E,1790184865.120546,23595.0041339,0.39397740000276826,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184865.3121047,23595.1956926,0.5855360999994446,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184865.5041022,23595.3876902,0.7775337000020954,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184865.6960883,23595.5796769,0.9695204000017839,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184865.8875005,23595.7710889,1.1609324000019114,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184866.0794933,23595.9630817,1.3529252000007546,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184866.2710698,23596.154658,1.5445015000004787,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184866.4630613,23596.3466498,1.7364933000026213,candidate-warmup,000B65,valid,2917,0,True,
1,1,00002E,1790184866.6550615,23596.5386495,1.9284929999994347,candidate-warmup,000B64,valid,2916,-1,True,
1,1,00002E,1790184866.8624768,23596.7460646,2.135908100000961,candidate-warmup,000B64,valid,2916,0,True,
1,1,00002E,1790184867.0544765,23596.938064,2.327907500002766,candidate-warmup,000B63,valid,2915,-1,True,
1,1,00002E,1790184867.246061,23597.1296487,2.5194922000009683,candidate-warmup,000B61,valid,2913,-2,True,
1,1,00002E,1790184867.4380314,23597.3216194,2.711462900002516,candidate-warmup,000B5F,valid,2911,-2,True,
1,1,00002E,1790184867.6300251,23597.5136131,2.9034566000009363,candidate-warmup,000B5D,valid,2909,-2,True,
1,1,00002E,1790184867.8214428,23597.7050311,3.094874599999457,candidate-warmup,000B5D,valid,2909,0,True,
1,1,00002E,1790184868.013441,23597.8970291,3.286872600001516,candidate-warmup,000B5D,valid,2909,0,True,
1,1,00002E,1790184868.205006,23598.0885935,3.478437000001577,candidate-warmup,000B5D,valid,2909,0,True,
1,1,00002E,1790184868.397007,23598.2805952,3.6704387000027054,candidate-warmup,000B5B,valid,2907,-2,True,
1,1,00002E,1790184868.588997,23598.4725851,3.8624286000012944,candidate-warmup,000B5B,valid,2907,0,True,
1,1,00002E,1790184868.780415,23598.6640029,4.05384640000193,candidate-warmup,000B5A,valid,2906,-1,True,
1,1,00002E,1790184868.9724116,23598.8559999,4.2458434000000125,candidate-warmup,000B58,valid,2904,-2,True,
1,1,00002E,1790184869.1639795,23599.047568,4.437411500002781,candidate-warmup,000B57,valid,2903,-1,True,
1,1,00002E,1790184869.3719795,23599.2555678,4.645411299999978,candidate-warmup,000B56,valid,2902,-1,True,
1,1,00002E,1790184869.563966,23599.4475535,4.837396999999328,candidate-warmup,000B56,valid,2902,0,True,
1,1,00002E,1790184869.7559633,23599.6395514,5.029394900000625,candidate-warmup,000B56,valid,2902,0,True,
1,1,00002E,1790184869.9633806,23599.8469682,5.236811700000544,candidate-warmup,000B56,valid,2902,0,True,
1,1,00002E,1790184870.1713994,23600.0549873,5.444830800002819,candidate-warmup,000B56,valid,2902,0,True,
1,1,00002E,1790184870.3629384,23600.2465263,5.636369800002285,candidate-warmup,000B56,valid,2902,0,True,
