payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00002F,1790184906.5932176,23636.4768026,0.20141349999903468,candidate-warmup,000A6F,valid,2671,-106,True,
1,1,00002F,1790184906.7852132,23636.6687997,0.3934106000015163,candidate-warmup,000A6F,valid,2671,0,True,
1,1,00002F,1790184906.9771676,23636.8607563,0.5853672000012011,candidate-warmup,000A6F,valid,2671,0,True,
1,1,00002F,1790184907.1687598,23637.0523489,0.7769598000013502,candidate-warmup,000A6F,valid,2671,0,True,
1,1,00002F,1790184907.3607445,23637.2443329,0.9689438000023074,candidate-warmup,000A6F,valid,2671,0,True,
1,1,00002F,1790184907.5527327,23637.4363224,1.1609333000014885,candidate-warmup,000A6E,valid,2670,-1,True,
1,1,00002F,1790184907.7441483,23637.6277367,1.3523476000009396,candidate-warmup,000A6D,valid,2669,-1,True,
1,1,00002F,1790184907.9361432,23637.8197332,1.5443441000024904,candidate-warmup,000A6D,valid,2669,0,True,
1,1,00002F,1790184908.1277137,23638.0113019,1.7359127999989141,candidate-warmup,000A6D,valid,2669,0,True,
1,1,00002F,1790184908.3197167,23638.2033042,1.9279151000009733,candidate-warmup,000A6C,valid,2668,-1,True,
1,1,00002F,1790184908.5111704,23638.3947606,2.1193715000008524,candidate-warmup,000A6B,valid,2667,-1,True,
1,1,00002F,1790184908.7031245,23638.5867129,2.3113238000005367,candidate-warmup,000A69,valid,2665,-2,True,
1,1,00002F,1790184908.894689,23638.7782799,2.5028908000022057,candidate-warmup,000A68,valid,2664,-1,True,
1,1,00002F,1790184909.1026728,23638.9862633,2.7108742000018538,candidate-warmup,000A67,valid,2663,-1,True,
1,1,00002F,1790184909.2940989,23639.1776873,2.902298200002406,candidate-warmup,000A65,valid,2661,-2,True,
1,1,00002F,1790184909.4860902,23639.3696787,3.0942896000015025,candidate-warmup,000A63,valid,2659,-2,True,
1,1,00002F,1790184909.6780815,23639.561672,3.286282900000515,candidate-warmup,000A61,valid,2657,-2,True,
1,1,00002F,1790184909.8856583,23639.7692488,3.49385970000003,candidate-warmup,000A61,valid,2657,0,True,
1,1,00002F,1790184910.0776558,23639.9612441,3.6858549999997194,candidate-warmup,000A61,valid,2657,0,True,
1,1,00002F,1790184910.2696495,23640.1532378,3.8778487000017776,candidate-warmup,000A61,valid,2657,0,True,
1,1,00002F,1790184910.477646,23640.3612343,4.085845199999312,candidate-warmup,000A5F,valid,2655,-2,True,
1,1,00002F,1790184910.6690466,23640.5526374,4.277248300000792,candidate-warmup,000A5F,valid,2655,0,True,
1,1,00002F,1790184910.8610468,23640.7446375,4.469248400000652,candidate-warmup,000A5F,valid,2655,0,True,
1,1,00002F,1790184911.0690389,23640.9526273,4.677238200001739,candidate-warmup,000A5D,valid,2653,-2,True,
1,1,00002F,1790184911.2606235,23641.1442119,4.8688227999991796,candidate-warmup,000A5B,valid,2651,-2,True,
1,1,00002F,1790184911.4526062,23641.3361954,5.0608062999999675,candidate-warmup,000A5B,valid,2651,0,True,
1,1,00002F,1790184911.6446018,23641.528193,5.25280389999898,candidate-warmup,000A5B,valid,2651,0,True,
1,1,00002F,1790184911.852017,23641.7356063,5.4602172000013525,candidate-warmup,000A59,valid,2649,-2,True,
1,1,00002F,1790184912.0440166,23641.9276048,5.6522156999999424,candidate-warmup,000A59,valid,2649,0,True,
1,1,00002F,1790184912.2355943,23642.1191834,5.84379429999899,candidate-warmup,000A59,valid,2649,0,True,
1,1,00002F,1790184912.4436636,23642.327253,6.051863900000171,candidate-warmup,000A59,valid,2649,0,True,
1,1,00002F,1790184912.6355708,23642.519162,6.243772900001204,candidate-warmup,000A59,valid,2649,0,True,
1,1,00002F,1790184912.82699,23642.7105791,6.435190000000148,candidate-warmup,000A59,valid,2649,0,True,
1,1,00002F,1790184913.0346086,23642.9181995,6.642810400000599,candidate-warmup,000A58,valid,2648,-1,True,
1,1,00002F,1790184913.2265508,23643.1101415,6.834752400001889,candidate-warmup,000A54,valid,2644,-4,True,
1,1,00002F,1790184913.4185464,23643.3021344,7.026745300001494,candidate-warmup,000A4D,valid,2637,-7,True,
1,1,00002F,1790184913.6105428,23643.4941327,7.218743600002199,candidate-warmup,000A49,valid,2633,-4,True,
1,1,00002F,1790184913.8179538,23643.7015428,7.426153700002033,candidate-warmup,000A48,valid,2632,-1,True,
1,1,00002F,1790184914.0099607,23643.8935481,7.618159000001469,candidate-warmup,000A48,valid,2632,0,True,
1,1,00002F,1790184914.2015202,23644.0851088,7.809719700002461,candidate-warmup,000A48,valid,2632,0,True,
1,1,00002F,1790184914.4095223,23644.2931103,8.017721200001688,candidate-warmup,000A48,valid,2632,0,True,
1,1,00002F,1790184914.601509,23644.4850987,8.20970959999977,candidate-warmup,000A45,valid,2629,-3,True,
1,1,00002F,1790184914.7929354,23644.6765265,8.401137400000152,candidate-warmup,000A29,valid,2601,-28,True,
1,1,00002F,1790184915.0009396,23644.8845264,8.609137300001748,candidate-warmup,000A16,valid,2582,-19,True,
