commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_progress_counts,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
62,-0.1261325695686564,-4.286465102849759e-05,-,11183,,,0,0072F1,0.5,0,11184,-1,7.928166400000919,20,sustain,15.0,000001,1,3,11245,1,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11245,002BED,12.3,-12.173867430431343,1,False,1,7.0
54,-0.2606743507296206,-8.858707242956235e-05,-,11129,,,0,0072F1,0.5,0,11131,-2,7.672408099999302,20,sustain,15.0,000002,2,3,11245,2,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11183,002BAF,12.3,-12.03932564927038,1,False,1,7.0
39,0.0,0.0,-,11090,,,0,0072F1,0.5,0,11090,0,7.879740999997011,20,sustain,15.0,000003,3,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11129,002B79,12.3,-12.3,1,False,1,7.0
63,0.0,0.0,-,11027,,,0,0072F1,0.5,0,11027,0,7.943743599997106,20,sustain,15.0,000004,4,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11090,002B52,12.3,-12.3,1,False,1,7.0
53,0.0,0.0,-,10974,,,0,0072F1,0.5,0,10974,0,7.928329099999246,20,sustain,15.0,000005,5,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11027,002B13,12.3,-12.3,1,False,1,7.0
48,-0.26062880086378026,-8.857159285033615e-05,-,10926,,,0,0072F1,0.5,0,10928,-2,7.673749000001408,20,sustain,15.0,000006,6,3,11245,2,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10974,002ADE,12.3,-12.03937119913622,1,False,1,7.0
62,-0.3768965244661547,-0.000128083793506653,-,10864,0.2553432815924882,0.4917752907624345,0,0072F1,0.5,0,10867,-3,7.959744400002819,20,sustain,15.0,000007,7,3,11245,3,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,0.5192275545129793,1.0,half-rate-ratio-below-0.5,False,10926,002AAE,12.3,-11.923103475533846,1,False,1,7.0
41,0.0,0.0,-,10823,,,0,0072F1,0.5,0,10823,0,7.863761199998407,20,sustain,15.0,000008,8,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10864,002A70,12.3,-12.3,1,False,1,7.0
56,-0.38147800678201393,-0.00012964075568806357,-,10767,0.2673588980664272,0.5256657323455709,0,0072F1,0.5,0,10770,-3,7.8641492999995535,20,sustain,15.0,000009,9,3,11245,3,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,0.5086100949998132,1.0,commanded-progress-with-comparable-half-rates,True,10823,002A47,12.3,-11.918521993217986,1,False,1,7.0
46,-0.5086361652393663,-0.00017285394088155118,-,10721,,,0,0072F1,0.5,0,10725,-4,7.864167499999894,20,sustain,15.0,00000A,10,3,11245,4,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10767,002A0F,12.3,-11.791363834760634,1,False,1,7.0
59,-0.25431801470820087,-8.642694736186744e-05,-,10662,0.26735770434273676,0.9511777931976593,0,0072F1,0.5,0,10664,-2,7.864169599997695,20,sustain,15.0,00000B,11,3,11245,2,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,0.2543047112111166,1.0,commanded-progress-with-comparable-half-rates,True,10721,0029E1,12.3,-12.0456819852918,1,False,1,7.0
37,0.0,0.0,-,10625,,,0,0072F1,0.5,0,10625,0,7.865159000000858,20,sustain,15.0,00000C,12,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10662,0029A6,12.3,-12.3,1,False,1,7.0
36,-0.12714970092100888,-4.32103110005241e-05,-,10589,,,0,0072F1,0.5,0,10590,-1,7.8647452000004705,20,sustain,15.0,00000D,13,3,11245,1,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10625,002981,12.3,-12.172850299078991,1,False,1,7.0
39,0.0,0.0,-,10549,,,0,0072F1,0.5,0,10549,0,7.864313499998389,20,sustain,15.0,00000E,14,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10588,00295C,12.3,-12.3,1,False,1,7.0
68,0.0,0.0,-,10481,,,0,0072F1,0.5,0,10481,0,7.86416779999854,20,sustain,15.0,00000F,15,3,11245,0,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10549,002935,12.3,-12.3,1,False,1,7.0
56,-0.3814769978079985,-0.0001296404128002653,-,10425,0.26738645674761546,0.5257198631668207,0,0072F1,0.5,0,10428,-3,7.864170100001502,20,sustain,15.0,000010,16,3,11245,3,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,0.5086101467365877,1.0,commanded-progress-with-comparable-half-rates,True,10481,0028F1,12.3,-11.918523002192002,1,False,1,7.0
46,-0.12714913669364775,-4.321011925457761e-05,-,10379,,,0,0072F1,0.5,0,10380,-1,7.864780099997006,20,sustain,15.0,000011,17,3,11245,1,insufficient-commanded-progress,az-postswap-reliable-sustain-minus-gap-screen-r8,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10425,0028B9,12.3,-12.172850863306353,1,False,1,7.0
