payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,000001,1790173351.3757007,12081.2592871,0.20197860000007495,candidate-warmup,00256C,valid,9580,111,True,
1,1,000001,1790173351.5676942,12081.451282,0.3939735000003566,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173351.7596884,12081.643276,0.5859675000010611,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173351.951093,12081.834682,0.7773735000009765,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173352.1430867,12082.026675,0.9693664999995235,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173352.3346584,12082.2182487,1.1609401999994589,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173352.526656,12082.4102453,1.3529367999999522,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173352.7186487,12082.6022368,1.5449282999998104,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173352.91063,12082.7942207,1.7369122000000061,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173353.102051,12082.9856414,1.9283329000008962,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173353.29404,12083.1776285,2.1203199999999924,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173353.4860418,12083.3696303,2.3123218000000634,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173353.6776226,12083.5612111,2.503902599999492,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173353.8696094,12083.7532001,2.695891600000323,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173354.0615969,12083.945188,2.8878795000000537,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173354.2535944,12084.1371851,3.0798766000007163,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173354.4450128,12084.3286027,3.2712941999998293,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173354.6365895,12084.5201801,3.4628716000006534,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173354.828581,12084.71217,3.6548615000010614,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173355.0205667,12084.904158,3.8468494999997347,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173355.2119858,12085.0955756,4.038267100000667,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173355.419977,12085.3035671,4.2462586000001465,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173355.6115496,12085.4951384,4.437829899999997,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173355.8035445,12085.6871333,4.629824800000279,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173356.011534,12085.8951239,4.837815400000181,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173356.2035248,12086.0871166,5.029808100000082,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173356.3949497,12086.2785392,5.221230700000888,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173356.5869405,12086.4705309,5.41322240000045,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173356.794514,12086.6781024,5.620793899999626,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173356.9865088,12086.8700977,5.812789200001134,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173357.178504,12087.0620926,6.004784099999597,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173357.3859303,12087.2695187,6.212210200001209,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173357.5779078,12087.461498,6.404189500000939,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173357.7694857,12087.6530742,6.595765699999902,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173357.977474,12087.8610642,6.803755700000693,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173358.1694708,12088.0530586,6.995750100000805,candidate-warmup,00256C,valid,9580,0,True,
1,1,000001,1790173358.3608856,12088.2444753,7.187166800000341,candidate-measurement,00256C,valid,9580,0,True,
1,1,000001,1790173358.552876,12088.4364651,7.3791565999999875,candidate-measurement,00256C,valid,9580,0,True,
1,1,000001,1790173358.7604458,12088.6440341,7.586725600000136,candidate-measurement,00256C,valid,9580,0,True,
1,1,000001,1790173358.9524422,12088.8360329,7.7787244000010105,candidate-measurement,00256C,valid,9580,0,True,
1,1,000001,1790173359.143859,12089.027449,7.970140499999616,candidate-measurement,00256C,valid,9580,0,True,
1,1,000001,1790173359.351893,12089.2354795,8.178170999999566,candidate-measurement,00256C,valid,9580,0,True,
1,1,000001,1790173359.5434234,12089.427014,8.369705500001146,candidate-measurement,00256C,valid,9580,0,True,
