commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
111,0.0,0.0,+,9580,,,0,0072F1,0.5,0,9580,0,7.735747999999148,20,sustain,15.0,000001,1,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,9469,0024FD,12.3,-12.3,1,False,1,7.0
95,0.0,0.0,+,9675,,,0,0072F1,0.5,0,9675,0,7.928151300000536,20,sustain,15.0,000002,2,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,9580,00256C,12.3,-12.3,1,False,1,7.0
138,0.1292699262449342,4.3930844316563246e-05,+,9813,,,0,0072F1,0.5,0,9812,1,7.73575129999881,20,sustain,15.0,000003,3,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,9675,0025CB,12.3,-12.170730073755067,1,False,1,7.0
137,0.0,0.0,+,9950,,,0,0072F1,0.5,0,9950,0,7.927738700000191,20,sustain,15.0,000004,4,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,9813,002655,12.3,-12.3,1,False,1,7.0
141,0.0,0.0,+,10091,,,0,0072F1,0.5,0,10091,0,7.671748599999773,20,sustain,15.0,000005,5,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,9950,0026DE,12.3,-12.3,1,False,1,7.0
108,0.0,0.0,+,10199,,,0,0072F1,0.5,0,10199,0,7.94373700000142,20,sustain,15.0,000006,6,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10091,00276B,12.3,-12.3,1,False,1,7.0
125,0.0,0.0,+,10324,,,0,0072F1,0.5,0,10324,0,7.944158599999355,20,sustain,15.0,000007,7,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10199,0027D7,12.3,-12.3,1,False,1,7.0
105,0.0,0.0,+,10429,,,0,0072F1,0.5,0,10429,0,7.8633401000006415,20,sustain,15.0,000008,8,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10324,002854,12.3,-12.3,1,False,1,7.0
129,0.0,0.0,+,10558,,,0,0072F1,0.5,0,10558,0,7.943740699998671,20,sustain,15.0,000009,9,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10429,0028BD,12.3,-12.3,1,False,1,7.0
154,0.0,0.0,+,10712,,,0,0072F1,0.5,0,10712,0,7.864164999999048,20,sustain,15.0,00000A,10,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10558,00293E,12.3,-12.3,1,False,1,7.0
