payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001F,1790183642.5484846,22372.4320711,0.20197230000121635,candidate-warmup,002260,valid,8800,-59,True,
1,1,00001F,1790183642.7564688,22372.6400572,0.4099583999995957,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183642.9478843,22372.8314724,0.6013736000022618,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183643.139877,22373.0234652,0.7933664000011049,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183643.3474467,22373.2310353,1.0009365000005346,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183643.5394435,22373.4230315,1.1929326999998011,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183643.7314386,22373.6150279,1.3849291000005906,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183643.938849,22373.8224394,1.5923406000001705,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183644.1308641,22374.0144524,1.7843536000000313,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183644.3224173,22374.2060056,1.9759068000021216,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183644.530413,22374.4140017,2.1839029000002483,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183644.7224078,22374.6059967,2.3758979000012914,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183644.914397,22374.7979856,2.567886799999542,candidate-warmup,002260,valid,8800,0,True,
1,1,00001F,1790183645.1058116,22374.9893994,2.7593006000024616,candidate-warmup,00225F,valid,8799,-1,True,
1,1,00001F,1790183645.3138087,22375.1973967,2.9672979000024498,candidate-warmup,00225F,valid,8799,0,True,
1,1,00001F,1790183645.5053763,22375.388966,3.158867199999804,candidate-warmup,00225E,valid,8798,-1,True,
1,1,00001F,1790183645.697375,22375.5809643,3.350865500000509,candidate-warmup,00225C,valid,8796,-2,True,
1,1,00001F,1790183645.9053688,22375.7889585,3.5588597000023583,candidate-warmup,00225B,valid,8795,-1,True,
1,1,00001F,1790183646.0967765,22375.9803649,3.7502660999998625,candidate-warmup,00225B,valid,8795,0,True,
1,1,00001F,1790183646.2883534,22376.1719419,3.941843100001279,candidate-warmup,002258,valid,8792,-3,True,
