commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
233,12.71589782491183,0.0043213463789952295,+,5807,12.082799072235504,0.896473474139153,0,0072F1,0.5,0,5707,100,7.864171400000487,20,sustain,15.0,00001E,1,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,13.478144552841481,1.0,commanded-progress-with-comparable-half-rates,True,5574,0015C6,12.3,0.4158978249118288,1,True,3,7.0
237,12.08074106063491,0.004105495919893147,+,6053,12.35126161022261,0.9910969415776401,0,0072F1,0.5,0,5958,95,7.86375599999883,20,sustain,15.0,00001E,1,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,12.462213424412068,1.0,commanded-progress-with-comparable-half-rates,True,5816,0016B8,12.3,-0.21925893936509055,2,True,3,7.0
264,12.716615787064093,0.004321590369878898,+,6318,10.202844359692742,0.911599401640999,0,0072F1,0.5,0,6218,100,7.863727399999334,20,sustain,15.0,00001E,1,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,11.19224556458273,1.0,commanded-progress-with-comparable-half-rates,True,6054,0017A6,12.3,0.4166157870640923,3,True,3,7.0
248,13.226266536154666,0.004494789104994562,+,6566,13.904291308166496,0.9145798557100865,0,0072F1,0.5,0,6462,104,7.8631411000005755,20,sustain,15.0,00001F,2,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,12.716584738373923,1.0,commanded-progress-with-comparable-half-rates,True,6318,0018AE,12.3,0.9262665361546656,1,True,3,7.0
261,11.19059086981083,0.003802988982762561,+,6831,8.020767799761002,0.5631561253032561,0,0072F1,0.5,0,6743,88,7.863749199999802,20,sustain,15.0,00001F,2,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,14.24252962789292,1.0,commanded-progress-with-comparable-half-rates,True,6570,0019AA,12.3,-1.1094091301891709,2,True,3,7.0
230,12.207031870879915,0.004148414347130227,+,7063,12.565301134791298,0.9309410821158017,0,0072F1,0.5,0,6967,96,7.864319600001181,20,sustain,15.0,00001F,2,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,11.697555035533522,1.0,commanded-progress-with-comparable-half-rates,True,6833,001AB1,12.3,-0.09296812912008612,3,True,3,7.0
252,11.572103737373844,0.003932641585471718,+,7315,11.76510979681543,0.9295508559176967,0,0072F1,0.5,0,7224,91,7.863738699999885,20,sustain,15.0,000020,3,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,10.936267881595462,1.0,commanded-progress-with-comparable-half-rates,True,7063,001B97,12.3,-0.7278962626261567,1,True,3,7.0
267,15.131636527560175,0.005142306396056427,+,7583,11.228521942870113,0.5887417075026125,0,0072F1,0.5,0,7464,119,7.8643179000009695,20,sustain,15.0,000020,3,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,19.07206810691306,1.0,commanded-progress-with-comparable-half-rates,True,7316,001C94,12.3,2.8316365275601747,2,True,3,7.0
240,11.698391113911594,0.003975558845804297,+,7825,8.555092698304739,0.5607091879546632,0,0072F1,0.5,0,7733,92,7.864329300000463,20,sustain,15.0,000020,3,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,15.257628878013804,1.0,commanded-progress-with-comparable-half-rates,True,7585,001DA1,12.3,-0.6016088860884068,3,True,3,7.0
268,11.444926264536532,0.003889421836516312,+,8093,10.962938822712122,0.9171275994094252,0,0072F1,0.5,0,8003,90,7.863746600000013,20,sustain,15.0,000030,4,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,11.953558948363993,1.0,commanded-progress-with-comparable-half-rates,True,7825,001E91,12.3,-0.8550737354634688,1,True,3,7.0
253,11.952712475454701,0.0040619869305481325,+,8346,12.350780753260024,0.9882880620573385,0,0072F1,0.5,0,8252,94,7.864323699999659,20,sustain,15.0,000030,4,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,12.206129175534425,1.0,commanded-progress-with-comparable-half-rates,True,8093,001F9D,12.3,-0.3472875245452993,2,True,3,7.0
241,12.589421932784616,0.00427836505388554,+,8587,14.501003550009683,0.7541756680995647,0,0072F1,0.5,0,8488,99,7.8637447000000975,20,sustain,15.0,000030,4,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,10.936304040442712,1.0,commanded-progress-with-comparable-half-rates,True,8346,00209A,12.3,0.2894219327846148,3,True,3,7.0
269,13.98833944740486,0.004753770504570586,+,8856,12.889973735339426,0.830834287547575,0,0072F1,0.5,0,8746,110,7.863692499999161,20,sustain,15.0,000040,5,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,15.514494200025807,1.0,commanded-progress-with-comparable-half-rates,True,8587,00218B,12.3,1.688339447404859,1,True,3,7.0
275,17.040245652180104,0.005790924467950283,+,9132,17.91502816576167,0.9227775504682123,0,0072F1,0.5,0,8998,134,7.863736400000562,20,sustain,15.0,000040,5,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,16.531585807370583,1.0,commanded-progress-with-comparable-half-rates,True,8857,002299,12.3,4.7402456521801035,2,True,3,7.0
330,19.836417962027173,0.006741170313944107,+,9468,18.714247266061562,0.8761056588935431,0,0072F1,0.5,0,9312,156,7.864323099998728,20,sustain,15.0,000040,5,3,5574,reliable,az-postswap-sustain-target12p3-long-r2,completed,0.18,21.360719538892464,1.0,commanded-progress-with-comparable-half-rates,True,9138,0023B2,12.3,7.536417962027173,3,True,3,7.0
