payload_index,trial_index,payload_hex,timestamp,monotonic_s,elapsed_candidate_s,phase,rx_bytes_hex,reply_kind,raw_position,delta_counts,valid,note
1,1,00001E,1790172786.2703545,11516.1539404,0.20197779999944032,candidate-warmup,0010BD,valid,4285,61,True,
1,1,00001E,1790172786.4779267,11516.3615136,0.40955100000064704,candidate-warmup,0010BD,valid,4285,0,True,
1,1,00001E,1790172786.669923,11516.5535111,0.6015485000007175,candidate-warmup,0010BD,valid,4285,0,True,
1,1,00001E,1790172786.8613324,11516.744921,0.7929583999994065,candidate-warmup,0010BD,valid,4285,0,True,
1,1,00001E,1790172787.069355,11516.9529416,1.0009790000003704,candidate-measurement,0010BD,valid,4285,0,True,
1,1,00001E,1790172787.2609253,11517.1445126,1.1925499999997555,candidate-measurement,0010BD,valid,4285,0,True,
1,1,00001E,1790172787.4529436,11517.3365297,1.384567099999913,candidate-measurement,0010BD,valid,4285,0,True,
1,1,00001E,1790172787.6603127,11517.5439008,1.5919381999992765,candidate-measurement,0010BD,valid,4285,0,True,
1,1,00001E,1790172787.852337,11517.7359233,1.7839607000005344,candidate-measurement,0010BD,valid,4285,0,True,
1,1,00001E,1790172788.0443332,11517.9279199,1.9759572999992088,candidate-measurement,0010BE,valid,4286,1,True,
1,1,00001E,1790172788.2518997,11518.1354874,2.1835248000006686,candidate-measurement,0010BE,valid,4286,0,True,
1,1,00001E,1790172788.4438963,11518.3274825,2.375519900000654,candidate-measurement,0010BE,valid,4286,0,True,
1,1,00001E,1790172788.6353216,11518.5189065,2.566943899999387,candidate-measurement,0010BF,valid,4287,1,True,
1,1,00001E,1790172788.8273115,11518.7108982,2.7589356000007683,candidate-measurement,0010C0,valid,4288,1,True,
1,1,00001E,1790172789.0348477,11518.9184357,2.966473099999348,candidate-measurement,0010C0,valid,4288,0,True,
1,1,00001E,1790172789.226851,11519.110438,3.1584753999995883,candidate-measurement,0010C2,valid,4290,2,True,
1,1,00001E,1790172789.4182498,11519.3018377,3.349875100000645,candidate-measurement,0010C2,valid,4290,0,True,
1,1,00001E,1790172789.6262476,11519.5098351,3.5578724999995757,candidate-measurement,0010C2,valid,4290,0,True,
1,1,00001E,1790172789.8178208,11519.7014087,3.7494461000005685,candidate-measurement,0010C2,valid,4290,0,True,
1,1,00001E,1790172790.0098143,11519.8934024,3.9414397999989887,candidate-measurement,0010C4,valid,4292,2,True,
1,1,00001E,1790172790.2178314,11520.101418,4.149455400000079,candidate-measurement,0010C6,valid,4294,2,True,
1,1,00001E,1790172790.4252164,11520.3088044,4.356841799999529,candidate-measurement,0010C7,valid,4295,1,True,
1,1,00001E,1790172790.6172488,11520.5008354,4.5488728000000265,candidate-measurement,0010C7,valid,4295,0,True,
