cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
120,120,+,0.47930230002384633,790.7560615527326,,212277.5498464,00E5E3,FAST,54520,00D4F8,54520,True
360,240,+,0.6537147000199184,1376.0489506789945,,212277.7242588,00E5E3,FAST,54760,00D5E8,54760,True
732,372,+,0.8294896000006702,2116.343118617822,,212277.9000337,00E5E3,FAST,55132,00D75C,55132,True
1086,354,+,1.0050646000017878,2016.232379312241,,212278.0756087,00E5E3,FAST,55486,00D8BE,55486,True
1536,450,+,1.181422100024065,2551.635172550964,,212278.2519662,00E5E3,FAST,55936,00DA80,55936,True
1997,461,+,1.3531791999994311,2684.0229607167203,,212278.4237233,00E5E3,FAST,56397,00DC4D,56397,True
2492,495,+,1.5292452000139747,2811.4457076273197,,212278.5997893,00E5E3,FAST,56892,00DE3C,56892,True
2965,473,+,1.705056800012244,2690.379929450937,,212278.7756009,00E5E3,FAST,57365,00E015,57365,True
3457,492,+,1.880839300021762,2798.9134297973897,,212278.9513834,00E5E3,FAST,57857,00E201,57857,True
3932,475,+,2.056924500007881,2697.557773381552,,212279.1274686,00E5E3,FAST,58332,00E3DC,58332,True
4427,495,+,2.2328737000061665,2813.3120241798374,,212279.3034178,00E5E3,FAST,58827,00E5CB,58827,True
4943,516,+,2.408764100022381,2933.6450423242645,,212279.4793082,00E5E3,FAST,59343,00E7CF,59343,True
5323,380,+,2.5845281000074465,2161.9899412410314,,212279.6550722,0072F1,MEDIUM,59723,00E94B,59723,True
5516,193,+,2.760123400017619,1099.1182565183638,,212279.8306675,0072F1,MEDIUM,59916,00EA0C,59916,True
5583,67,+,2.9363634000183083,380.163413525522,,212280.0069075,0072F1,MEDIUM,59983,00EA4F,59983,True
5613,30,+,3.1123348000110127,170.48224882704673,,212280.1828789,0072F1,MEDIUM,60013,00EA6D,60013,True
5635,22,+,3.288002700021025,125.23631237548877,,212280.3585468,0072F1,MEDIUM,60035,00EA83,60035,True
5647,12,+,3.4639843000040855,68.18894703284361,,212280.5345284,0072F1,MEDIUM,60047,00EA8F,60047,True
5677,30,+,3.6396597000129987,170.76949873731843,,212280.7102038,0072F1,MEDIUM,60077,00EAAD,60077,True
5729,52,+,3.8156350000062957,295.49601564526773,,212280.8861791,0072F1,MEDIUM,60129,00EAE1,60129,True
5789,60,+,3.991952600015793,340.29501307168505,,212281.0624967,0072F1,MEDIUM,60189,00EB1D,60189,True
5821,32,+,4.167711400019471,182.06769731774696,,212281.2382555,0072F1,MEDIUM,60221,00EB3D,60221,True
5885,64,+,4.343403200007742,364.27425755938714,,212281.4139473,0072F1,MEDIUM,60285,00EB7D,60285,True
5970,85,+,4.519144700025208,483.66492826994363,,212281.5896888,0072F1,MEDIUM,60370,00EBD2,60370,True
6092,122,+,4.695036000019172,693.610201324265,,212281.7655801,0072F1,MEDIUM,60492,00EC4C,60492,True
6227,135,+,4.870964800007641,767.3558849309965,,212281.9415089,0072F1,MEDIUM,60627,00ECD3,60627,True
6367,140,+,5.047243100008927,794.198718724759,,212282.1177872,0072F1,MEDIUM,60767,00ED5F,60767,True
6521,154,+,5.223198100022273,875.2237787406973,,212282.2937422,0072F1,MEDIUM,60921,00EDF9,60921,True
6686,165,+,5.399136699998053,937.8271739272366,,212282.4696808,0072F1,MEDIUM,61086,00EE9E,61086,True
6848,162,+,5.574824700015597,922.0891579608319,,212282.6453688,0072F1,MEDIUM,61248,00EF40,61248,True
7034,186,+,5.750454300025012,1059.04699429953,,212282.8209984,0072F1,MEDIUM,61434,00EFFA,61434,True
7215,181,+,5.926799900014885,1026.3936271185382,,212282.997344,0072F1,MEDIUM,61615,00F0AF,61615,True
7466,251,+,6.102341200021328,1429.8629438815053,,212283.1728853,0072F1,MEDIUM,61866,00F1AA,61866,True
7761,295,+,6.2782700000097975,1676.8147115158813,,212283.3488141,0072F1,MEDIUM,62161,00F2D1,62161,True
