cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
-135,-135,-,0.4754975999821909,-896.8133234545202,,211825.2040061,00E5E3,FAST,16668,00411C,16668,True
-556,-421,-,0.6509452000027522,-2399.5768534346516,,211825.3794537,00E5E3,FAST,16247,003F77,16247,True
-1033,-477,-,0.8271728999970946,-2706.725446767526,,211825.5556814,00E5E3,FAST,15770,003D9A,15770,True
-1462,-429,-,1.0030618000018876,-2439.0396437086692,,211825.7315703,00E5E3,FAST,15341,003BED,15341,True
-1865,-403,-,1.1786308999871835,-2295.392526553657,,211825.9071394,00E5E3,FAST,14938,003A5A,14938,True
-2279,-414,-,1.3550121999869589,-2347.1875986883374,,211826.0835207,00E5E3,FAST,14524,0038BC,14524,True
-2665,-386,-,1.530832599994028,-2195.42214660233,,211826.2593411,00E5E3,FAST,14138,00373A,14138,True
-3079,-414,-,1.706716899992898,-2353.8200965217447,,211826.4352254,00E5E3,FAST,13724,00359C,13724,True
-3489,-410,-,1.8827122999937274,-2329.6063419729617,,211826.6112208,00E5E3,FAST,13314,003402,13314,True
-3897,-408,-,2.058424399991054,-2321.9801027146523,,211826.7869329,00E5E3,FAST,12906,00326A,12906,True
-4283,-386,-,2.234089999983553,-2197.3567961882286,,211826.9625985,00E5E3,FAST,12520,0030E8,12520,True
-4712,-429,-,2.4099738000077195,-2439.11036685047,,211827.1384823,00E5E3,FAST,12091,002F3B,12091,True
-5040,-328,-,2.586223099991912,-1861.0002991751899,,211827.3147316,0072F1,MEDIUM,11763,002DF3,11763,True
-5133,-93,-,2.7620367000054102,-528.9693174638359,,211827.4905452,0072F1,MEDIUM,11670,002D96,11670,True
-5163,-30,-,2.937692999985302,-170.78806739885943,,211827.6662015,0072F1,MEDIUM,11640,002D78,11640,True
-5177,-14,-,3.1136037999822292,-79.58579007226695,,211827.8421123,0072F1,MEDIUM,11626,002D6A,11626,True
-5181,-4,-,3.2896337999845855,-22.72339942024915,,211828.0181423,0072F1,MEDIUM,11622,002D66,11622,True
-5215,-34,-,3.4655374999856576,-193.28757723568503,,211828.194046,0072F1,MEDIUM,11588,002D44,11588,True
-5253,-38,-,3.641552799992496,-215.8903231623821,,211828.3700613,0072F1,MEDIUM,11550,002D1E,11550,True
-5277,-24,-,3.8172416999877896,-136.60510140733385,,211828.5457502,0072F1,MEDIUM,11526,002D06,11526,True
-5313,-36,-,3.9932907999900635,-204.48840692474434,,211828.7217993,0072F1,MEDIUM,11490,002CE2,11490,True
-5341,-28,-,4.169028700009221,-159.32818132541496,,211828.8975372,0072F1,MEDIUM,11462,002CC6,11462,True
-5361,-20,-,4.344932100008009,-113.69876875681668,,211829.0734406,0072F1,MEDIUM,11442,002CB2,11442,True
-5403,-42,-,4.520847100007813,-238.75166984081343,,211829.2493556,0072F1,MEDIUM,11400,002C88,11400,True
-5468,-65,-,4.696713799989084,-369.5981104263766,,211829.4252223,0072F1,MEDIUM,11335,002C47,11335,True
-5517,-49,-,4.872854599991115,-278.1865416725426,,211829.6013631,0072F1,MEDIUM,11286,002C16,11286,True
-5602,-85,-,5.048562299984042,-483.75796850918726,,211829.7770708,0072F1,MEDIUM,11201,002BC1,11201,True
-5657,-55,-,5.224836599983973,-312.0137195270171,,211829.9533451,0072F1,MEDIUM,11146,002B8A,11146,True
-5769,-112,-,5.400446899991948,-637.7758024154273,,211830.1289554,0072F1,MEDIUM,11034,002B1A,11034,True
-5921,-152,-,5.576266299991403,-864.5234826217784,,211830.3047748,0072F1,MEDIUM,10882,002A82,10882,True
-6055,-134,-,5.7523298999876715,-761.0886066332837,,211830.4808384,0072F1,MEDIUM,10748,0029FC,10748,True
-6219,-164,-,5.928146399994148,-932.7907221106032,,211830.6566549,0072F1,MEDIUM,10584,002958,10584,True
-6103,116,-,6.104046299995389,659.4659803625907,,211830.8325548,0072F1,MEDIUM,10700,0029CC,10700,True
-6541,-438,-,6.280403699987801,-2483.59297664201,,211831.0089122,0072F1,MEDIUM,10262,002816,10262,True
-6739,-198,-,6.455846800003201,-1128.5710294826074,,211831.1843553,0072F1,MEDIUM,10064,002750,10064,True
-6739,32567,-,6.631922000000486,,implausible-jump,211831.3604305,0072F1,MEDIUM,42631,00A687,10064,False
-7138,-399,-,6.807660299993586,-1134.123619505518,,211831.5361688,0072F1,MEDIUM,9665,0025C1,9665,True
-7358,-220,-,6.983592400007183,-1250.482430341008,,211831.7121009,0072F1,MEDIUM,9445,0024E5,9445,True
-7629,-271,-,7.159515500010457,-1540.4457970269757,,211831.888024,0072F1,MEDIUM,9174,0023D6,9174,True
-7922,-293,-,7.3357437000086065,-1662.6169932115088,,211832.0642522,0072F1,MEDIUM,8881,0022B1,8881,True
-8167,-245,-,7.5112977999961,-1395.581191310561,,211832.2398063,0072F1,MEDIUM,8636,0021BC,8636,True
-8403,-236,-,7.687237200007075,-1341.3709492318285,,211832.4157457,0072F1,MEDIUM,8400,0020D0,8400,True
-8703,-300,-,7.863183299981756,-1705.0676317529694,,211832.5916918,0072F1,MEDIUM,8100,001FA4,8100,True
-9053,-350,-,8.039430200005881,-1985.8505309999248,,211832.7679387,0072F1,MEDIUM,7750,001E46,7750,True
-9387,-334,-,8.215293199988082,-1899.205631848682,,211832.9438017,0072F1,MEDIUM,7416,001CF8,7416,True
-9739,-352,-,8.390858800004935,-2004.9485774332268,,211833.1193673,0072F1,MEDIUM,7064,001B98,7064,True
-10073,-334,-,8.567158999998355,-1894.4958656454448,,211833.2956675,0072F1,MEDIUM,6730,001A4A,6730,True
-10419,-346,-,8.742997399996966,-1967.7158118063714,,211833.4715059,0072F1,MEDIUM,6384,0018F0,6384,True
-10763,-344,-,8.918613399990136,-1958.8192420586927,,211833.6471219,0072F1,MEDIUM,6040,001798,6040,True
-11127,-364,-,9.09453879998182,-2069.05881707364,,211833.8230473,0072F1,MEDIUM,5676,00162C,5676,True
-11508,-381,-,9.270602400007192,-2163.9907393981152,,211833.9991109,0072F1,MEDIUM,5295,0014AF,5295,True
-11850,-342,-,9.44677340000635,-1941.2956729633959,,211834.1752819,0072F1,MEDIUM,4953,001359,4953,True
-12234,-384,-,9.622607400000561,-2183.8779758900023,,211834.3511159,0072F1,MEDIUM,4569,0011D9,4569,True
-12658,-424,-,9.798122300009709,-2415.7493180231486,,211834.5266308,0072F1,MEDIUM,4145,001031,4145,True
-13057,-399,-,9.974118899990572,-2267.08925083431,,211834.7026274,0072F1,MEDIUM,3746,000EA2,3746,True
-13447,-390,-,10.150241800001822,-2214.362811281706,,211834.8787503,0072F1,MEDIUM,3356,000D1C,3356,True
-13839,-392,-,10.326206900004763,-2227.714472889504,,211835.0547154,0072F1,MEDIUM,2964,000B94,2964,True
-14267,-428,-,10.501737199985655,-2438.3254631627237,,211835.2302457,0072F1,MEDIUM,2536,0009E8,2536,True
