cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
129,129,+,0.15061720000812784,856.4736125819962,,211738.2150319,00E5E3,FAST,84,000054,1059412,True
484,355,+,0.32597289999830537,2024.456576090114,,211738.3903876,00E5E3,FAST,439,0001B7,1059767,True
944,460,+,0.5018625000084285,2615.2768553315564,,211738.5662772,00E5E3,FAST,899,000383,1060227,True
1359,415,+,0.6779749999986961,2356.4482931247567,,211738.7423897,00E5E3,FAST,1314,000522,1060642,True
1748,389,+,0.8537126999872271,2213.5261814931405,,211738.9181274,00E5E3,FAST,1703,0006A7,1061031,True
2147,399,+,1.0295590999885462,2269.0256951351116,,211739.0939738,00E5E3,FAST,2102,000836,1061430,True
2568,421,+,1.2056825000036042,2390.369479376425,,211739.2700972,00E5E3,FAST,2523,0009DB,1061851,True
2999,431,+,1.381357600010233,2453.3926548710488,,211739.4457723,00E5E3,FAST,2954,000B8A,1062282,True
3439,440,+,1.557483799988404,2498.2086711377046,,211739.6218985,00E5E3,FAST,3394,000D42,1062722,True
3935,496,+,1.7332201999961399,2822.40901701734,,211739.7976349,00E5E3,FAST,3890,000F32,1063218,True
4414,479,+,1.9090553999994881,2724.1416962637672,,211739.9734701,00E5E3,FAST,4369,001111,1063697,True
4905,491,+,2.0851674000150524,2787.9985461331817,,211740.1495821,00E5E3,FAST,4860,0012FC,1064188,True
5314,409,+,2.261081500008004,2324.9983941957353,,211740.3254962,0072F1,MEDIUM,5269,001495,1064597,True
5538,224,+,2.4371554999961518,1272.1923737467089,,211740.5015702,0072F1,MEDIUM,5493,001575,1064821,True
5657,119,+,2.6127112999965902,677.8471574263157,,211740.677126,0072F1,MEDIUM,5612,0015EC,1064940,True
5717,60,+,2.7891147999907844,340.1293058356254,,211740.8535295,0072F1,MEDIUM,5672,001628,1065000,True
5752,35,+,2.9645013000117615,199.559259098128,,211741.028916,0072F1,MEDIUM,5707,00164B,1065035,True
5802,50,+,3.140835900005186,283.5518383905626,,211741.2052506,0072F1,MEDIUM,5757,00167D,1065085,True
5844,42,+,3.316600299993297,238.9562391635674,,211741.381015,0072F1,MEDIUM,5799,0016A7,1065127,True
5893,49,+,3.4922433999890927,278.9748074428936,,211741.5566581,0072F1,MEDIUM,5848,0016D8,1065176,True
5964,71,+,3.668179100000998,403.5565265900869,,211741.7325938,0072F1,MEDIUM,5919,00171F,1065247,True
6020,56,+,3.84430580001208,317.9529281845197,,211741.9087205,0072F1,MEDIUM,5975,001757,1065303,True
6109,89,+,4.020056500012288,506.399121027084,,211742.0844712,0072F1,MEDIUM,6064,0017B0,1065392,True
6224,115,+,4.196308399987174,652.4752358209248,,211742.2607231,0072F1,MEDIUM,6179,001823,1065507,True
6367,143,+,4.372303200012539,812.5240062739969,,211742.4367179,0072F1,MEDIUM,6322,0018B2,1065650,True
6525,158,+,4.547718899993924,900.7175527433753,,211742.6121336,0072F1,MEDIUM,6480,001950,1065808,True
6659,134,+,4.723648200015305,761.6696024125337,,211742.7880629,0072F1,MEDIUM,6614,0019D6,1065942,True
6827,168,+,4.899822500010487,953.6010644265048,,211742.9642372,0072F1,MEDIUM,6782,001A7E,1066110,True
6998,171,+,5.075414999999339,973.8456939268839,,211743.1398297,0072F1,MEDIUM,6953,001B29,1066281,True
7186,188,+,5.251432899996871,1068.0731902984617,,211743.3158476,0072F1,MEDIUM,7141,001BE5,1066469,True
7385,199,+,5.427674900012789,1129.1292653398527,,211743.4920896,0072F1,MEDIUM,7340,001CAC,1066668,True
7617,232,+,5.603138100006618,1322.2145726748417,,211743.6675528,0072F1,MEDIUM,7572,001D94,1066900,True
7866,249,+,5.779045900009805,1415.514263696594,,211743.8434606,0072F1,MEDIUM,7821,001E8D,1067149,True
8105,239,+,5.955205000005662,1356.728094124123,,211744.0196197,0072F1,MEDIUM,8060,001F7C,1067388,True
8352,247,+,6.1311576000007335,1403.7871563530132,,211744.1955723,0072F1,MEDIUM,8307,002073,1067635,True
8651,299,+,6.306750999996439,1702.7974855963455,,211744.3711657,0072F1,MEDIUM,8606,00219E,1067934,True
8980,329,+,6.482661499991082,1870.2692562980549,,211744.5470762,0072F1,MEDIUM,8935,0022E7,1068263,True
9311,331,+,6.658867099991767,1878.4874033442359,,211744.7232818,0072F1,MEDIUM,9266,002432,1068594,True
9605,294,+,6.834438499994576,1674.5324124276267,,211744.8988532,0072F1,MEDIUM,9560,002558,1068888,True
9935,330,+,7.01075449999189,1871.639556279788,,211745.0751692,0072F1,MEDIUM,9890,0026A2,1069218,True
10244,309,+,7.186247100005858,1760.7580033312313,,211745.2506618,0072F1,MEDIUM,10199,0027D7,1069527,True
10572,328,+,7.362341200001538,1862.640486013139,,211745.4267559,0072F1,MEDIUM,10527,00291F,1069855,True
10916,344,+,7.5383399999991525,1954.5587811090884,,211745.6027547,0072F1,MEDIUM,10871,002A77,1070199,True
10916,65926,+,7.713973200006876,,implausible-jump,211745.7783879,0072F1,MEDIUM,76797,012BFD,1070199,False
