command_hex,cycle_index,elapsed_s,event,monotonic_s,note
,1,2.0870444999891333,CYCLE_START,260352.7701763,
06000000,1,2.087057900003856,PRE_STOP_1,260352.7701898,
06000000,1,2.1372892999788746,PRE_STOP_2,260352.8204211,
0600E5E3,1,2.402376199985156,TX_FAST,260353.0855081,
,1,4.513338599994313,FAST_PROGRESS_CONFIRMED,260355.1964707,4817
060072F1,1,4.513342199992621,TX_MEDIUM,260355.1964743,
06000000,1,12.605200099991634,STOP_1,260363.2883322,
06000000,1,12.655698499991558,STOP_2,260363.3388303,
,1,12.655815299978713,CYCLE_END,260363.3389471,normal-medium-complete
,2,12.655824099987512,CYCLE_START,260363.3389563,
06000000,2,12.655827199982014,PRE_STOP_1,260363.3389594,
06000000,2,12.70596829999704,PRE_STOP_2,260363.3891002,
0600E5E3,2,12.97299139999086,TX_FAST,260363.6561235,
,2,15.08396580000408,FAST_PROGRESS_CONFIRMED,260365.7670979,5096
060072F1,2,15.083969700004673,TX_MEDIUM,260365.7671018,
06000000,2,23.17579310000292,STOP_1,260373.8589253,
06000000,2,23.225922099984018,STOP_2,260373.9090539,
,2,23.22603639998124,CYCLE_END,260373.9091685,normal-medium-complete
,3,23.22604300000239,CYCLE_START,260373.9091749,
06000000,3,23.226045699993847,PRE_STOP_1,260373.9091778,
06000000,3,23.27617050000117,PRE_STOP_2,260373.9593024,
0600E5E3,3,23.543581499980064,TX_FAST,260374.2267135,
,3,25.654547199985245,FAST_PROGRESS_CONFIRMED,260376.3376794,4939
060072F1,3,25.654550399980508,TX_MEDIUM,260376.3376824,
06000000,3,33.7464776999841,STOP_1,260384.4296098,
06000000,3,33.79675999999745,STOP_2,260384.4798919,
,3,33.79686129998299,CYCLE_END,260384.4799934,normal-medium-complete
,4,33.796866499993484,CYCLE_START,260384.4799986,
06000000,4,33.79686939998646,PRE_STOP_1,260384.4800015,
06000000,4,33.847000699985074,PRE_STOP_2,260384.5301326,
0600E5E3,4,34.11432809999678,TX_FAST,260384.7974602,
,4,36.22526039998047,FAST_PROGRESS_CONFIRMED,260386.9083925,4837
060072F1,4,36.2252637000056,TX_MEDIUM,260386.9083957,
06000000,4,44.31702519999817,STOP_1,260395.0001573,
06000000,4,44.36716189997969,STOP_2,260395.0502939,
,4,44.36726989998715,CYCLE_END,260395.0504012,normal-medium-complete
,5,44.36727509999764,CYCLE_START,260395.0504072,
06000000,5,44.367278299992904,PRE_STOP_1,260395.0504104,
06000000,5,44.41764199998579,PRE_STOP_2,260395.1007738,
0600E5E3,5,44.684817100001965,TX_FAST,260395.3679492,
,5,46.7957603999821,FAST_PROGRESS_CONFIRMED,260397.4788926,5100
060072F1,5,46.79576389997965,TX_MEDIUM,260397.478896,
,5,48.55488300000434,NO_PROGRESS_CONFIRMED,260399.238015,valid progress 7 counts over 1.583s
060072F1,5,48.55496909999056,TX_MEDIUM_RESEND,260399.2381011,
,5,48.5550848999992,RESEND_RECOVERY_CHECK,260399.2382168,
,5,50.66580799999065,RECOVERED_BY_MEDIUM_RESEND,260401.3489401,676
06000000,5,50.66581239999505,STOP_1,260401.3489445,
06000000,5,50.71627800000715,STOP_2,260401.3994096,
,5,50.71639759998652,CYCLE_END,260401.3995296,recovered-by-medium-resend
