cumulative_progress,cycle_elapsed_s,cycle_index,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
92,0.15026960000977851,1,92,+,2.5526394000044093,612.2305020637239,,260353.2357716,00E5E3,FAST,153955,025963,153955,True
338,0.3263063000049442,1,246,+,2.728676099999575,1397.435875625683,,260353.4118083,00E5E3,FAST,154201,025A59,154201,True
666,0.5021958999859635,1,328,+,2.904565699980594,1864.8061058493247,,260353.5876979,00E5E3,FAST,154529,025BA1,154529,True
1025,0.6778136999928392,1,359,+,3.08018349998747,2044.2119192128844,,260353.7633157,00E5E3,FAST,154888,025D08,154888,True
1439,0.853945599985309,1,414,+,3.2563153999799397,2350.5111795063817,,260353.9394476,00E5E3,FAST,155302,025EA6,155302,True
1925,1.0301505000097677,1,486,+,3.4325203000043985,2758.1525822070726,,260354.1156525,00E5E3,FAST,155788,02608C,155788,True
2427,1.205532599997241,1,502,+,3.607902399991872,2862.3217536787124,,260354.2910346,00E5E3,FAST,156290,026282,156290,True
2877,1.381431599991629,1,450,+,3.7838013999862596,2558.286289372637,,260354.4669336,00E5E3,FAST,156740,026444,156740,True
3383,1.557754000008572,1,506,+,3.9601238000032026,2869.743152040682,,260354.643256,00E5E3,FAST,157246,02663E,157246,True
3874,1.7332760999852326,1,491,+,4.135645899979863,2797.3685368696515,,260354.8187781,00E5E3,FAST,157737,026829,157737,True
4358,1.9091808999946807,1,484,+,4.311550699989311,2751.4883048899387,,260354.9946829,00E5E3,FAST,158221,026A0D,158221,True
4817,2.0853482999955304,1,459,+,4.487718099990161,2605.476382110345,,260355.1708503,00E5E3,FAST,158680,026BD8,158680,True
5229,2.2612063999986276,1,412,+,4.663576199993258,2342.7979717325725,,260355.3467084,0072F1,MEDIUM,159092,026D74,159092,True
5439,2.4369767000025604,1,210,+,4.839346499997191,1194.741091044968,,260355.5224787,0072F1,MEDIUM,159302,026E46,159302,True
5527,2.612829599995166,1,88,+,5.015199399989797,500.41824731750376,,260355.6983316,0072F1,MEDIUM,159390,026E9E,159390,True
5591,2.7887211999914143,1,64,+,5.191090999986045,363.8604686145621,,260355.8742232,0072F1,MEDIUM,159454,026EDE,159454,True
5655,2.964662499987753,1,64,+,5.367032299982384,363.7576850991313,,260356.0501645,0072F1,MEDIUM,159518,026F1E,159518,True
5720,3.140539699990768,1,65,+,5.542909499985399,369.57604509786245,,260356.2260417,0072F1,MEDIUM,159583,026F5F,159583,True
5817,3.316463399998611,1,97,+,5.718833199993242,551.3753973778157,,260356.4019654,0072F1,MEDIUM,159680,026FC0,159680,True
5907,3.4923973999975715,1,90,+,5.894767199992202,511.55546966778275,,260356.5778994,0072F1,MEDIUM,159770,02701A,159770,True
6003,3.668644299992593,1,96,+,6.071014099987224,544.6904314499246,,260356.7541463,0072F1,MEDIUM,159866,02707A,159866,True
6111,3.8445409999985714,1,108,+,6.246910799993202,613.996737837204,,260356.930043,0072F1,MEDIUM,159974,0270E6,159974,True
6204,4.020198399986839,1,93,+,6.42256819998147,529.4396934385435,,260357.1057004,0072F1,MEDIUM,160067,027143,160067,True
6315,4.196392000012565,1,111,+,6.598761800007196,629.9888303763167,,260357.281894,0072F1,MEDIUM,160178,0271B2,160178,True
6427,4.37193130000378,1,112,+,6.774301099998411,638.0337622720687,,260357.4574333,0072F1,MEDIUM,160290,027222,160290,True
6571,4.547910599998431,1,144,+,6.950280399993062,818.278058864746,,260357.6334126,0072F1,MEDIUM,160434,0272B2,160434,True
6747,4.72375699999975,1,176,+,7.126126799994381,1000.8734895834076,,260357.809259,0072F1,MEDIUM,160610,027362,160610,True
6946,4.900050800002646,1,199,+,7.302420599997276,1128.7974959796193,,260357.9855528,0072F1,MEDIUM,160809,027429,160809,True
7146,5.075534300005529,1,200,+,7.47790410000016,1139.7082916440224,,260358.1610363,0072F1,MEDIUM,161009,0274F1,161009,True
7418,5.251671700010775,1,272,+,7.654041500005405,1544.2489783084088,,260358.3371737,0072F1,MEDIUM,161281,027601,161281,True
7669,5.427757099998416,1,251,+,7.830126899993047,1425.4446990926906,,260358.5132591,0072F1,MEDIUM,161532,0276FC,161532,True
7937,5.6032941000012215,1,268,+,8.005663899995852,1526.743649462605,,260358.6887961,0072F1,MEDIUM,161800,027808,161800,True
8233,5.779408800008241,1,296,+,8.181778600002872,1680.7228470320879,,260358.8649108,0072F1,MEDIUM,162096,027930,162096,True
