command_hex,cycle,elapsed_s,event,monotonic_s,note
,1,0.5336359999782871,CYCLE_START,212098.4458758,
06000000,1,0.5336549999774434,PRE_STOP_1,212098.4458952,
06000000,1,0.5839243999798782,PRE_STOP_2,212098.4961643,
0600E5E3,1,0.8471303999831434,TX_FAST,212098.7593707,
,1,2.958055399998557,FAST_PROGRESS_CONFIRMED,212100.8702959,4982
060072F1,1,2.9580592999991495,TX_MEDIUM,212100.8702998,
06000000,1,11.049754999985453,STOP_1,212108.9619954,
06000000,1,11.100127199984854,STOP_2,212109.0123673,
,1,11.100253799988423,CYCLE_END,212109.0124941,normal-medium-complete
,2,11.100262799998745,CYCLE_START,212109.0125032,
06000000,2,11.10026619999553,PRE_STOP_1,212109.0125066,
06000000,2,11.150426499982132,PRE_STOP_2,212109.0626667,
0600E5E3,2,11.417540199996438,TX_FAST,212109.3297806,
,2,13.528427699988242,FAST_PROGRESS_CONFIRMED,212111.4406681,4737
060072F1,2,13.528430899983505,TX_MEDIUM,212111.4406713,
06000000,2,21.620126599998912,STOP_1,212119.532367,
06000000,2,21.670309199980693,STOP_2,212119.5825495,
,2,21.670401399984257,CYCLE_END,212119.5826418,normal-medium-complete
,3,21.670408099977067,CYCLE_START,212119.5826485,
06000000,3,21.67041029999382,PRE_STOP_1,212119.5826508,
06000000,3,21.720513099979144,PRE_STOP_2,212119.6327534,
0600E5E3,3,21.987932099989848,TX_FAST,212119.9001726,
,3,24.098847699991893,FAST_PROGRESS_CONFIRMED,212122.0110881,4966
060072F1,3,24.09885049998411,TX_MEDIUM,212122.011091,
06000000,3,32.18673600000329,STOP_1,212130.0989764,
06000000,3,32.236883199977456,STOP_2,212130.1491234,
,3,32.23698990000412,CYCLE_END,212130.1492303,normal-medium-complete
