cumulative_progress,cycle,cycle_elapsed_s,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
144,1,0.15063299998291768,144,+,0.9977582999854349,955.9626511545604,,212098.9099988,00E5E3,FAST,2819,000B03,2819,True
513,1,0.3260881999740377,369,+,1.1732134999765549,2103.1009626313466,,212099.085454,00E5E3,FAST,3188,000C74,3188,True
969,1,0.5023145999875851,456,+,1.3494398999901023,2587.580521221253,,212099.2616804,00E5E3,FAST,3644,000E3C,3644,True
1403,1,0.6782276000012644,434,+,1.5253529000037815,2467.1286372596196,,212099.4375934,00E5E3,FAST,4078,000FEE,4078,True
1750,1,0.8540779999748338,347,+,1.701203299977351,1973.2681873464865,,212099.6134438,00E5E3,FAST,4425,001149,4425,True
2138,1,1.0296823999960907,388,+,1.8768076999986079,2209.5118342879373,,212099.7890482,00E5E3,FAST,4813,0012CD,4813,True
2574,1,1.2055117999843787,436,+,2.052637099986896,2479.676322782435,,212099.9648776,00E5E3,FAST,5249,001481,5249,True
3030,1,1.3813917999796104,456,+,2.2285170999821275,2592.6768251783196,,212100.1407576,00E5E3,FAST,5705,001649,5705,True
3526,1,1.5574393999995664,496,+,2.4045647000020836,2817.4198338618394,,212100.3168052,00E5E3,FAST,6201,001839,6201,True
4007,1,1.7336127999878954,481,+,2.5807380999904126,2730.264614475652,,212100.4929786,00E5E3,FAST,6682,001A1A,6682,True
4487,1,1.90951969998423,480,+,2.7566449999867473,2728.716156159887,,212100.6688855,00E5E3,FAST,7162,001BFA,7162,True
4982,1,2.085186899988912,495,+,2.9323121999914292,2817.8282569928083,,212100.8445527,00E5E3,FAST,7657,001DE9,7657,True
5402,1,2.2614133000024594,420,+,3.1085386000049766,2383.2978484932596,,212101.0207791,0072F1,MEDIUM,8077,001F8D,8077,True
5647,1,2.4368323999806307,245,+,3.283957699983148,1396.6552104673162,,212101.1961982,0072F1,MEDIUM,8322,002082,8322,True
5782,1,2.6128234999778215,135,+,3.4599487999803387,767.0842446132499,,212101.3721893,0072F1,MEDIUM,8457,002109,8457,True
5843,1,2.788641799998004,61,+,3.635767100000521,346.9490945652284,,212101.5480076,0072F1,MEDIUM,8518,002146,8518,True
5893,1,2.964749299979303,50,+,3.81187459998182,283.9174936065161,,212101.7241151,0072F1,MEDIUM,8568,002178,8568,True
5924,1,3.14047089999076,31,+,3.987596199993277,176.41542074496732,,212101.8998367,0072F1,MEDIUM,8599,002197,8599,True
5958,1,3.316843799984781,34,+,4.163969099987298,192.7733795903596,,212102.0762096,0072F1,MEDIUM,8633,0021B9,8633,True
