delta_counts,elapsed_s,note,payload_hex,raw_position,remaining_counts,reply_kind,rx_bytes_hex,state,target_unwrapped,timestamp,unwrapped_position
,0.0,,,13716,-14713,valid-start,003594,START,-997,1790024838.963589,13716
-472,0.15064049998181872,,00E5E3,13244,-14241,valid,0033BC,FAST,-997,1790024839.1393185,13244
-720,0.3257996999891475,,00E5E3,12524,-13521,valid,0030EC,FAST,-997,1790024839.3152347,12524
-811,0.5017636999837123,,00E5E3,11713,-12710,valid,002DC1,FAST,-997,1790024839.491137,11713
-849,0.6780097999726422,,00E5E3,10864,-11861,valid,002A70,FAST,-997,1790024839.667043,10864
-783,0.8535326999844983,,00E5E3,10081,-11078,valid,002761,FAST,-997,1790024839.8430095,10081
-793,1.0295205999864265,,00E5E3,9288,-10285,valid,002448,FAST,-997,1790024840.018844,9288
-843,1.205379199993331,,00E5E3,8445,-9442,valid,0020FD,FAST,-997,1790024840.194788,8445
-869,1.3812659999821335,,00E5E3,7576,-8573,valid,001D98,FAST,-997,1790024840.3706644,7576
-906,1.5575347999983933,,00E5E3,6670,-7667,valid,001A0E,FAST,-997,1790024840.5465713,6670
-801,1.7334432999778073,,00E5E3,5869,-6866,valid,0016ED,FAST,-997,1790024840.72245,5869
-699,1.909093700000085,,0072F1,5170,-6167,valid,001432,MEDIUM,-997,1790024840.8983862,5170
-546,2.084983899985673,,0072F1,4624,-5621,valid,001210,MEDIUM,-997,1790024841.074304,4624
-510,2.260883599985391,,0072F1,4114,-5111,valid,001012,MEDIUM,-997,1790024841.2501862,4114
-504,2.4367305999912787,,0072F1,3610,-4607,valid,000E1A,MEDIUM,-997,1790024841.426116,3610
-510,2.6129933999909554,,0072F1,3100,-4097,valid,000C1C,MEDIUM,-997,1790024841.6020331,3100
-516,2.7888921999838203,,0072F1,2584,-3581,valid,000A18,MEDIUM,-997,1790024841.7779517,2584
-517,2.9644242999784183,,0072F1,2067,-3064,valid,000813,MEDIUM,-997,1790024841.9538465,2067
-523,3.1404963999812026,,0072F1,1544,-2541,valid,000608,MEDIUM,-997,1790024842.1297417,1544
-453,3.3163934999902267,,003978,1091,-2088,valid,000443,FINE,-997,1790024842.305682,1091
-338,3.4921460999757983,,003978,753,-1750,valid,0002F1,FINE,-997,1790024842.4815814,753
-287,3.6680519999936223,,003978,466,-1463,valid,0001D2,FINE,-997,1790024842.6574802,466
-264,3.843948999972781,,003978,202,-1199,valid,0000CA,FINE,-997,1790024842.833373,202
-245,4.019856799975969,,003978,1059285,-954,valid,1029D5,FINE,-997,1790024843.0092611,-43
-156,4.195828799973242,,002000,1059129,-798,valid,102939,SLOW,-997,1790024843.1851904,-199
-32,4.371860399987781,,002000,1059097,-766,valid,102919,SLOW,-997,1790024843.3611066,-231
-2,4.547921599994879,,002000,1059095,-764,valid,102917,SLOW,-997,1790024843.5369937,-233
-8,4.723473299993202,,002000,1059087,-756,valid,10290F,SLOW,-997,1790024843.7129178,-241
-14,4.8994034999923315,,002000,1059073,-742,valid,102901,SLOW,-997,1790024843.8888602,-255
-18,5.075633699976606,,002000,1059055,-724,valid,1028EF,SLOW,-997,1790024844.0647125,-273
-17,5.2512354999780655,,002000,1059038,-707,valid,1028DE,SLOW,-997,1790024844.2406282,-290
-25,5.427096100000199,,002000,1059013,-682,valid,1028C5,SLOW,-997,1790024844.4165432,-315
-49,5.603217199997744,,002000,1058964,-633,valid,102894,SLOW,-997,1790024844.5924683,-364
-78,5.779150499991374,,002000,1058886,-555,valid,102846,SLOW,-997,1790024844.7683597,-442
-119,5.954996599990409,,002000,1058767,-436,valid,1027CF,SLOW,-997,1790024844.944247,-561
-149,6.13073199999053,,002000,1058618,-287,valid,10273A,SLOW,-997,1790024845.120174,-710
-78,6.357399299973622,,002000,1058540,-209,valid,1026EC,SLOW,-997,1790024845.3440747,-788
0,6.530895699979737,,002000,1058540,-209,valid,1026EC,SLOW,-997,1790024845.5199764,-788
0,6.706436599983135,,002000,1058540,-209,valid,1026EC,SLOW,-997,1790024845.6959171,-788
0,6.882451899989974,,002000,1058540,-209,valid,1026EC,SLOW,-997,1790024845.8717976,-788
0,7.058260699996026,,002000,1058540,-209,valid,1026EC,SLOW,-997,1790024846.0477147,-788
